"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Unified School District #2","""3470015""","Children's Place School","""3470115""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","""3470015""","Children's Place School","""3470115""","Math",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","""3470015""","Riverview School","""3470315""","ELA",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","""3470015""","Riverview School","""3470315""","Math",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","""3470015""","Walter G. Cady School","""3476715""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","""3470015""","Walter G. Cady School","""3476715""","Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","""1460011""","Rockville High School","""1466111""","ELA",204,196,96.1,196,47,24.0,45,23.0,79,40.3,25,12.8,104,53.1,495
"Vernon School District","""1460011""","Rockville High School","""1466111""","Math",204,196,96.1,195,53,27.2,78,40.0,56,28.7,8,4.1,64,32.8,477
"Wallingford School District","""1480011""","A.R.T.S. Academy","""1489011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","""1480011""","A.R.T.S. Academy","""1489011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","""1480011""","Education Enhancement Program","""1480511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","""1480011""","Education Enhancement Program","""1480511""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","""1480011""","Lyman Hall High School","""1486111""","ELA",259,255,98.5,255,25,9.8,48,18.8,142,55.7,40,15.7,182,71.4,529
"Wallingford School District","""1480011""","Lyman Hall High School","""1486111""","Math",259,255,98.5,255,36,14.1,119,46.7,84,32.9,16,6.3,100,39.2,504
"Wallingford School District","""1480011""","Mark T. Sheehan High School","""1486211""","ELA",187,186,99.5,186,21,11.3,25,13.4,116,62.4,24,12.9,140,75.3,528
"Wallingford School District","""1480011""","Mark T. Sheehan High School","""1486211""","Math",187,186,99.5,186,27,14.5,79,42.5,68,36.6,12,6.5,80,43.0,511
"Waterbury School District","""1510011""","Bridgeport Detention Center","""3480115""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","""1510011""","Bridgeport Detention Center","""3480115""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","""1510011""","Crosby High School","""1516211""","ELA",263,252,95.8,252,138,54.8,59,23.4,"*","*","*","*",55,21.8,422
"Waterbury School District","""1510011""","Crosby High School","""1516211""","Math",263,252,95.8,246,154,62.6,83,33.7,"*","*","*","*",9,3.7,401
"Waterbury School District","""1510011""","Enlightenment School","""1519111""","ELA",26,11,42.3,11,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","""1510011""","Enlightenment School","""1519111""","Math",26,11,42.3,11,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","""1510011""","John F. Kennedy High School","""1516411""","ELA",294,276,93.9,276,142,51.4,"*","*",73,26.4,"*","*","*","*",434
"Waterbury School District","""1510011""","John F. Kennedy High School","""1516411""","Math",294,276,93.9,276,163,59.1,91,33.0,"*","*","*","*",22,8.0,407
"Waterbury School District","""1510011""","State Street School","""1519011""","ELA",9,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","""1510011""","State Street School","""1519011""","Math",9,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","""1510011""","Waterbury Arts Magnet School (High)","""1516011""","ELA",112,112,100.0,112,20,17.9,25,22.3,58,51.8,9,8.0,67,59.8,499
"Waterbury School District","""1510011""","Waterbury Arts Magnet School (High)","""1516011""","Math",112,112,100.0,111,31,27.9,54,48.6,"*","*","*","*",26,23.4,465
"Waterbury School District","""1510011""","Waterbury Career Academy","""1516711""","ELA",226,226,100.0,226,43,19.0,62,27.4,109,48.2,12,5.3,121,53.5,491
"Waterbury School District","""1510011""","Waterbury Career Academy","""1516711""","Math",226,226,100.0,226,44,19.5,133,58.8,42,18.6,7,3.1,49,21.7,471
"Waterbury School District","""1510011""","Wilby High School","""1516311""","ELA",259,240,92.7,240,139,57.9,60,25.0,"*","*","*","*",41,17.1,419
"Waterbury School District","""1510011""","Wilby High School","""1516311""","Math",259,240,92.7,239,154,64.4,74,31.0,11,4.6,0,0.0,11,4.6,393
"Waterford School District","""1520011""","Waterford High School","""1526111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterford School District","""1520011""","Waterford High School","""1526111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Watertown School District","""1530011""","Watertown High School","""1536111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Watertown School District","""1530011""","Watertown High School","""1536111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","""1550011""","REACH","""1557311""","ELA",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","""1550011""","REACH","""1557311""","Math",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","""1550011""","Conard High School","""1556111""","ELA",360,356,98.9,356,30,8.4,43,12.1,175,49.2,108,30.3,283,79.5,569
"West Hartford School District","""1550011""","Conard High School","""1556111""","Math",360,356,98.9,356,35,9.8,101,28.4,150,42.1,70,19.7,220,61.8,555
"West Hartford School District","""1550011""","Hall High School","""1556211""","ELA",344,342,99.4,342,20,5.8,25,7.3,163,47.7,134,39.2,297,86.8,587
"West Hartford School District","""1550011""","Hall High School","""1556211""","Math",344,342,99.4,341,33,9.7,89,26.1,120,35.2,99,29.0,219,64.2,571
"West Hartford School District","""1550011""","Strive-West Hartford","""1559211""","ELA",15,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","""1550011""","Strive-West Hartford","""1559211""","Math",15,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","Blended","""1560711""","ELA",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","Blended","""1560711""","Math",9,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","Blended (Molloy)","""1560511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","Blended (Molloy)","""1560511""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","PACE","""1560211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","PACE","""1560211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","""1560011""","West Haven High School","""1566111""","ELA",330,318,96.4,318,85,26.7,79,24.8,138,43.4,16,5.0,154,48.4,479
"West Haven School District","""1560011""","West Haven High School","""1566111""","Math",330,318,96.4,315,106,33.7,158,50.2,"*","*","*","*",51,16.2,450
"Westbrook School District","""1540011""","Westbrook High School","""1546111""","ELA",88,88,100.0,88,8,9.1,11,12.5,57,64.8,12,13.6,69,78.4,544
"Westbrook School District","""1540011""","Westbrook High School","""1546111""","Math",88,88,100.0,88,9,10.2,39,44.3,34,38.6,6,6.8,40,45.5,514
"Weston School District","""1570011""","Weston High School","""1576111""","ELA",204,200,98.0,200,"*","*","*","*",72,36.0,113,56.5,185,92.5,626
"Weston School District","""1570011""","Weston High School","""1576111""","Math",204,200,98.0,200,"*","*","*","*",85,42.5,79,39.5,164,82.0,613
"Westport School District","""1580011""","Staples High School","""1586111""","ELA",464,459,98.9,459,19,4.1,16,3.5,189,41.2,235,51.2,424,92.4,616
"Westport School District","""1580011""","Staples High School","""1586111""","Math",464,459,98.9,457,18,3.9,81,17.7,166,36.3,192,42.0,358,78.3,609
"Wethersfield School District","""1590011""","Wethersfield High School","""1596111""","ELA",304,300,98.7,300,25,8.3,58,19.3,156,52.0,61,20.3,217,72.3,540
"Wethersfield School District","""1590011""","Wethersfield High School","""1596111""","Math",304,300,98.7,300,48,16.0,121,40.3,93,31.0,38,12.7,131,43.7,521
"Wilton School District","""1610011""","Wilton High School","""1616111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","""1610011""","Wilton High School","""1616111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","""1630011""","Windham High School","""1636111""","ELA",124,121,97.6,121,48,39.7,26,21.5,40,33.1,7,5.8,47,38.8,455
"Windham School District","""1630011""","Windham High School","""1636111""","Math",124,121,97.6,121,47,38.8,60,49.6,"*","*","*","*",14,11.6,435
"Windsor Locks School District","""1650011""","Pine Meadow Academy","""1650611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","""1650011""","Pine Meadow Academy","""1650611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","""1650011""","Windsor Locks High School","""1656111""","ELA",98,97,99.0,97,14,14.4,26,26.8,51,52.6,6,6.2,57,58.8,497
"Windsor Locks School District","""1650011""","Windsor Locks High School","""1656111""","Math",98,97,99.0,97,"*","*",49,50.5,27,27.8,"*","*","*","*",491
"Windsor School District","""1640011""","Expulsion","""1640411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","""1640011""","Expulsion","""1640411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","""1640011""","Spark","""1640311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","""1640011""","Spark","""1640311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","""1640011""","Windsor High School","""1646111""","ELA",295,283,95.9,283,35,12.4,71,25.1,142,50.2,35,12.4,177,62.5,512
"Windsor School District","""1640011""","Windsor High School","""1646111""","Math",295,283,95.9,283,50,17.7,132,46.6,84,29.7,17,6.0,101,35.7,495
"Wolcott School District","""1660011""","Phoenix Program","""1660411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","""1660011""","Phoenix Program","""1660411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","""1660011""","Wolcott High School","""1666111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","""1660011""","Wolcott High School","""1666111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","""9030022""","Woodstock Academy","""9036122""","ELA",246,243,98.8,243,23,9.5,23,9.5,136,56.0,61,25.1,197,81.1,555
"Woodstock Academy District","""9030022""","Woodstock Academy","""9036122""","Math",246,243,98.8,243,30,12.3,81,33.3,92,37.9,40,16.5,132,54.3,535

