"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_3_level_","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","F","184","181","98.4","181","46","25.4","55","30.4","57","31.5","23","12.7","80","44.2"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","N","665","655","98.5","653","72","11.0","137","21.0","256","39.2","188","28.8","444","68.0"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","R","47","47","100.0","47","10","21.3","12","25.5","17","36.2","8","17.0","25","53.2"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","F","183","180","98.4","180","70","38.9","63","35.0","28","15.6","19","10.6","47","26.1"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","N","664","652","98.2","651","127","19.5","172","26.4","174","26.7","178","27.3","352","54.1"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","R","47","47","100.0","47","16","34.0","16","34.0","6","12.8","9","19.1","15","31.9"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","F","38","38","100.0","38","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","N","96","95","99.0","94","6","6.4","17","18.1","28","29.8","43","45.7","71","75.5"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","R","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Math","F","38","38","100.0","38","*","*","*","*","*","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Math","N","96","95","99.0","95","7","7.4","15","15.8","41","43.2","32","33.7","73","76.8"
"0141611","0140011","Branford School District","John B. Sliney School","Math","R","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","N","133","133","100.0","131","6","4.6","21","16.0","33","25.2","71","54.2","104","79.4"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","N","133","133","100.0","131","9","6.9","28","21.4","44","33.6","50","38.2","94","71.8"
