"school_code","district_code","district","school","subject","high_needs_f_r_ell_or_swd_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0156211","0150011","Bridgeport School District","Central High School","ELA","Y","236","106","44.9","*","*","70","29.7","*","*","*","*","438"
"0156211","0150011","Bridgeport School District","Central High School","Math","Y","234","109","46.6","97","41.5","28","12.0","0","0.0","28","12.0","425"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","Y","175","119","68.0","41","23.4","*","*","*","*","15","8.6","394"
"0156311","0150011","Bridgeport School District","Harding High School","Math","Y","175","135","77.1","*","*","*","*","0","0.0","*","*","376"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","Y","132","37","28.0","35","26.5","50","37.9","10","7.6","60","45.5","475"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","Y","132","45","34.1","62","47.0","*","*","*","*","25","18.9","454"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","Y","114","*","*","21","18.4","53","46.5","*","*","*","*","481"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","N","148","*","*","29","19.6","92","62.2","*","*","*","*","546"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","Y","114","29","25.4","59","51.8","*","*","*","*","26","22.8","468"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","N","148","*","*","62","41.9","59","39.9","*","*","*","*","528"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","Y","103","21","20.4","30","29.1","46","44.7","6","5.8","52","50.5","479"
