"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0171111","0170011","Bristol School District","South Side School","42","63","76","72","79","92","79","0","0","0","0","0","0","0","503"
"0171211","0170011","Bristol School District","Stafford School","35","85","81","86","68","72","77","0","0","0","0","0","0","0","504"
"0172011","0170011","Bristol School District","West Bristol School","29","104","99","102","120","106","93","102","95","95","0","0","0","0","945"
"0170311","0170011","Bristol School District","Edgewood School","0","46","63","56","66","47","77","0","0","0","0","0","0","0","355"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","0","0","*","0","*","*","*","*","*","*","0","*","14"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","0","0","0","0","0","0","0","231","279","208","0","0","0","0","718"
"0175211","0170011","Bristol School District","Northeast Middle School","0","0","0","0","0","0","0","127","140","186","0","0","0","0","453"
"0176111","0170011","Bristol School District","Bristol Central High School","0","0","0","0","0","0","0","0","0","0","344","297","298","303","1242"
"0176211","0170011","Bristol School District","Bristol Eastern High School","0","0","0","0","0","0","0","0","0","0","344","317","305","333","1299"
"0179211","0170011","Bristol School District","Community/Vocational Program","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13"
"0180311","0180011","Brookfield School District","Center Elementary School","36","155","189","0","0","0","0","0","0","0","0","0","0","0","380"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","0","0","0","215","190","219","0","0","0","0","0","0","0","0","624"
"0185311","0180011","Brookfield School District","Whisconier Middle School","0","0","0","0","0","0","226","194","226","213","0","0","0","0","859"
"0186111","0180011","Brookfield School District","Brookfield High School","0","0","0","0","0","0","0","0","0","0","225","214","232","230","901"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","105","104","81","76","100","79","0","0","0","0","0","0","0","0","545"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","0","0","0","0","0","0","84","101","103","86","0","0","0","0","374"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","33","33","40","34","47","38","0","0","0","0","0","0","0","0","225"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","0","0","0","0","0","0","67","60","59","47","0","0","0","0","233"
"0230211","0230011","Canton School District","Cherry Brook Primary School","26","99","114","115","136","0","0","0","0","0","0","0","0","0","490"
"0230311","0230011","Canton School District","Canton Intermediate School","0","0","0","0","0","131","160","143","0","0","0","0","0","0","434"
"0235111","0230011","Canton School District","Canton Middle School","0","0","0","0","0","0","0","0","130","135","0","0","0","0","265"
"0236111","0230011","Canton School District","Canton High School","0","0","0","0","0","0","0","0","0","0","121","108","134","136","499"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","145","77","0","0","0","0","0","0","0","0","0","0","0","0","222"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","18","0","0","0","0","0","0","48","44","43","58","58","48","44","361"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","101","57","59","0","0","0","0","0","0","0","0","0","0","0","217"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","117","61","60","44","0","0","0","0","0","0","0","0","0","0","282"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","63","63","63","67","65","48","41","0","0","0","0","0","0","0","410"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","102","59","64","61","57","50","22","0","0","0","0","0","0","0","415"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","80","46","46","44","46","44","28","8","0","0","0","0","0","0","342"
"2410514","2410014","Capitol Region Education Council","Museum Academy","100","59","61","44","45","46","50","0","0","0","0","0","0","0","405"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","115","65","52","53","55","40","12","0","0","0","0","0","0","0","392"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","11","*","9","*","7","8","*","*","7","7","0","*","0","0","64"
"2419114","2410014","Capitol Region Education Council","Soundbridge","52","*","*","*","*","0","*","0","*","0","0","*","6","*","83"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","76","64","64","65","64","54","54","0","0","0","0","0","0","0","441"
"2419314","2410014","Capitol Region Education Council","River Street School","0","*","*","*","*","10","16","10","14","17","*","7","13","49","145"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","0","0","0","0","*","0","0","0","0","0","*","*","0","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","0","0","0","0","0","0","0","109","110","106","98","62","47","30","562"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","0","0","0","0","0","0","0","117","115","95","0","0","0","0","327"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","0","0","0","0","0","0","0","97","103","116","120","115","80","91","722"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","0","0","0","0","0","0","0","52","68","46","106","59","35","38","404"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","0","0","0","0","0","0","0","230","232","198","0","0","0","0","660"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","0","0","0","0","0","0","0","0","*","*","10","12","15","12","53"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","0","0","0","0","0","0","0","0","0","*","*","*","*","*","8"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","0","0","0","0","0","0","0","0","0","0","*","7","*","7","22"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","0","0","0","0","0","0","0","0","0","0","114","125","116","83","438"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","0","0","0","0","0","0","0","0","0","0","102","87","0","0","189"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","33","23","24","22","22","21","17","21","0","0","0","0","0","0","183"
"0250211","0250011","Cheshire School District","Darcey School","76","217","0","0","0","0","0","0","0","0","0","0","0","0","293"
"0250411","0250011","Cheshire School District","Highland School","0","0","107","112","122","140","133","126","0","0","0","0","0","0","740"
"0250111","0250011","Cheshire School District","Chapman School","0","0","49","41","53","57","55","43","0","0","0","0","0","0","298"
"0250611","0250011","Cheshire School District","Doolittle School","0","0","63","77","90","99","97","103","0","0","0","0","0","0","529"
"0250511","0250011","Cheshire School District","Norton School","0","0","60","53","76","89","75","76","0","0","0","0","0","0","429"
"0255111","0250011","Cheshire School District","Dodd Middle School","0","0","0","0","0","0","0","0","390","357","0","0","0","0","747"
"0256111","0250011","Cheshire School District","Cheshire High School","0","0","0","0","0","0","0","0","0","0","394","375","393","376","1538"
"0259011","0250011","Cheshire School District","Humiston School","0","0","0","0","0","0","0","0","0","0","*","*","7","7","20"
