"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","*","12","23","0","6","84","129"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","*","*","7","14","0","*","89","117"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","*","*","*","33","0","*","135","179"
"0390111","0390011","Eastford School District","Eastford Elementary School","*","*","*","*","0","6","121","134"
"0465111","0460011","Easton School District","Helen Keller Middle School","*","14","*","13","0","0","277","309"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","*","30","6","41","*","18","515","612"
"2428014","2420014","Education Connection","Education Connection Headstart","7","*","*","46","9","*","142","213"
"2429014","2420014","Education Connection","Education Connection Special Education","0","0","*","*","0","*","6","14"
"0480111","0480011","Ellington School District","Center School","0","10","11","10","0","7","323","361"
"0480211","0480011","Ellington School District","Crystal Lake School","0","*","*","13","0","6","175","201"
"0486111","0480011","Ellington School District","Ellington High School","*","31","31","36","0","*","650","771"
"0485111","0480011","Ellington School District","Ellington Middle School","0","28","12","13","0","13","354","420"
"0480711","0480011","Ellington School District","Windermere Intermediate School","0","32","17","17","0","11","369","446"
"0480611","0480011","Ellington School District","Windermere School","*","89","20","26","0","*","283","430"
"0480311","0480011","Ellington School District","Windermere School Program for Alternative Learning K-4","0","0","0","0","0","0","*","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","*","*","520","161","0","10","10","703"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","0","*","53","26","0","*","31","113"
"0490511","0490011","Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","0","0","0","*","0","0","*","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","*","8","15","50","*","15","231","323"
"0491411","0490011","Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","0","*","0","0","0","0","*","*"
"0491611","0490011","Enfield School District","Eli Whitney School","*","*","21","58","0","22","296","411"
"0496111","0490011","Enfield School District","Enfield High School","*","17","55","95","*","27","516","715"
"0490311","0490011","Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","0","0","0","*","0","0","*","8"
"0490211","0490011","Enfield School District","Enfield Street School","0","17","14","41","0","17","187","276"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","0","0","0","0","0","0","6","6"
"0496211","0490011","Enfield School District","Enrico Fermi High School","*","24","41","64","*","39","685","861"
"0490411","0490011","Enfield School District","Hazardville Memorial School","*","13","26","54","0","*","244","344"
"0498011","0490011","Enfield School District","Head Start Program","0","*","6","30","*","8","55","104"
"0490611","0490011","Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","0","0","*","0","0","0","*","*"
