"school_code","district_code","district","school","subject","ell","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0141611","0140011","Branford School District","John B. Sliney School","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","N","147","145","98.6","145","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","N","147","145","98.6","144","*","*","*","*","*","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","N","503","503","100.0","503","171","34.0","145","28.8","*","*","*","*","187","37.2"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","Y","61","61","100.0","61","25","41.0","19","31.1","*","*","*","*","17","27.9"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","N","503","501","99.6","501","223","44.5","136","27.1","*","*","*","*","142","28.3"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Y","61","61","100.0","61","32","52.5","16","26.2","*","*","*","*","13","21.3"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
