"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","343","348","0","0","0","0"
"0179211","0170011","Bristol School District","Community/Vocational Program","16","15","10","13","11","12"
"0170311","0170011","Bristol School District","Edgewood School","396","392","365","355","340","340"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","520","560","436","424","422","451"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","0","0","0","0","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","354","337","893","890","892","927"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","0","0","0","0","*","6"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","0","0","0","0","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","0","0","0","0","6","*"
"0171911","0170011","Bristol School District","Ivy Drive School","420","423","423","397","396","395"
"0170611","0170011","Bristol School District","John J. Jennings School","366","387","0","0","0","0"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","515","512","0","0","0","0"
"0171711","0170011","Bristol School District","Mountain View School","380","370","431","437","382","372"
"0172511","0170011","Bristol School District","Mt. View GOAL","0","0","0","0","*","8"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","0","0","0","0","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","0","0","0","0","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","563","560","500","453","430","422"
"0172911","0170011","Bristol School District","PreK Autism","0","0","0","0","*","10"
"0173011","0170011","Bristol School District","South Side Extended Resource","0","0","0","0","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","0","0","0","0","6","*"
"0171111","0170011","Bristol School District","South Side School","610","593","489","503","529","491"
"0173211","0170011","Bristol School District","Stafford Autism","0","0","0","0","11","24"
"0171211","0170011","Bristol School District","Stafford School","544","493","503","504","443","436"
"0172011","0170011","Bristol School District","West Bristol School","0","0","901","945","919","922"
"0186111","0180011","Brookfield School District","Brookfield High School","996","966","918","901","895","880"
"0180311","0180011","Brookfield School District","Center Elementary School","400","409","416","380","334","368"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","583","591","605","624","599","577"
"0185311","0180011","Brookfield School District","Whisconier Middle School","890","871","851","859","882","855"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","562","534","543","545","536","521"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","385","396","394","374","373","377"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","86","86","75","77","78","76"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","318","298","259","225","243","261"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","206","217","231","233","228","230"
"0230411","0230011","Canton School District","Canton Academy","0","0","0","0","*","*"
"0236111","0230011","Canton School District","Canton High School","515","522","511","499","485","488"
"0230311","0230011","Canton School District","Canton Intermediate School","405","408","430","434","410","400"
"0235111","0230011","Canton School District","Canton Middle School","266","258","270","265","272","284"
"0230211","0230011","Canton School District","Cherry Brook Primary School","591","550","537","490","449","451"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","0","0","0","0","0","249"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","214","390","491","562","636","702"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","0","0","0","222","297","343"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","0","0","0","0","529","517"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","0","0","164","217","313","354"
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","0","150","221","0","0","0"
"2418014","2410014","Capitol Region Education Council","CREC Early Learning Center at Asylum Hill","20","0","0","0","0","0"
"2416514","2410014","Capitol Region Education Council","CREC Medical Professions and Teacher Preparation Academy","179","0","0","0","0","0"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","0","0","0","282","356","405"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","21","24","21","22","20","16"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","262","259","387","410","435","451"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","284","246","0","0","0","0"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","372","400","423","438","457","440"
