district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Avon School District,0040011,Pine Grove School,0040411,ELA,F,134,131,97.8,131,7,5.3,9,6.9,32,24.4,83,63.4,115,87.8,2014-15
Avon School District,0040011,Pine Grove School,0040411,ELA,M,122,118,96.7,118,6,5.1,14,11.9,38,32.2,60,50.8,98,83.1,2014-15
Avon School District,0040011,Pine Grove School,0040411,Math,F,134,134,100.0,134,*,*,*,*,51,38.1,47,35.1,98,73.1,2014-15
Avon School District,0040011,Pine Grove School,0040411,Math,M,122,122,100.0,122,*,*,*,*,44,36.1,55,45.1,99,81.1,2014-15
Avon School District,0040011,Roaring Brook School,0040311,ELA,F,117,117,100.0,117,6,5.1,15,12.8,21,17.9,75,64.1,96,82.1,2014-15
Avon School District,0040011,Roaring Brook School,0040311,ELA,M,117,117,100.0,117,8,6.8,17,14.5,24,20.5,68,58.1,92,78.6,2014-15
Avon School District,0040011,Roaring Brook School,0040311,Math,F,117,117,100.0,117,*,*,*,*,38,32.5,53,45.3,91,77.8,2014-15
Avon School District,0040011,Roaring Brook School,0040311,Math,M,117,117,100.0,117,*,*,*,*,43,36.8,52,44.4,95,81.2,2014-15
Avon School District,0040011,Thompson Brook School,0040511,ELA,F,246,243,98.8,243,9,3.7,27,11.1,75,30.9,132,54.3,207,85.2,2014-15
Avon School District,0040011,Thompson Brook School,0040511,ELA,M,311,309,99.4,308,20,6.5,35,11.4,130,42.2,123,39.9,253,82.1,2014-15
Avon School District,0040011,Thompson Brook School,0040511,Math,F,246,244,99.2,244,23,9.4,54,22.1,79,32.4,88,36.1,167,68.4,2014-15
Avon School District,0040011,Thompson Brook School,0040511,Math,M,311,310,99.7,310,29,9.4,61,19.7,92,29.7,128,41.3,220,71.0,2014-15
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,ELA,F,92,91,98.9,91,6,6.6,14,15.4,34,37.4,37,40.7,71,78.0,2014-15
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,ELA,M,112,106,94.6,105,20,19.0,20,19.0,36,34.3,29,27.6,65,61.9,2014-15
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,Math,F,92,91,98.9,91,21,23.1,32,35.2,27,29.7,11,12.1,38,41.8,2014-15
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,Math,M,112,105,93.8,105,24,22.9,37,35.2,30,28.6,14,13.3,44,41.9,2014-15
Berlin School District,0070011,Berlin High School,0076111,ELA,F,113,107,94.7,91,19,20.9,33,36.3,25,27.5,14,15.4,39,42.9,2014-15
