"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELA","N",8,0,"*",0,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Math","N",9,0,"*",0,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","ELA","N",238,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Math","N",239,238,99.6,238,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","ELA","N",85,83,97.6,83,"*","*","*","*",33,39.8,37,44.6,70,84.3
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Math","N",85,83,97.6,83,22,26.5,26,31.3,18,21.7,17,20.5,35,42.2
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELA","N",234,219,93.6,219,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Math","N",234,217,92.7,217,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","ELA","N",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Math","N",14,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA","N",880,864,98.2,864,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA","Y",24,19,79.2,19,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math","N",880,860,97.7,859,229,26.7,256,29.8,"*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math","Y",24,23,95.8,23,12,52.2,"*","*","*","*",0,0.0,"*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA","N",124,124,100.0,124,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math","N",124,124,100.0,124,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
