"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Southington School District","=""1310011""","EASE","=""1310511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","*","*","*","*",6,2.0,6,2.0,"*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","*","*","*","*",10,2.1,8,2.1,"*","*"
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",28,3.3,19,2.2,26,3.0,21,2.5,15,1.8
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",65,8.4,52,7.0,42,5.4,34,4.7,18,2.4
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",6,2.2,7,2.5,9,3.2,"N/A","N/A","N/A","N/A"
"Southington School District","=""1310011""","Preschool/ABA-Hatton School","=""1310311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Southington School District","=""1310011""","Preschool/ABA-South End School","=""1311911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Southington School District","=""1310011""","South End Elementary School","=""1310711""","*","*","*","*","*","*","*","*","N/A","N/A"
"Southington School District","=""1310011""","Southington High School","=""1316211""",132,6.5,152,7.5,98,4.9,135,6.8,130,6.7
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""","*","*","*","*","*","*","*","*","*","*"
"Sprague School District","=""1330011""","Sayles School","=""1330111""",25,6.8,29,8.0,30,7.9,32,8.4,32,8.9
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",6,1.2,6,1.3,"N/A","N/A","*","*","*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",100,19.3,71,14.7,79,16.4,67,15.9,59,14.5
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",52,12.7,44,11.6,15,4.3,32,9.3,15,4.5
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","*","*",36,23.7,56,42.7,41,30.4,32,21.6
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*",7,5.4
"Stamford School District","=""1350011""","Apples PreK","=""1350111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",26,4.4,21,3.4,42,6.8,22,3.6,60,11.1
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",16,2.9,6,1.1,9,1.6,"N/A","N/A","N/A","N/A"
"Stamford School District","=""1350011""","Dolan School","=""1355311""",24,4.5,28,5.2,22,3.9,48,8.9,23,4.6
"Stamford School District","=""1350011""","Hart School","=""1352211""","N/A","N/A","*","*","N/A","N/A","*","*","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",6,1.0,"*","*","*","*","*","*",10,1.6
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","*","*","*","*","*","*",7,1.2,"*","*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""",24,3.6,16,2.3,8,1.1,9,1.4,8,1.3
"Stamford School District","=""1350011""","Northeast School","=""1351811""","*","*","N/A","N/A","N/A","N/A",11,1.6,7,1.1
"Stamford School District","=""1350011""","Preschool Team","=""1358011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",43,6.6,62,9.4,57,8.1,27,3.6,71,8.7
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","N/A","N/A","*","*","*","*",6,0.8,"*","*"
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","*","*","N/A","N/A","*","*",25,4.1,25,3.9
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",7,1.1,"*","*","*","*",8,1.2,33,4.7
"Stamford School District","=""1350011""","Springdale School","=""1351111""","*","*","*","*","*","*",13,1.9,"*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",175,9.4,137,6.9,142,7.4,97,5.5,187,10.7
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",6,0.8,"*","*",16,2.3,8,1.2,6,0.9
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","*","*","*","*",6,0.9,19,2.8,15,2.2
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",13,2.2,"*","*",20,3.5,28,4.5,17,2.7
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",260,11.5,155,7.3,147,6.8,110,5.3,124,5.9
"Stamford School District","=""1350011""","Westover School","=""1351411""","*","*",7,1.0,8,1.2,7,1.0,"*","*"
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",38,7.3,"N/A","N/A",34,7.2,23,4.9,13,2.9
"Stonington School District","=""1370011""","Community Classroom","=""1370811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",34,8.1,24,5.8,14,3.3,"*","*",7,1.7
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",30,8.7,19,5.6,23,7.2,12,4.0,12,4.5
"Stonington School District","=""1370011""","SAILS","=""1370711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",113,14.7,100,13.0,103,13.3,86,11.5,96,13.4
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","N/A","N/A","N/A","N/A","N/A","N/A",25,52.1,15,34.9
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",93,8.1,131,10.7,83,7.1,119,11.2,85,8.0
"Stratford School District","=""1380011""","Chapel School","=""1380311""",25,4.5,25,4.5,15,2.6,16,2.9,11,2.1
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",83,15.0,86,16.1,65,12.2,82,15.9,85,15.3
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",8,1.5,17,3.2,6,1.1,6,1.2,14,2.8
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""",9,3.1,18,5.9,14,4.5,13,4.4,9,3.2
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",44,7.4,46,8.3,62,10.5,40,7.1,58,10.4
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","*","*",6,2.8,"*","*","*","*","N/A","N/A"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","N/A","N/A","N/A","N/A","N/A","N/A",6,"*","*","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""",10,4.4,16,6.8,16,6.6,11,4.1,7,2.7
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""",20,4.6,13,2.9,17,3.8,19,4.2,18,4.3
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",19,2.6,15,2.1,21,2.7,16,2.3,16,2.4
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",8,"*",13,"*",7,"*","N/A","N/A","N/A","N/A"
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",27,5.9,27,5.7,25,5.3,18,4.2,14,3.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",137,12.4,161,14.7,116,11.0,96,9.7,106,11.1
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","N/A","*","N/A","*","N/A","N/A","N/A","*","N/A","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",15,3.9,20,5.3,14,3.7,15,4.0,6,1.7
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",6,1.1,"*","*",12,2.4,"N/A","N/A",15,3.2
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",100,11.6,72,8.4,57,6.9,37,4.6,96,11.6
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",36,6.1,14,2.3,10,1.7,15,2.7,28,5.0
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",67,25.1,64,24.0,39,14.6,49,18.5,50,18.4
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",107,20.0,120,24.3,150,27.2,171,30.5,94,16.8
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","N/A","N/A","*","*","*","*",8,2.9,"*","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",6,2.5,7,2.8,10,4.2,8,3.3,6,2.8
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",68,14.4,40,9.2,41,10.0,37,9.6,55,13.3
"Thompson School District","=""1410011""","District Autism Program","=""1410211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",12,2.6,14,3.0,13,2.9,7,1.7,16,3.9
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",45,11.1,30,7.8,29,8.4,15,4.4,20,5.9
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",40,11.9,35,11.6,25,9.2,25,9.6,44,16.1
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tolland School District","=""1420011""","TALC","=""1420311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",64,7.0,78,8.7,59,7.0,32,3.9,59,7.2
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","N/A","N/A","*","*","*","*","*","*","*","*"
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",35,4.8,30,4.4,22,3.2,27,4.0,38,5.7
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","*","*"
"Torrington School District","=""1430011""","East - The Learning Center","=""1431811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Torrington School District","=""1430011""","East School","=""1430111""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Torrington School District","=""1430011""","Forbes School","=""1430211""",32,8.5,40,10.0,18,4.8,14,3.7,10,2.7
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Torrington School District","=""1430011""","Southwest School","=""1430811""",9,2.8,10,3.0,10,3.1,"*","*",10,3.2
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""",7,1.1,6,1.0,7,1.1,9,1.4,16,2.5
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",268,24.3,183,16.6,159,15.0,185,18.6,153,15.9
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",160,14.4,164,15.3,159,15.1,114,11.2,142,13.9
"Torrington School District","=""1430011""","Vogel-Wetmore / Reach","=""1431711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",6,1.3,11,2.4,28,5.7,7,1.5,"*","*"
"Torrington School District","=""1430011""","Vogel-Wetmore/Outreach PreK","=""1431911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","*","*",7,4.1,17,11.3,19,13.9,39,30.2
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",11,2.1,"*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","N/A","N/A","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","*","*",7,1.1,"*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",19,2.5,11,1.4,20,2.6,17,2.2,18,2.3
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",12,1.4,16,1.9,6,0.8,"*","*",11,1.4
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","*","*","*","*","*","*","*","*","N/A","N/A"
"Trumbull School District","=""1440011""","REACH","=""1440511""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",71,3.3,72,3.3,67,3.1,50,2.3,36,1.7
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","N/A","*","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","N/A","*","N/A","*","N/A","N/A","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""",20,48.8,29,70.7,"N/A","N/A","N/A","N/A","N/A","N/A"
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","N/A","N/A","N/A","N/A",33,61.1,12,30.8,10,34.5
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",7,11.1,"N/A","N/A","*","*",15,19.7,13,22.0
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",42,37.2,43,32.3,52,30.6,53,46.5,46,65.7
"Union School District","=""1450011""","Union Elementary School","=""1450111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","*","*",8,1.6,9,1.8,16,3.2,"*","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","*","*","*","*",9,3.4,12,4.9,10,4.0
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","N/A","N/A","N/A","N/A","*","*",7,"*","*","*"
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","*","*",17,5.2,25,7.7,31,9.6,24,8.8
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""",11,3.7,10,3.0,19,5.8,7,2.1,6,2.0
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",185,18.2,178,18.7,167,18.2,163,18.8,165,19.8
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",12,3.2,"*","*","*","*",14,4.2,11,3.3
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",107,14.5,81,11.3,56,8.4,60,9.0,83,12.0
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",11,3.4,"*","*","*","*",8,2.5,"*","*"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",12,52.2,6,"*","*","*",9,"*",9,"*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","*","*","*","*","*","*",11,2.9,9,2.3
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""",60,8.6,50,7.4,48,6.8,42,6.1,"N/A","N/A"
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",53,7.3
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","N/A","N/A","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Wallingford School District","=""1480011""","Highland School","=""1480211""","*","*","N/A","N/A","*","*","*","*",6,1.9
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",27,3.6,42,6.0,33,4.8,45,6.4,34,4.9
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",169,15.1,148,13.1,140,12.8,106,9.8,74,6.9
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",114,12.4,101,11.0,77,8.6,67,7.8,35,4.2
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""","*","*",14,4.3,10,3.3,8,2.8,6,2.2
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",12,3.6,13,3.6,7,1.9,"*","*","*","*"
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",6,1.7,"*","*","N/A","N/A","*","*","*","*"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","*","*",7,1.8,9,2.4,"*","*","*","*"
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",25,4.5,38,6.6,42,7.3,49,8.4,50,8.4
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11,45.8
"Waterbury School District","=""1510011""","Bridgeport Detention Center","=""3480115""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",27,14.4
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",50,8.6,39,8.8,36,6.3,47,8.0,29,7.0
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",17,68.0
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",40,7.9,36,7.0,58,11.3,61,11.9,43,9.0
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",14,3.0,8,1.8,28,6.3,27,5.5,26,5.1
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",8,6.3
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",646,46.0,616,41.7,532,37.2,474,36.0,523,41.8
"Waterbury School District","=""1510011""","Crosby NVCC (Waterbury Transition Learning Center)","=""1514011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",90,16.7,23,4.1,111,19.4,62,11.7,67,12.3
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",56,14.1,44,10.0,53,11.6,46,9.9,38,8.2
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",170,70.2,171,69.8,166,70.0,180,76.6,148,77.5
"Waterbury School District","=""1510011""","Excel II","=""1513811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","N/A","N/A","N/A","N/A","*","*","*","*",8,"*"
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",25,4.8,47,9.3,69,13.5,65,12.5,42,7.7
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",54,12.8,43,8.5,50,9.7,82,15.7,48,9.7
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",79,10.3,96,12.3,81,10.1,73,8.7,58,8.6
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",13,2.9,28,5.9,36,7.4,38,7.5,31,8.4
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",563,39.5,535,38.2,446,33.3,529,39.4,479,35.5
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",17,2.8,14,2.3,23,3.8,6,1.0,6,1.0
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
