"District","reportingsdistrictcode","School","School Code","Count","%"
"Manchester School District",".","Manchester High School","=""0776111""",272,16.5
"Manchester School District",".","Manchester Preschool Center","=""0778011""","N/A","N/A"
"Manchester School District",".","Manchester Regional Academy","=""0779011""",59,53.6
"Manchester School District",".","Manchester Transition Center","=""0779111""","N/A","*"
"Manchester School District",".","Martin School","=""0771611""",7,2.5
"Manchester School District",".","Robertson School","=""0771011""",13,3.7
"Manchester School District",".","Verplanck School","=""0771211""",32,9.7
"Manchester School District",".","Waddell School","=""0771311""",28,8.2
"Manchester School District",".","Washington School","=""0771411""",36,9.5
"Marlborough School District",".","Elmer Thienes-Mary Hall Elementary School","=""0790111""",9,1.4
"Mansfield School District",".","Annie E. Vinton School","=""0780411""","N/A","N/A"
"Mansfield School District",".","Dorothy C. Goodwin School","=""0780211""","*","*"
"Mansfield School District",".","Mansfield Middle School School","=""0785111""",18,3.2
"Mansfield School District",".","Southeast Elementary School","=""0780511""","*","*"
"Plainfield School District",".","Early Childhood Center","=""1098011""","N/A","*"
"Plainfield School District",".","Moosup Elementary School","=""1090111""","N/A","N/A"
"Plainfield School District",".","Plainfield Central School","=""1095111""",81,13.7
"Plainfield School District",".","Plainfield High School","=""1096111""",130,17.8
"Plainfield School District",".","Plainfield Memorial School","=""1090311""",30,7.9
"Plainfield School District",".","Shepard Hill Elementary School","=""1090411""","*","*"
"Plainville School District",".","Frank T. Wheeler School","=""1100411""","N/A","N/A"
"Plainville School District",".","Linden Street School","=""1100211""","*","*"
"Plainville School District",".","Louis Toffolon School","=""1100511""","*","*"
"Plainville School District",".","Middle School of Plainville","=""1105211""",34,6.3
"Plainville School District",".","Plainville High School","=""1106111""",70,9.4
"Plainville School District",".","Prekindergarten Program","=""1108011""","N/A","N/A"
"Plymouth School District",".","Eli Terry Jr. Middle School","=""1115111""",38,8.9
"Plymouth School District",".","Harry S. Fisher Elementary School","=""1110411""","*","*"
"Plymouth School District",".","Plymouth Center School","=""1110211""","N/A","N/A"
"Plymouth School District",".","Terryville High School","=""1116111""",39,8.0
"Stonington School District",".","Deans Mill School","=""1370511""","*","*"
"Stonington School District",".","Mystic Middle School","=""1375211""",24,5.8
"Stonington School District",".","Pawcatuck Middle School","=""1375111""",19,5.6
"Stonington School District",".","Stonington High School","=""1376111""",100,13.0
"Stonington School District",".","West Broad Street School","=""1370411""","*","*"
"Stonington School District",".","West Vine Street School","=""1370611""","*","*"
"Waterford School District",".","Clark Lane Middle School","=""1525111""",54,7.9
"Waterford School District",".","Great Neck Elementary School","=""1520211""","*","*"
"Waterford School District",".","Oswegatchie Elementary School","=""1520611""",7,1.8
"Waterford School District",".","Quaker Hill Elementary School","=""1520711""","*","*"
"Waterford School District",".","Waterford High School","=""1526111""",69,8.2
"Watertown School District",".","Fletcher W. Judson School","=""1530311""",7,2.3
"Watertown School District",".","John Trumbull Primary School","=""1530211""","*","*"
"Watertown School District",".","Polk School","=""1530411""",26,7.7
"Watertown School District",".","Swift Middle School","=""1535111""",76,9.9
"Watertown School District",".","Watertown High School","=""1536111""",131,14.3
"Deep River School District",".","Deep River Elementary School","=""0360111""","*","*"
"Derby School District",".","Bradley School","=""0370611""","*","*"
"Derby School District",".","Derby High School","=""0376111""",82,22.4
"Derby School District",".","Derby Middle School","=""0375011""",59,15.9
"Derby School District",".","Irving School","=""0370411""",18,4.2
"East Granby School District",".","Allgrove School","=""0400111""","*","*"
"East Granby School District",".","East Granby High School","=""0406111""",21,7.7
"East Granby School District",".","East Granby Middle School","=""0405111""","*","*"
"East Granby School District",".","R. Dudley Seymour School","=""0400211""","*","*"
"Eastford School District",".","Eastford Elementary School","=""0390111""","*","*"
"East Haddam School District",".","East Haddam Elementary School","=""0410111""","N/A","N/A"
"East Haddam School District",".","Nathan Hale-Ray High School","=""0416111""","N/A","N/A"
"East Haddam School District",".","Nathan Hale-Ray Middle School","=""0415111""","N/A","N/A"
"Groton School District",".","Carl C. Cutler Middle School","=""0595311""",48,10.3
"Groton School District",".","Catherine Kolnaski Magnet School","=""0590311""",12,3.5
"Groton School District",".","Catherine Kolnaski Magnet School","=""0592011""",32,7.7
"Groton School District",".","Charles Barnum School","=""0591811""","*","*"
"Groton School District",".","Mary Morrisson School","=""0591711""",13,3.9
"Groton School District",".","Northeast Academy Elementary School","=""0591911""","*","*"
"Groton School District",".","Pleasant Valley School","=""0591211""",13,4.1
"Groton School District",".","Robert E. Fitch High School","=""0596111""",173,15.0
"Groton School District",".","S. B. Butler School","=""0590111""","*","*"
"Groton School District",".","West Side Middle School","=""0595211""",65,13.8
"Griswold School District",".","Griswold Elementary School","=""0580311""",6,0.8
"Griswold School District",".","Griswold High School","=""0586211""",118,19.1
"Griswold School District",".","Griswold Middle School","=""0585111""",52,8.8
"Madison School District",".","Daniel Hand High School","=""0766111""",69,5.5
"Madison School District",".","Dr. Robert H. Brown Middle School","=""0760611""","*","*"
"Madison School District",".","Island Avenue Elementary School","=""0760211""","N/A","N/A"
"Madison School District",".","J. Milton Jeffrey Elementary School","=""0760111""","*","*"
"Madison School District",".","Kathleen H. Ryerson Elementary School","=""0760311""","*","*"
"Madison School District",".","Town Campus Learning Center","=""0769011""","N/A","N/A"
"Madison School District",".","Walter C. Polson Upper Middle School","=""0765211""",12,2.0
"New Hartford School District",".","Ann Antolini School","=""0920311""","*","*"
"New Hartford School District",".","Bakerville Consolidated School","=""0920111""","*","*"
"New Hartford School District",".","New Hartford Elementary School","=""0920211""","N/A","N/A"
"Norwich School District",".","Bishop School Early Learning Center","=""1040111""","N/A","N/A"
"Norwich School District",".","Deborah-Tennant Zinewicz  School","=""1049111""",16,44.4
"Norwich School District",".","Hickory Street School","=""1049011""","*","*"
"Norwich School District",".","John B. Stanton Network School","=""1041411""",22,5.3
"Norwich School District",".","Kelly Middle School","=""1045111""",124,18.9
"Norwich School District",".","Moriarty Magnet School","=""1042011""",18,3.9
"Norwich School District",".","Samuel Huntington School","=""1040811""",9,1.9
"Norwich School District",".","Teachers' Memorial Middle School","=""1045211""",101,21.8
"Norwich School District",".","Thomas W. Mahan School","=""1041711""","N/A","N/A"
"Norwich School District",".","Uncas Network School","=""1041911""",36,13.7
"Norwich School District",".","Veterans' Memorial School","=""1041811""",6,1.9
"Norwich School District",".","Virtual Learning Academy","=""1049211""","N/A","*"
"Norwich School District",".","Wequonnoc Magnet School","=""1041511""",21,7.3
"Orange School District",".","Mary L. Tracy School","=""1070211""","N/A","N/A"
