"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","ELA",404,403,99.8,402,211,52.5,115,28.6,70,17.4,6,1.5,76,18.9
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Math",404,403,99.8,402,261,64.9,101,25.1,"*","*","*","*",40,10.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","ELA",612,550,89.9,548,448,81.8,81,14.8,19,3.5,0,0.0,19,3.5
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Math",615,614,99.8,614,562,91.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","ELA",292,290,99.3,290,117,40.3,88,30.3,60,20.7,25,8.6,85,29.3
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Math",292,290,99.3,290,153,52.8,91,31.4,40,13.8,6,2.1,46,15.9
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","ELA",291,281,96.6,281,16,5.7,59,21.0,139,49.5,67,23.8,206,73.3
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Math",291,281,96.6,281,56,19.9,116,41.3,73,26.0,36,12.8,109,38.8
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","ELA",268,268,100.0,268,34,12.7,98,36.6,99,36.9,37,13.8,136,50.7
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Math",268,268,100.0,268,96,35.8,106,39.6,48,17.9,18,6.7,66,24.6
"Bridgeport School District","=""0150011""","Read School","=""0152511""","ELA",520,514,98.8,514,273,53.1,142,27.6,82,16.0,17,3.3,99,19.3
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Math",521,517,99.2,517,352,68.1,135,26.1,24,4.6,6,1.2,30,5.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","ELA",305,298,97.7,296,213,72.0,56,18.9,"*","*","*","*",27,9.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Math",304,304,100.0,304,265,87.2,34,11.2,"*","*","*","*","*","*"
