"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"1330111","1330011","Sprague School District","Sayles School","ELL","*","*","*","*","*"
"1330111","1330011","Sprague School District","Sayles School","Non-ELL","*","*","*","*","*"
"1340611","1340011","Stafford School District","Stafford Elementary School","ELL","*","*","*","*","*"
"1340611","1340011","Stafford School District","Stafford Elementary School","Non-ELL","*","*","*","*","*"
"1346111","1340011","Stafford School District","Stafford High School","ELL","*","*","*","",""
"1346111","1340011","Stafford School District","Stafford High School","Non-ELL","*","*","*","10.4","10.9"
"1345211","1340011","Stafford School District","Stafford Middle School","ELL","","*","","*","*"
"1345211","1340011","Stafford School District","Stafford Middle School","Non-ELL","11.3","*","4.9","*","*"
"1340211","1340011","Stafford School District","Stafford Tutoring Program","Non-ELL","","","","*","*"
"1340311","1340011","Stafford School District","Staffordville School","ELL","*","*","","",""
"1340311","1340011","Stafford School District","Staffordville School","Non-ELL","*","*","8.0","9.7","7.4"
"1340411","1340011","Stafford School District","West Stafford School","ELL","*","","","","*"
"1340411","1340011","Stafford School District","West Stafford School","Non-ELL","*","8.3","6.1","6.3","*"
"2826013","2820013","Stamford Academy District","Stamford Academy","Non-ELL","*","97.3","*","86.9","99.3"
"2960113","2960013","Stamford Charter School for Excellence District","Stamford Charter School for Excellence","Non-ELL","","","","","8.2"
"1350411","1350011","Stamford School District","Alternate Routes To Success","ELL","","","","*","*"
"1350411","1350011","Stamford School District","Alternate Routes To Success","Non-ELL","","","","*","*"
"1355611","1350011","Stamford School District","Cloonan School","ELL","*","17.3","13.6","42.6","51.2"
"1355611","1350011","Stamford School District","Cloonan School","Non-ELL","*","21.5","10.1","38.7","38.9"
"1352011","1350011","Stamford School District","Davenport Ridge School","ELL","12.9","12.3","9.8","13.3","5.6"
"1352011","1350011","Stamford School District","Davenport Ridge School","Non-ELL","11.2","10.2","8.6","8.9","7.3"
"1355311","1350011","Stamford School District","Dolan School","ELL","23.6","11.3","*","34.4","24.4"
"1355311","1350011","Stamford School District","Dolan School","Non-ELL","13.2","15.1","*","25.8","22.7"
"1352211","1350011","Stamford School District","Hart School","ELL","8.0","8.3","7.1","8.4","12.8"
"1352211","1350011","Stamford School District","Hart School","Non-ELL","9.7","11.9","9.0","9.3","4.7"
"1350211","1350011","Stamford School District","Individuals Achieving Independence","ELL","","","","","*"
"1350211","1350011","Stamford School District","Individuals Achieving Independence","Non-ELL","","","","*","*"
"1351211","1350011","Stamford School District","Julia A. Stark School","ELL","6.1","7.4","6.3","11.5","8.0"
"1351211","1350011","Stamford School District","Julia A. Stark School","Non-ELL","5.1","9.5","5.2","11.2","7.8"
"1350511","1350011","Stamford School District","K. T. Murphy School","ELL","6.3","10.7","12.9","12.4","8.0"
"1350511","1350011","Stamford School District","K. T. Murphy School","Non-ELL","4.1","13.2","8.0","11.9","3.8"
"1350611","1350011","Stamford School District","Newfield School","ELL","16.9","23.8","12.6","14.2","7.3"
"1350611","1350011","Stamford School District","Newfield School","Non-ELL","9.4","11.6","11.2","8.4","6.4"
"1351811","1350011","Stamford School District","Northeast School","ELL","*","*","*","*","*"
"1351811","1350011","Stamford School District","Northeast School","Non-ELL","4.2","7.7","6.1","6.5","5.5"
"1355811","1350011","Stamford School District","Rippowam Middle School","ELL","12.1","34.3","23.3","15.4","18.0"
"1355811","1350011","Stamford School District","Rippowam Middle School","Non-ELL","16.2","19.5","7.6","11.9","8.8"
"1350811","1350011","Stamford School District","Rogers International School","ELL","*","*","*","23.7","17.2"
"1350811","1350011","Stamford School District","Rogers International School","Non-ELL","*","*","*","18.4","9.6"
"1350911","1350011","Stamford School District","Roxbury School","ELL","12.6","19.0","12.4","8.9","7.4"
"1350911","1350011","Stamford School District","Roxbury School","Non-ELL","9.1","14.5","9.5","12.6","12.5"
"1355711","1350011","Stamford School District","Scofield Middle School","ELL","*","*","0.0","*","*"
"1355711","1350011","Stamford School District","Scofield Middle School","Non-ELL","*","*","6.3","*","*"
"1351111","1350011","Stamford School District","Springdale School","ELL","8.5","11.5","7.9","4.8","*"
"1351111","1350011","Stamford School District","Springdale School","Non-ELL","9.0","8.1","6.5","6.4","*"
"1356111","1350011","Stamford School District","Stamford High School","ELL","12.9","17.4","19.4","17.4","17.3"
"1356111","1350011","Stamford School District","Stamford High School","Non-ELL","8.9","13.6","14.5","12.6","10.7"
"1352111","1350011","Stamford School District","Stillmeadow School","ELL","10.1","11.8","*","*","12.2"
"1352111","1350011","Stamford School District","Stillmeadow School","Non-ELL","9.7","12.8","*","*","11.1"
"1356411","1350011","Stamford School District","The Academy of Information Technology","ELL","*","*","*","*","*"
"1356411","1350011","Stamford School District","The Academy of Information Technology","Non-ELL","*","*","*","*","*"
"1351911","1350011","Stamford School District","Toquam Magnet School","ELL","9.7","24.1","10.1","11.6","10.3"
"1351911","1350011","Stamford School District","Toquam Magnet School","Non-ELL","10.4","11.5","7.9","8.9","9.4"
"1355511","1350011","Stamford School District","Turn of River School","ELL","17.9","19.4","14.7","30.0","15.1"
"1355511","1350011","Stamford School District","Turn of River School","Non-ELL","12.3","14.7","14.6","30.9","29.9"
"1356311","1350011","Stamford School District","Westhill High School","ELL","17.9","34.3","26.8","20.5","22.1"
"1356311","1350011","Stamford School District","Westhill High School","Non-ELL","14.0","23.5","16.5","17.2","15.4"
"1351411","1350011","Stamford School District","Westover School","ELL","9.8","10.3","9.4","8.6","8.5"
"1351411","1350011","Stamford School District","Westover School","Non-ELL","4.5","9.1","4.7","6.1","3.6"
"1360311","1360011","Sterling School District","Sterling Community School","Non-ELL","8.3","5.1","6.8","6.8","8.0"
"1370811","1370011","Stonington School District","Community Classroom","Non-ELL","","","","*","*"
"1370511","1370011","Stonington School District","Deans Mill School","ELL","*","*","*","*","*"
"1370511","1370011","Stonington School District","Deans Mill School","Non-ELL","*","*","*","*","*"
"1375211","1370011","Stonington School District","Mystic Middle School","ELL","*","","*","","*"
"1375211","1370011","Stonington School District","Mystic Middle School","Non-ELL","*","7.5","*","9.5","*"
"1375111","1370011","Stonington School District","Pawcatuck Middle School","ELL","*","*","*","*","*"
"1375111","1370011","Stonington School District","Pawcatuck Middle School","Non-ELL","*","*","*","*","*"
"1370711","1370011","Stonington School District","SAILS","Non-ELL","","","","","*"
"1376111","1370011","Stonington School District","Stonington High School","ELL","","*","*","*","*"
"1376111","1370011","Stonington School District","Stonington High School","Non-ELL","*","*","*","*","*"
"1370411","1370011","Stonington School District","West Broad Street School","ELL","","*","*","*","*"
"1370411","1370011","Stonington School District","West Broad Street School","Non-ELL","*","*","*","*","*"
"1370611","1370011","Stonington School District","West Vine Street School","ELL","*","*","*","","*"
"1370611","1370011","Stonington School District","West Vine Street School","Non-ELL","*","*","*","14.9","*"
"1381311","1380011","Stratford School District","Eli Whitney School","ELL","*","*","*","*","*"
"1381311","1380011","Stratford School District","Eli Whitney School","Non-ELL","*","7.9","*","4.9","7.0"
"1382511","1380011","Stratford School District","ABA Nichols","Non-ELL","","","","","*"
"1380611","1380011","Stratford School District","ABA Second Hill Lane","Non-ELL","","","","*","*"
"1382411","1380011","Stratford School District","ABA Whitney","Non-ELL","","","","","*"
"1380511","1380011","Stratford School District","ALPHA","Non-ELL","","","","62.5","74.4"
"1386211","1380011","Stratford School District","Bunnell High School","ELL","*","*","*","*","*"
"1386211","1380011","Stratford School District","Bunnell High School","Non-ELL","*","*","*","*","*"
"1380311","1380011","Stratford School District","Chapel School","ELL","*","*","*","*","0.0"
"1380311","1380011","Stratford School District","Chapel School","Non-ELL","*","*","*","*","8.3"
"1382311","1380011","Stratford School District","DLC Whitney","Non-ELL","","","","","*"
"1385211","1380011","Stratford School District","David Wooster Middle School","ELL","*","*","*","*","*"
"1385211","1380011","Stratford School District","David Wooster Middle School","Non-ELL","*","*","*","*","*"
"1382111","1380011","Stratford School District","Franklin STEPS K-2","Non-ELL","","","","*","*"
"1380411","1380011","Stratford School District","Franklin School","ELL","0.0","*","*","*","*"
"1380411","1380011","Stratford School District","Franklin School","Non-ELL","10.7","*","*","*","*"
"1385311","1380011","Stratford School District","Harry B. Flood Middle School","ELL","*","*","*","*","*"
"1385311","1380011","Stratford School District","Harry B. Flood Middle School","Non-ELL","*","*","*","*","*"
"1382011","1380011","Stratford School District","High School STEPS 9-12","Non-ELL","","","","*","*"
"1380711","1380011","Stratford School District","High School Sails","ELL","","","","*","*"
"1380711","1380011","Stratford School District","High School Sails","Non-ELL","","","","*","*"
"1381611","1380011","Stratford School District","Honeyspot School","ELL","*","*","*","*",""
"1381611","1380011","Stratford School District","Honeyspot School","Non-ELL","*","*","*","*",""
"1381111","1380011","Stratford School District","IPP Classroom - Johnson","Non-ELL","","","","*","*"
"1381711","1380011","Stratford School District","Intensive Need Classroom","Non-ELL","","","","*",""
"1381211","1380011","Stratford School District","Johnson House STEPS 3-6","Non-ELL","","","","*","*"
"1380811","1380011","Stratford School District","Lordship School","ELL","*","*","0.0","*","*"
"1380811","1380011","Stratford School District","Lordship School","Non-ELL","*","*","9.1","*","*"
"1381911","1380011","Stratford School District","Middle School STEPS 7-8","Non-ELL","","","","*","*"
"1381811","1380011","Stratford School District","Middle School Sails","ELL","","","","*","*"
"1381811","1380011","Stratford School District","Middle School Sails","Non-ELL","","","","*","*"
"1380911","1380011","Stratford School District","Nichols School","ELL","*","*","*","0.0","*"
"1380911","1380011","Stratford School District","Nichols School","Non-ELL","*","*","*","5.4","*"
"1381011","1380011","Stratford School District","Second Hill Lane School","ELL","*","8.5","*","7.9","*"
"1381011","1380011","Stratford School District","Second Hill Lane School","Non-ELL","*","8.2","*","6.5","*"
"1389111","1380011","Stratford School District","Secondary STEPS Program","Non-ELL","*","*","*","",""
"1382611","1380011","Stratford School District","Steps K-2 Nichols","Non-ELL","","","","","*"
"1382211","1380011","Stratford School District","Straford Academy - Victoria Soto School","ELL","","","","","*"
"1382211","1380011","Stratford School District","Straford Academy - Victoria Soto School","Non-ELL","","","","","*"
"1381511","1380011","Stratford School District","Stratford Academy - Johnson House","ELL","*","*","*","*","*"
"1381511","1380011","Stratford School District","Stratford Academy - Johnson House","Non-ELL","*","*","*","*","*"
"1386111","1380011","Stratford School District","Stratford High School","ELL","*","20.0","25.6","25.5","22.6"
"1386111","1380011","Stratford School District","Stratford High School","Non-ELL","*","19.3","22.3","17.3","23.3"
"1389011","1380011","Stratford School District","Strive-Stratford","Non-ELL","*","*","*","*","*"
"1381411","1380011","Stratford School District","Wilcoxson School","ELL","*","*","*","*","*"
"1381411","1380011","Stratford School District","Wilcoxson School","Non-ELL","*","*","*","*","*"
"1390411","1390011","Suffield School District","A. Ward Spaulding School","ELL","*","*","*","*","*"
"1390411","1390011","Suffield School District","A. Ward Spaulding School","Non-ELL","*","*","*","*","*"
"1390311","1390011","Suffield School District","McAlister Intermediate School","ELL","*","","*","*","*"
"1390311","1390011","Suffield School District","McAlister Intermediate School","Non-ELL","*","3.5","*","*","*"
"1396111","1390011","Suffield School District","Suffield High School","ELL","","*","*","","*"
"1396111","1390011","Suffield School District","Suffield High School","Non-ELL","11.5","*","*","3.4","*"
"1395111","1390011","Suffield School District","Suffield Middle School","ELL","","","","*","*"
"1395111","1390011","Suffield School District","Suffield Middle School","Non-ELL","7.4","6.2","5.2","*","*"
"2696113","2690013","The Bridge Academy District","The Bridge Academy","ELL","","*","*","*","*"
"2696113","2690013","The Bridge Academy District","The Bridge Academy","Non-ELL","4.2","*","*","*","*"
"9026122","9020022","The Gilbert School District","The Gilbert School","ELL","*","*","*","*","*"
"9026122","9020022","The Gilbert School District","The Gilbert School","Non-ELL","*","*","*","*","*"
"1400111","1400011","Thomaston School District","Black Rock School","ELL","*","*","*","*","*"
"1400111","1400011","Thomaston School District","Black Rock School","Non-ELL","*","10.6","6.4","4.7","4.3"
"1400211","1400011","Thomaston School District","Thomaston Center School","ELL","*","","","*","*"
"1400211","1400011","Thomaston School District","Thomaston Center School","Non-ELL","*","4.0","4.3","*","*"
"1406211","1400011","Thomaston School District","Thomaston High School","ELL","*","*","","","*"
"1406211","1400011","Thomaston School District","Thomaston High School","Non-ELL","*","*","5.1","8.4","*"
"1410211","1410011","Thompson School District","District Autism Program","Non-ELL","","","","*","*"
"1410111","1410011","Thompson School District","Mary R. Fisher Elementary School","ELL","*","","*","*","*"
"1410111","1410011","Thompson School District","Mary R. Fisher Elementary School","Non-ELL","*","10.1","*","*","*"
"1415111","1410011","Thompson School District","Thompson Middle School","ELL","*","","","*",""
"1415111","1410011","Thompson School District","Thompson Middle School","Non-ELL","*","4.7","3.8","*","5.0"
"1416111","1410011","Thompson School District","Tourtellotte Memorial High School","ELL","","","","*","*"
"1416111","1410011","Thompson School District","Tourtellotte Memorial High School","Non-ELL","19.8","10.7","12.4","*","*"
"1420111","1420011","Tolland School District","Birch Grove Primary School","ELL","*","*","*","*","*"
"1420111","1420011","Tolland School District","Birch Grove Primary School","Non-ELL","*","*","*","*","*"
"1420311","1420011","Tolland School District","TALC","Non-ELL","","","","*","*"
"1426111","1420011","Tolland School District","Tolland High School","ELL","","*","*","*","*"
"1426111","1420011","Tolland School District","Tolland High School","Non-ELL","9.3","*","*","*","*"
"1420211","1420011","Tolland School District","Tolland Intermediate School","ELL","*","*","*","*","*"
"1420211","1420011","Tolland School District","Tolland Intermediate School","Non-ELL","*","*","*","*","*"
"1425111","1420011","Tolland School District","Tolland Middle School","ELL","*","*","*","*","*"
"1425111","1420011","Tolland School District","Tolland Middle School","Non-ELL","*","*","*","*","*"
"1430111","1430011","Torrington School District","East School","ELL","*","*","*","*","*"
"1430111","1430011","Torrington School District","East School","Non-ELL","8.0","7.8","9.5","*","3.9"
"1431511","1430011","Torrington School District","ABC / Forbes School","Non-ELL","","","","","*"
"1431811","1430011","Torrington School District","East - The Learning Center","Non-ELL","","","","*",""
"1430211","1430011","Torrington School District","Forbes School","ELL","12.2","*","*","*","*"
"1430211","1430011","Torrington School District","Forbes School","Non-ELL","8.8","*","*","*","*"
"1431411","1430011","Torrington School District","Migeon Academy","ELL","","","","*",""
"1431411","1430011","Torrington School District","Migeon Academy","Non-ELL","","","","*","*"
"1430811","1430011","Torrington School District","Southwest School","ELL","*","*","*","*","0.0"
"1430811","1430011","Torrington School District","Southwest School","Non-ELL","*","*","*","*","8.4"
"1432411","1430011","Torrington School District","Torringford / ABC","Non-ELL","","","","","*"
"1430911","1430011","Torrington School District","Torringford School","ELL","*","*","0.0","*","0.0"
"1430911","1430011","Torrington School District","Torringford School","Non-ELL","*","*","6.0","*","5.3"
"1436111","1430011","Torrington School District","Torrington High School","ELL","18.5","12.0","31.3","20.4","12.2"
"1436111","1430011","Torrington School District","Torrington High School","Non-ELL","24.1","24.0","27.6","16.8","15.7"
"1435111","1430011","Torrington School District","Torrington Middle School","ELL","*","*","15.6","*","*"
"1435111","1430011","Torrington School District","Torrington Middle School","Non-ELL","*","*","13.0","*","*"
"1431711","1430011","Torrington School District","Vogel-Wetmore / Reach","Non-ELL","","","","*",""
"1431311","1430011","Torrington School District","Vogel-Wetmore School","ELL","*","*","6.6","0.0","*"
"1431311","1430011","Torrington School District","Vogel-Wetmore School","Non-ELL","*","*","7.6","7.7","*"
"2785113","2780013","Trailblazers Academy District","Trailblazers Academy","ELL","","","","","*"
"2785113","2780013","Trailblazers Academy District","Trailblazers Academy","Non-ELL","6.5","*","0.0","65.9","*"
"1440111","1440011","Trumbull School District","Booth Hill School","ELL","*","*","*","*","*"
"1440111","1440011","Trumbull School District","Booth Hill School","Non-ELL","2.5","4.1","1.6","3.8","2.7"
"1440811","1440011","Trumbull School District","Daniels Farm School","ELL","*","*","*","*","*"
"1440811","1440011","Trumbull School District","Daniels Farm School","Non-ELL","*","*","*","*","*"
"1441011","1440011","Trumbull School District","Frenchtown Elementary School","ELL","*","0.0","0.0","*","*"
"1441011","1440011","Trumbull School District","Frenchtown Elementary School","Non-ELL","*","5.4","1.4","*","*"
"1445211","1440011","Trumbull School District","Hillcrest Middle School","ELL","*","*","*","*","*"
"1445211","1440011","Trumbull School District","Hillcrest Middle School","Non-ELL","*","*","*","*","*"
"1440411","1440011","Trumbull School District","Jane Ryan School","ELL","*","*","*","*","*"
"1440411","1440011","Trumbull School District","Jane Ryan School","Non-ELL","*","*","*","*","*"
"1445111","1440011","Trumbull School District","Madison Middle School","ELL","*","*","*","*","*"
"1445111","1440011","Trumbull School District","Madison Middle School","Non-ELL","*","*","*","*","*"
"1440311","1440011","Trumbull School District","Middlebrook School","ELL","*","*","*","*","*"
"1440311","1440011","Trumbull School District","Middlebrook School","Non-ELL","*","3.5","*","3.9","5.8"
"1440511","1440011","Trumbull School District","REACH","Non-ELL","","","","*","*"
"1440911","1440011","Trumbull School District","Tashua School","ELL","*","*","*","*","*"
"1440911","1440011","Trumbull School District","Tashua School","Non-ELL","*","*","*","*","*"
"1440211","1440011","Trumbull School District","Trumbull Alternative School","Non-ELL","","","","*","*"
"1446111","1440011","Trumbull School District","Trumbull High School","ELL","33.3","*","*","*","*"
"1446111","1440011","Trumbull School District","Trumbull High School","Non-ELL","8.9","*","*","*","*"
"3360115","3360015","Unified School District #1","Bridgeport Correctional Center","Non-ELL","25.0","44.0","*","*","*"
"3360215","3360015","Unified School District #1","Brooklyn Correctional Institution","Non-ELL","*","*","*","*",""
"3360315","3360015","Unified School District #1","Cheshire Correctional Institution","Non-ELL","41.9","58.8","65.2","*","*"
"3362415","3360015","Unified School District #1","Corrigan/Radgowski Correctional Institution","Non-ELL","88.9","39.4","25.9","*","*"
"3360415","3360015","Unified School District #1","Enfield Correctional Institution","Non-ELL","*","*","*","*","*"
"3361915","3360015","Unified School District #1","Garner Correctional Institution","Non-ELL","85.7","70.8","52.0","51.7","*"
"3360615","3360015","Unified School District #1","Hartford Correctional Center","Non-ELL","95.7","32.4","*","*","*"
"3362215","3360015","Unified School District #1","MacDougall/Walker Correctional Institution","Non-ELL","84.0","48.8","*","*","*"
"3361115","3360015","Unified School District #1","Manson Youth Institution","Non-ELL","42.6","52.1","18.4","30.7","39.9"
"3360915","3360015","Unified School District #1","New Haven Correctional Center","Non-ELL","36.7","*","*","*","*"
"3362615","3360015","Unified School District #1","Northern Correctional Institution","Non-ELL","*","*","*","*","*"
"3361215","3360015","Unified School District #1","Osborn Correctional Institution","Non-ELL","48.3","*","*","*","*"
"3361315","3360015","Unified School District #1","Robinson Correctional Institution","Non-ELL","72.0","*","*","*","*"
"3361515","3360015","Unified School District #1","Willard/Cybulski Correctional Institution","Non-ELL","*","*","","*","*"
"3362515","3360015","Unified School District #1","York Correctional Institution","Non-ELL","*","*","*","*","*"
"3470115","3470015","Unified School District #2","Children''s Place School","ELL","*","","","",""
"3470115","3470015","Unified School District #2","Children''s Place School","Non-ELL","*","*","","",""
"3470115","3470015","Unified School District #2","Children's Place School","Non-ELL","","","0.0","*","*"
"3470315","3470015","Unified School District #2","Riverview School","ELL","*","","","",""
"3470315","3470015","Unified School District #2","Riverview School","Non-ELL","65.5","*","*","*","*"
"3470215","3470015","Unified School District #2","Virtual Academy","Non-ELL","","","","","*"
"3476715","3470015","Unified School District #2","Walter G. Cady School","ELL","","","*","",""
"3476715","3470015","Unified School District #2","Walter G. Cady School","Non-ELL","*","*","*","*","*"
"1450111","1450011","Union School District","Union Elementary School","Non-ELL","0.0","0.0","*","7.8","*"
"1460311","1460011","Vernon School District","Northeast School","ELL","*","*","*","*","*"
"1460311","1460011","Vernon School District","Northeast School","Non-ELL","7.1","7.9","*","6.2","5.8"
"1461411","1460011","Vernon School District","Center Road School","ELL","*","0.0","*","*","16.7"
"1461411","1460011","Vernon School District","Center Road School","Non-ELL","*","2.6","*","*","2.3"
"1460111","1460011","Vernon School District","Lake Street School","ELL","*","*","*","*","*"
"1460111","1460011","Vernon School District","Lake Street School","Non-ELL","*","*","*","*","*"
"1460511","1460011","Vernon School District","Loveland Hill School","Non-ELL","","","*","*","*"
"1460211","1460011","Vernon School District","Maple Street School","ELL","*","","","",""
"1460211","1460011","Vernon School District","Maple Street School","Non-ELL","*","8.0","12.2","10.4","8.2"
"1469011","1460011","Vernon School District","Next Step Program (AACBP)","Non-ELL","*","*","*","*","*"
"1466111","1460011","Vernon School District","Rockville High School","ELL","26.1","*","*","*","28.6"
"1466111","1460011","Vernon School District","Rockville High School","Non-ELL","15.6","*","*","*","18.2"
"1461011","1460011","Vernon School District","Skinner Road School","ELL","*","*","*","*","*"
"1461011","1460011","Vernon School District","Skinner Road School","Non-ELL","*","*","*","*","*"
"1465111","1460011","Vernon School District","Vernon Center Middle School","ELL","*","*","*","*","*"
"1465111","1460011","Vernon School District","Vernon Center Middle School","Non-ELL","*","*","*","*","*"
"1470111","1470011","Voluntown School District","Voluntown Elementary School","Non-ELL","7.6","7.6","9.5","5.8","*"
"1480211","1480011","Wallingford School District","Highland School","ELL","*","*","*","*","*"
"1480211","1480011","Wallingford School District","Highland School","Non-ELL","10.2","*","*","2.2","*"
"1489011","1480011","Wallingford School District","A.R.T.S. Academy","ELL","","","","*",""
"1489011","1480011","Wallingford School District","A.R.T.S. Academy","Non-ELL","78.3","*","*","*","*"
"1481011","1480011","Wallingford School District","Cook Hill School","ELL","*","*","*","*","*"
"1481011","1480011","Wallingford School District","Cook Hill School","Non-ELL","*","*","*","*","*"
"1485211","1480011","Wallingford School District","Dag  Hammarskjold Middle School","ELL","*","*","*","*",""
"1485211","1480011","Wallingford School District","Dag  Hammarskjold Middle School","Non-ELL","*","*","*","*",""
"1485211","1480011","Wallingford School District","Dag Hammarskjold Middle School","ELL","","","","","*"
"1485211","1480011","Wallingford School District","Dag Hammarskjold Middle School","Non-ELL","","","","","*"
"1480511","1480011","Wallingford School District","Education Enhancement Program","Non-ELL","","","","50.0","35.0"
"1480911","1480011","Wallingford School District","Evarts C. Stevens School","ELL","*","*","*","*","*"
"1480911","1480011","Wallingford School District","Evarts C. Stevens School","Non-ELL","*","*","*","*","*"
"1489211","1480011","Wallingford School District","Harvest Park","Non-ELL","*","*","*","*","*"
"1485311","1480011","Wallingford School District","James H. Moran Middle School","ELL","*","*","0.0","0.0","*"
"1485311","1480011","Wallingford School District","James H. Moran Middle School","Non-ELL","*","*","5.6","4.5","*"
"1486111","1480011","Wallingford School District","Lyman Hall High School","ELL","*","*","*","0.0","*"
"1486111","1480011","Wallingford School District","Lyman Hall High School","Non-ELL","*","*","*","7.3","*"
"1486211","1480011","Wallingford School District","Mark T. Sheehan High School","ELL","","*","*","*","24.0"
"1486211","1480011","Wallingford School District","Mark T. Sheehan High School","Non-ELL","8.6","*","*","*","6.1"
"1480111","1480011","Wallingford School District","Moses Y. Beach School","ELL","28.6","*","*","*","*"
"1480111","1480011","Wallingford School District","Moses Y. Beach School","Non-ELL","15.6","*","*","*","*"
"1489111","1480011","Wallingford School District","Multi-Vocational Life Skills Program","Non-ELL","*","*","*","*","*"
"1480311","1480011","Wallingford School District","Parker Farms School","ELL","*","*","*","0.0","*"
"1480311","1480011","Wallingford School District","Parker Farms School","Non-ELL","*","*","*","5.1","*"
"1481211","1480011","Wallingford School District","Pond Hill School","ELL","*","*","*","*","*"
"1481211","1480011","Wallingford School District","Pond Hill School","Non-ELL","*","*","*","*","*"
"1480411","1480011","Wallingford School District","Rock Hill School","ELL","*","*","*","*","*"
"1480411","1480011","Wallingford School District","Rock Hill School","Non-ELL","*","*","*","*","*"
"1480811","1480011","Wallingford School District","Yalesville School","ELL","*","*","*","*","*"
"1480811","1480011","Wallingford School District","Yalesville School","Non-ELL","*","*","*","*","*"
"3480415","1510011","Waterbury School District","SAGE","Non-ELL","","","","","*"
"3480115","1510011","Waterbury School District","Bridgeport Detention Center","ELL","","","","","*"
"3480115","1510011","Waterbury School District","Bridgeport Detention Center","Non-ELL","","","","","*"
"1515211","1510011","Waterbury School District","West Side Middle School","ELL","*","*","*","29.4","*"
"1515211","1510011","Waterbury School District","West Side Middle School","Non-ELL","20.5","21.0","19.7","15.9","18.5"
"1512311","1510011","Waterbury School District","Washington School","ELL","*","*","14.9","*","*"
"1512311","1510011","Waterbury School District","Washington School","Non-ELL","9.8","14.0","13.1","11.2","13.0"
"1512111","1510011","Waterbury School District","B. W. Tinker School","ELL","*","*","16.7","14.0","16.7"
"1512111","1510011","Waterbury School District","B. W. Tinker School","Non-ELL","*","*","10.0","8.9","6.3"
"1510411","1510011","Waterbury School District","B.W. Tinker BDLC","ELL","","","","","*"
"1510411","1510011","Waterbury School District","B.W. Tinker BDLC","Non-ELL","","","","","*"
"1514311","1510011","Waterbury School District","Bucks Hill Bilingual","ELL","","","","","12.0"
"1510511","1510011","Waterbury School District","Bucks Hill School","ELL","18.6","*","10.9","18.2","13.0"
"1510511","1510011","Waterbury School District","Bucks Hill School","Non-ELL","14.8","*","15.8","15.4","11.7"
"1510111","1510011","Waterbury School District","Bunker Hill BDLC","ELL","","","","","*"
"1510111","1510011","Waterbury School District","Bunker Hill BDLC","Non-ELL","","","","","*"
"1510611","1510011","Waterbury School District","Bunker Hill School","ELL","14.6","26.3","31.4","30.0","13.6"
"1510611","1510011","Waterbury School District","Bunker Hill School","Non-ELL","15.7","18.3","19.5","19.8","10.2"
"1511911","1510011","Waterbury School District","Carrington ESC","Non-ELL","","","","","*"
"1512711","1510011","Waterbury School District","Carrington School","ELL","20.3","20.9","16.7","*","*"
"1512711","1510011","Waterbury School District","Carrington School","Non-ELL","8.0","8.1","7.8","*","*"
"1514111","1510011","Waterbury School District","Chase Bilingual","ELL","","","","","9.5"
"1514511","1510011","Waterbury School District","Crosby Autism","Non-ELL","","","","","*"
"1516211","1510011","Waterbury School District","Crosby High School","ELL","39.5","29.3","36.8","41.1","34.5"
"1516211","1510011","Waterbury School District","Crosby High School","Non-ELL","27.9","32.0","30.0","33.7","31.6"
"1514011","1510011","Waterbury School District","Crosby NVCC (Waterbury Transition Learning Center)","ELL","","","","","*"
"1514011","1510011","Waterbury School District","Crosby NVCC (Waterbury Transition Learning Center)","Non-ELL","","","","","*"
"1510911","1510011","Waterbury School District","Driggs School","ELL","40.4","16.7","34.6","15.4","23.7"
"1510911","1510011","Waterbury School District","Driggs School","Non-ELL","22.4","18.8","25.8","16.6","20.2"
"1513611","1510011","Waterbury School District","Duggan CBL","Non-ELL","","","","","*"
"1511611","1510011","Waterbury School District","Duggan School","ELL","*","*","*","*","18.2"
"1511611","1510011","Waterbury School District","Duggan School","Non-ELL","*","*","*","*","8.6"
"1519111","1510011","Waterbury School District","Enlightenment School","ELL","95.2","*","81.5","*","100.0"
"1519111","1510011","Waterbury School District","Enlightenment School","Non-ELL","85.1","*","93.2","*","94.3"
"1513911","1510011","Waterbury School District","Excel III","ELL","","","","","*"
"1513911","1510011","Waterbury School District","Excel III","Non-ELL","","","","","*"
"1511411","1510011","Waterbury School District","F. J. Kingsbury School","ELL","13.2","22.2","*","21.1","12.5"
"1511411","1510011","Waterbury School District","F. J. Kingsbury School","Non-ELL","11.5","15.2","*","12.5","6.5"
"1512611","1510011","Waterbury School District","Gilmartin School","ELL","*","18.4","16.2","18.0","*"
"1512611","1510011","Waterbury School District","Gilmartin School","Non-ELL","*","10.5","10.7","11.5","*"
"1510711","1510011","Waterbury School District","H. S. Chase School","ELL","13.4","14.7","9.6","13.0","*"
"1510711","1510011","Waterbury School District","H. S. Chase School","Non-ELL","6.7","7.7","7.7","6.2","*"
"1514211","1510011","Waterbury School District","Hopeville Bilingual","ELL","","","","","11.8"
"1511311","1510011","Waterbury School District","Hopeville School","ELL","18.1","13.8","21.2","21.5","*"
"1511311","1510011","Waterbury School District","Hopeville School","Non-ELL","14.3","14.7","20.4","14.9","*"
"1516411","1510011","Waterbury School District","John F. Kennedy High School","ELL","35.0","38.7","40.0","37.0","39.4"
