"school_code","district_code","district","school","gender","2011_12","2012_13","2013_14","2014_15","2015_16"
"0171111","0170011","Bristol School District","South Side School","Female","8.2","6.3","9.8","9.7","6.1"
"0171111","0170011","Bristol School District","South Side School","Male","9.1","4.3","7.9","7.8","5.1"
"0173211","0170011","Bristol School District","Stafford Autism","Female","","","","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","Male","","","","*","*"
"0171211","0170011","Bristol School District","Stafford School","Female","12.9","9.3","19.3","15.9","8.6"
"0171211","0170011","Bristol School District","Stafford School","Male","15.3","11.3","17.0","21.9","3.2"
"0172011","0170011","Bristol School District","West Bristol School","Female","","10.5","13.4","10.9","6.5"
"0172011","0170011","Bristol School District","West Bristol School","Male","","9.8","11.3","10.0","9.5"
"0186111","0180011","Brookfield School District","Brookfield High School","Female","7.3","*","5.6","6.7","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Male","6.2","*","4.5","5.3","*"
"0180311","0180011","Brookfield School District","Center Elementary School","Female","3.7","*","*","*","3.6"
"0180311","0180011","Brookfield School District","Center Elementary School","Male","5.8","*","*","*","3.6"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Female","2.2","*","3.0","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Male","3.8","*","2.5","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Female","3.6","2.6","4.0","2.5","3.3"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Male","4.2","3.5","5.0","3.9","2.7"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Female","3.2","7.1","4.5","4.1","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Male","6.4","7.9","3.2","5.1","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Female","8.2","5.2","3.5","5.0","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Male","9.9","6.8","5.4","6.3","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Female","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Male","*","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Female","*","5.8","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Male","*","6.3","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Female","*","8.6","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Male","*","5.6","*","*","*"
"0230411","0230011","Canton School District","Canton Academy","Female","","","","*",""
"0230411","0230011","Canton School District","Canton Academy","Male","","","","*","*"
"0236111","0230011","Canton School District","Canton High School","Female","5.6","4.7","5.9","*","9.5"
"0236111","0230011","Canton School District","Canton High School","Male","3.8","3.4","4.5","*","2.6"
"0230311","0230011","Canton School District","Canton Intermediate School","Female","5.4","3.9","13.6","16.5","5.2"
"0230311","0230011","Canton School District","Canton Intermediate School","Male","4.3","4.5","11.1","13.0","3.0"
"0235111","0230011","Canton School District","Canton Middle School","Female","*","5.8","*","*","*"
"0235111","0230011","Canton School District","Canton Middle School","Male","*","6.2","*","*","*"
