district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Farmington School District,Farmington High School,Non-Special Education,97.4,97.9,*,*,98.2,0526111,Farmington High School,Farmington School District
Farmington School District,Farmington High School,Special Education,79.2,85.7,*,*,85.4,0526111,Farmington High School,Farmington School District
Glastonbury School District,Glastonbury High School,Non-Special Education,98.7,*,*,99.1,99.8,0546111,Glastonbury High School,Glastonbury School District
Glastonbury School District,Glastonbury High School,Special Education,76.4,*,*,95.3,96.2,0546111,Glastonbury High School,Glastonbury School District
Granby School District,Granby Memorial High School,Non-Special Education,98.2,*,*,*,100.0,0566111,Granby Memorial High School,Granby School District
Granby School District,Granby Memorial High School,Special Education,100.0,*,*,*,90.0,0566111,Granby Memorial High School,Granby School District
Greenwich School District,Greenwich High School,Non-Special Education,94.0,96.5,97.4,98.0,*,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Special Education,83.9,86.2,93.6,91.9,*,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold High School,Non-Special Education,89.2,90.6,90.0,94.3,93.5,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Special Education,76.9,*,59.3,70.0,*,0586211,Griswold High School,Griswold School District
Groton School District,Robert E. Fitch High School,Non-Special Education,85.5,86.4,87.3,91.2,90.0,0596111,Robert E. Fitch High School,Groton School District
Groton School District,Robert E. Fitch High School,Special Education,63.9,63.4,72.5,68.0,85.7,0596111,Robert E. Fitch High School,Groton School District
Guilford School District,Guilford High School,Non-Special Education,*,96.3,97.2,97.5,*,0606111,Guilford High School,Guilford School District
Guilford School District,Guilford High School,Special Education,*,77.8,58.6,88.9,*,0606111,Guilford High School,Guilford School District
Hamden School District,Hamden High School,Non-Special Education,88.5,88.1,94.1,93.2,94.9,0626111,Hamden High School,Hamden School District
Hamden School District,Hamden High School,Special Education,69.4,81.0,73.5,80.0,77.4,0626111,Hamden High School,Hamden School District
Hartford School District,Bulkeley High School Upper School,Non-Special Education,68.5,77.5,72.4,71.4,73.2,,,
Hartford School District,Bulkeley High School Upper School,Special Education,43.1,36.0,78.1,77.8,58.3,,,
Hartford School District,Capital Community College Magnet Academy,Non-Special Education,,,,*,96.0,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Community College Magnet Academy,Special Education,,,,*,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Non-Special Education,97.0,100.0,98.0,94.4,88.5,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Special Education,,,*,*,*,0646911,Capital Preparatory Magnet School,Hartford School District
