drg,district_code,district,type,amount,year,pct,state_pct,school_code
H,0370011,Derby School District,Instructional Staff and Services,10833399.0,2010-11,0.540959696966,0.555348246945,0370011
D,0400011,East Granby School District,Instructional Staff and Services,7987281.0,2010-11,0.563807898129,0.555348246945,0400011
E,0410011,East Haddam School District,Instructional Staff and Services,10767957.0,2010-11,0.551314035217,0.555348246945,0410011
D,0420011,East Hampton School District,Instructional Staff and Services,16523615.0,2010-11,0.589842275271,0.555348246945,0420011
H,0430011,East Hartford School District,Instructional Staff and Services,64195671.0,2010-11,0.626004579601,0.555348246945,0430011
G,0440011,East Haven School District,Instructional Staff and Services,25482918.0,2010-11,0.502193237438,0.555348246945,0440011
D,0450011,East Lyme School District,Instructional Staff and Services,24823894.0,2010-11,0.598092663173,0.555348246945,0450011
F,0470011,East Windsor School District,Instructional Staff and Services,12022003.0,2010-11,0.561272164923,0.555348246945,0470011
E,0390011,Eastford School District,Instructional Staff and Services,1752949.0,2010-11,0.585203697206,0.555348246945,0390011
A,0460011,Easton School District,Instructional Staff and Services,10166330.0,2010-11,0.653153731953,0.555348246945,0460011
C,0480011,Ellington School District,Instructional Staff and Services,18459903.0,2010-11,0.599521633784,0.555348246945,0480011
,2890013,Elm City College Preparatory School District,Instructional Staff and Services,3136025.0,2010-11,0.400099845549,0.555348246945,2890013
,2910013,Elm City Montessori School District,Instructional Staff and Services,,2010-11,,0.555348246945,2910013
F,0490011,Enfield School District,Instructional Staff and Services,46355322.0,2010-11,0.61610776137,0.555348246945,0490011
C,0500011,Essex School District,Instructional Staff and Services,4381720.0,2010-11,0.591483923082,0.555348246945,0500011
,2720013,Explorations District,Instructional Staff and Services,598458.0,2010-11,0.532227124411,0.555348246945,2720013
B,0510011,Fairfield School District,Instructional Staff and Services,81670230.0,2010-11,0.536267194499,0.555348246945,0510011
B,0520011,Farmington School District,Instructional Staff and Services,34947604.0,2010-11,0.620428865572,0.555348246945,0520011
E,0530011,Franklin School District,Instructional Staff and Services,1724489.0,2010-11,0.566451099635,0.555348246945,0530011
B,0540011,Glastonbury School District,Instructional Staff and Services,50267465.0,2010-11,0.545514729033,0.555348246945,0540011
B,0560011,Granby School District,Instructional Staff and Services,15819338.0,2010-11,0.557001409885,0.555348246945,0560011
,2940013,Great Oaks Charter School District,Instructional Staff and Services,,2010-11,,0.555348246945,2940013
B,0570011,Greenwich School District,Instructional Staff and Services,107833701.0,2010-11,0.654164275158,0.555348246945,0570011
F,0580011,Griswold School District,Instructional Staff and Services,17118222.0,2010-11,0.625535688837,0.555348246945,0580011
G,0590011,Groton School District,Instructional Staff and Services,43937423.0,2010-11,0.570847840094,0.555348246945,0590011
B,0600011,Guilford School District,Instructional Staff and Services,30094247.0,2010-11,0.576388211493,0.555348246945,0600011
G,0620011,Hamden School District,Instructional Staff and Services,61214976.0,2010-11,0.562444560048,0.555348246945,0620011
E,0630011,Hampton School District,Instructional Staff and Services,1430075.0,2010-11,0.589647487636,0.555348246945,0630011
I,0640011,Hartford School District,Instructional Staff and Services,190625798.0,2010-11,0.488994728781,0.555348246945,0640011
E,0650011,Hartland School District,Instructional Staff and Services,1657011.0,2010-11,0.481701566784,0.555348246945,0650011
C,0670011,Hebron School District,Instructional Staff and Services,7930217.0,2010-11,0.636848542046,0.555348246945,0670011
,2860013,Highville Charter School District,Instructional Staff and Services,1582577.0,2010-11,0.488006870309,0.555348246945,2860013
,2640013,Integrated Day Charter School District,Instructional Staff and Services,1956629.0,2010-11,0.59633251491,0.555348246945,2640013
,2650013,Interdistrict School for Arts and Comm District,Instructional Staff and Services,1472065.0,2010-11,0.669831084432,0.555348246945,2650013
,2610013,Jumoke Academy District,Instructional Staff and Services,2503105.0,2010-11,0.532690343685,0.555348246945,2610013
E,0680011,Kent School District,Instructional Staff and Services,2886000.0,2010-11,0.594175963791,0.555348246945,0680011
G,0690011,Killingly School District,Instructional Staff and Services,20538354.0,2010-11,0.528226192341,0.555348246945,0690011
E,0710011,Lebanon School District,Instructional Staff and Services,11399480.0,2010-11,0.60542045979,0.555348246945,0710011
D,0720011,Ledyard School District,Instructional Staff and Services,18988231.0,2010-11,0.552609144581,0.555348246945,0720011
E,0730011,Lisbon School District,Instructional Staff and Services,4539863.0,2010-11,0.567264690818,0.555348246945,0730011
E,0740011,Litchfield School District,Instructional Staff and Services,9049219.0,2010-11,0.525089978016,0.555348246945,0740011
B,0760011,Madison School District,Instructional Staff and Services,27513111.0,2010-11,0.551894126781,0.555348246945,0760011
G,0770011,Manchester School District,Instructional Staff and Services,60703629.0,2010-11,0.572304017626,0.555348246945,0770011
C,0780011,Mansfield School District,Instructional Staff and Services,13564750.0,2010-11,0.624400301135,0.555348246945,0780011
