district,school,english_learner_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Hartford School District,Global Communications Academy,ELL,,,,,*,0643611,Global Communications Academy,Hartford School District
Hartford School District,Global Communications Academy,Non-ELL,,,,,94.9,0643611,Global Communications Academy,Hartford School District
Hartford School District,Great Path Academy High School at MCC,ELL,,*,*,,,,,
Hartford School District,Great Path Academy High School at MCC,Non-ELL,,94.0,92.2,,,,,
Hartford School District,Great Path Academy at MCC,ELL,,,,*,*,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,Great Path Academy at MCC,Non-ELL,,,,91.2,93.5,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,HPHS Academy of Engineering and Green Technology,ELL,51.4,61.1,*,79.3,50.0,,,
Hartford School District,HPHS Academy of Engineering and Green Technology,Non-ELL,64.5,64.5,62.7,68.5,56.8,,,
Hartford School District,HPHS Academy of Nursing and Health Science,ELL,37.9,56.5,63.6,60.7,54.5,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Non-ELL,77.1,74.2,67.3,77.8,68.3,,,
Hartford School District,HPHS Law and Government Academy,ELL,50.0,52.4,47.6,*,65.6,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,HPHS Law and Government Academy,Non-ELL,46.8,75.8,77.0,63.8,65.5,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,ELL,,,,*,*,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Non-ELL,,,,95.9,93.3,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,High School Inc.,ELL,,*,*,*,,,,
Hartford School District,High School Inc.,Non-ELL,,70.0,66.2,76.0,,,,
Hartford School District,"High School, Inc.",ELL,,,,,*,0647611,"High School, Inc.",Hartford School District
Hartford School District,"High School, Inc.",Non-ELL,,,,,76.1,0647611,"High School, Inc.",Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,ELL,,*,*,*,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Non-ELL,,66.7,72.9,72.7,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,ELL,,,,,*,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Non-ELL,,,,,93.5,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,OPPortunity High School,ELL,*,*,*,,,0647811,OPPortunity High School,Hartford School District
