school_code,district_code,district,school,no,yes,total,year
0931611,0930011,New Haven School District,Fair Haven School,381,493,874,2016-17
0938711,0930011,New Haven School District,Fair Haven Self Contained ID,*,*,*,2016-17
0938011,0930011,New Haven School District,Headstart,220,0,220,2016-17
0938311,0930011,New Haven School District,Helene Grant HeadStart,36,0,36,2016-17
0936611,0930011,New Haven School District,High School In The Community,226,25,251,2016-17
0930711,0930011,New Haven School District,Hill Central Music Academy,302,185,487,2016-17
0936311,0930011,New Haven School District,Hill Regional Career High School,614,34,648,2016-17
0936211,0930011,New Haven School District,James Hillhouse High School,791,122,913,2016-17
0931311,0930011,New Haven School District,John C. Daniels,413,112,525,2016-17
0930811,0930011,New Haven School District,John S. Martinez Sea and Sky STEM School,310,227,537,2016-17
0933011,0930011,New Haven School District,King/Robinson Magnet School,512,24,536,2016-17
0932011,0930011,New Haven School District,Lincoln-Bassett School,373,9,382,2016-17
0931911,0930011,New Haven School District,Mauro-Sheridan Magnet School,481,56,537,2016-17
0936011,0930011,New Haven School District,Metropolitan Business Academy,387,20,407,2016-17
0937711,0930011,New Haven School District,Nathan Hale Self Contained ID,*,*,10,2016-17
0937011,0930011,New Haven School District,New Haven Academy,*,*,288,2016-17
0932211,0930011,New Haven School District,New Horizons High School,86,7,93,2016-17
0932611,0930011,New Haven School District,New Light High School,*,*,64,2016-17
0937311,0930011,New Haven School District,Off-Campus Classroom Program (OCC),37,8,45,2016-17
0933511,0930011,New Haven School District,Quinnipiac Real World Math STEM School,263,67,330,2016-17
0939111,0930011,New Haven School District,Riverside Education Academy,78,8,86,2016-17
0934211,0930011,New Haven School District,Roberto Clemente Leadership Academy for Global Awareness,381,99,480,2016-17
0931011,0930011,New Haven School District,Ross/Woodward School,634,55,689,2016-17
0936711,0930011,New Haven School District,Sound School,321,12,333,2016-17
0932811,0930011,New Haven School District,Strong 21st Century Communications Magnet and SCSU Lab School,233,111,344,2016-17
0937611,0930011,New Haven School District,Strong Self Contained Autism,21,0,21,2016-17
0932911,0930011,New Haven School District,Truman School,263,270,533,2016-17
0934911,0930011,New Haven School District,West Rock Authors Academy,195,14,209,2016-17
0938411,0930011,New Haven School District,West Rock Self Contained Autism,11,0,11,2016-17
0938611,0930011,New Haven School District,Wexler Grant Self Contained,*,0,*,2016-17
0933211,0930011,New Haven School District,Wexler/Grant Community School,410,25,435,2016-17
0936111,0930011,New Haven School District,Wilbur Cross High School,1152,336,1488,2016-17
0938511,0930011,New Haven School District,Wilbur Cross Self Contained MD,*,*,21,2016-17
0933811,0930011,New Haven School District,Worthington Hooker School,374,70,444,2016-17
0950311,0950011,New London School District,Jennings School,276,258,534,2016-17
0955111,0950011,New London School District,Bennie Dover Jackson Middle School,307,109,416,2016-17
0950611,0950011,New London School District,Harbor,169,55,224,2016-17
0950911,0950011,New London School District,Nathan Hale Arts Magnet School,433,90,523,2016-17
0956111,0950011,New London School District,New London High School,419,166,585,2016-17
0951411,0950011,New London School District,New London Visual and Performing Arts Magnet School,93,12,105,2016-17
0950711,0950011,New London School District,Pre-Kindergarten at Winthrop,*,0,*,2016-17
0951311,0950011,New London School District,Science and Technology Magnet School of Southeastern Connecticut,533,26,559,2016-17
0950811,0950011,New London School District,Winthrop STEM Elementary Magnet School,482,78,560,2016-17
0960511,0960011,New Milford School District,Hill And Plain School,408,37,445,2016-17
0969011,0960011,New Milford School District,Litchfield Hills Transition Center,19,0,19,2016-17
0966111,0960011,New Milford School District,New Milford High School,1346,20,1366,2016-17
0960811,0960011,New Milford School District,Northville Elementary School,434,13,447,2016-17
0960911,0960011,New Milford School District,Sarah Noble Intermediate School,867,36,903,2016-17
0965211,0960011,New Milford School District,Schaghticoke Middle School,1000,25,1025,2016-17
3480415,3480015,Newington School District,SAGE,*,0,*,2016-17
0940611,0940011,Newington School District,Anna Reynolds School,433,47,480,2016-17
0940211,0940011,Newington School District,Elizabeth Green School,262,34,296,2016-17
0940811,0940011,Newington School District,John Paterson School,327,44,371,2016-17
0945311,0940011,Newington School District,John Wallace Middle School,675,13,688,2016-17
0945111,0940011,Newington School District,Martin Kellogg Middle School,588,11,599,2016-17
0946111,0940011,Newington School District,Newington High School,1251,18,1269,2016-17
0940711,0940011,Newington School District,Ruth Chaffee School,314,33,347,2016-17
0970111,0970011,Newtown School District,Hawley Elementary School,*,*,300,2016-17
0970411,0970011,Newtown School District,Head O'Meadow Elementary School,*,*,273,2016-17
0970311,0970011,Newtown School District,Middle Gate Elementary School,*,*,365,2016-17
0976111,0970011,Newtown School District,Newtown High School,*,*,1684,2016-17
0975111,0970011,Newtown School District,Newtown Middle School,750,0,750,2016-17
0978011,0970011,Newtown School District,Newtown Preschool,60,0,60,2016-17
0970511,0970011,Newtown School District,Reed Intermediate School,*,*,659,2016-17
0970211,0970011,Newtown School District,Sandy Hook Elementary School,*,*,356,2016-17
0980111,0980011,Norfolk School District,Botelle Elementary School,102,0,102,2016-17
0990411,0990011,North Branford School District,Jerome Harrison School,*,*,401,2016-17
0996111,0990011,North Branford School District,North Branford High School,*,*,577,2016-17
0995111,0990011,North Branford School District,North Branford Intermediate School,*,*,462,2016-17
0999011,0990011,North Branford School District,School to Work Program,*,0,*,2016-17
0990611,0990011,North Branford School District,Totoket Valley Elementary School,384,7,391,2016-17
1000111,1000011,North Canaan School District,North Canaan Elementary School,267,11,278,2016-17
1010811,1010011,North Haven School District,Clintonville Elementary School,307,11,318,2016-17
1010711,1010011,North Haven School District,Green Acres Elementary School,340,29,369,2016-17
1010211,1010011,North Haven School District,Montowese Elementary School,263,13,276,2016-17
1016111,1010011,North Haven School District,North Haven High School,1003,12,1015,2016-17
1015211,1010011,North Haven School District,North Haven Middle School,734,12,746,2016-17
1010111,1010011,North Haven School District,North Haven Transition Partnership,6,0,6,2016-17
1010311,1010011,North Haven School District,Ridge Road Elementary School,385,20,405,2016-17
1020111,1020011,North Stonington School District,North Stonington Elementary School,371,0,371,2016-17
1026111,1020011,North Stonington School District,Wheeler High School,*,*,359,2016-17
1036211,1030011,Norwalk School District,Brien McMahon High School,1296,185,1481,2016-17
1030211,1030011,Norwalk School District,Brookside Elementary School,351,105,456,2016-17
1030511,1030011,Norwalk School District,Center for Global Studies,*,*,290,2016-17
1030311,1030011,Norwalk School District,Columbus Magnet School,307,35,342,2016-17
1030411,1030011,Norwalk School District,Cranbury Elementary School,413,35,448,2016-17
1032011,1030011,Norwalk School District,Fox Run Elementary School,407,39,446,2016-17
1030711,1030011,Norwalk School District,Jefferson Magnet School,443,151,594,2016-17
1030811,1030011,Norwalk School District,Kendall Elementary School,377,160,537,2016-17
1032211,1030011,Norwalk School District,Marvin Elementary School,362,85,447,2016-17
1032111,1030011,Norwalk School District,Naramake Elementary School,364,42,406,2016-17
1035211,1030011,Norwalk School District,Nathan Hale Middle School,593,64,657,2016-17
1030111,1030011,Norwalk School District,Norwalk Early Childhood Center,171,0,171,2016-17
1036111,1030011,Norwalk School District,Norwalk High School,1451,165,1616,2016-17
1036311,1030011,Norwalk School District,Norwalk Pathways Academy at Briggs,*,*,49,2016-17
1035311,1030011,Norwalk School District,Ponus Ridge Middle School,580,112,692,2016-17
1035511,1030011,Norwalk School District,Roton Middle School,432,53,485,2016-17
1031311,1030011,Norwalk School District,Rowayton School,377,48,425,2016-17
1032311,1030011,Norwalk School District,Silvermine Elementary School,324,148,472,2016-17
1031411,1030011,Norwalk School District,Tracey School,275,112,387,2016-17
1035411,1030011,Norwalk School District,West Rocks Middle School,603,85,688,2016-17
1032411,1030011,Norwalk School District,Wolfpit School,272,51,323,2016-17
9010322,9010022,Norwich Free Academy District,Alternative Pathways to Success,7,0,7,2016-17
9010222,9010022,Norwich Free Academy District,Night School,8,0,8,2016-17
9016122,9010022,Norwich Free Academy District,Norwich Free Academy,2183,140,2323,2016-17
1041011,1040011,Norwich School District,Transition Academy,18,0,18,2016-17
1049211,1040011,Norwich School District,Virtual Learning Academy,*,*,9,2016-17
1040411,1040011,Norwich School District,ABA Autism Program,11,9,20,2016-17
1041111,1040011,Norwich School District,ABA Program @ Kelly,6,0,6,2016-17
1040111,1040011,Norwich School District,Bishop School Early Learning Center,204,0,204,2016-17
1040211,1040011,Norwich School District,Case Street Early Learning Center at DTZ,60,0,60,2016-17
1040911,1040011,Norwich School District,IRS Program at Moriarty,*,*,*,2016-17
1041411,1040011,Norwich School District,John B. Stanton Network School,245,86,331,2016-17
1045111,1040011,Norwich School District,Kelly Middle School,606,94,700,2016-17
1042011,1040011,Norwich School District,Moriarty Magnet School,338,68,406,2016-17
1040811,1040011,Norwich School District,Samuel Huntington School,303,52,355,2016-17
1040511,1040011,Norwich School District,Special Needs Program,*,*,13,2016-17
1045211,1040011,Norwich School District,Teachers' Memorial Middle School,298,33,331,2016-17
1041711,1040011,Norwich School District,Thomas W. Mahan School,221,52,273,2016-17
1041911,1040011,Norwich School District,Uncas Network School,183,59,242,2016-17
1041811,1040011,Norwich School District,Veterans' Memorial School,252,63,315,2016-17
1041511,1040011,Norwich School District,Wequonnoc Magnet School,218,41,259,2016-17
2635113,2630013,Odyssey Community School District,Odyssey Community School,311,17,328,2016-17
1060211,1060011,Old Saybrook School District,Kathleen E. Goodwin School,336,27,363,2016-17
1065211,1060011,Old Saybrook School District,Old Saybrook Middle School,486,11,497,2016-17
1066111,1060011,Old Saybrook School District,Old Saybrook Senior High School,441,10,451,2016-17
1070211,1070011,Orange School District,Mary L. Tracy School,172,22,194,2016-17
1070511,1070011,Orange School District,Peck Place School,327,18,345,2016-17
1070311,1070011,Orange School District,Race Brook School,321,22,343,2016-17
1070411,1070011,Orange School District,Turkey Hill School,274,9,283,2016-17
1080411,1080011,Oxford School District,Alternative Education,14,0,14,2016-17
1085111,1080011,Oxford School District,Great Oak School,*,*,496,2016-17
1080111,1080011,Oxford School District,Oxford Center School,428,8,436,2016-17
1086011,1080011,Oxford School District,Oxford High School,*,*,599,2016-17
1080311,1080011,Oxford School District,Quaker Farms School,376,17,393,2016-17
2835113,2830013,Park City Prep Charter School District,Park City Prep Charter School,344,16,360,2016-17
2930113,2930013,Path Academy District,Path Academy,127,30,157,2016-17
1098011,1090011,Plainfield School District,Early Childhood Center,*,*,20,2016-17
1090111,1090011,Plainfield School District,Moosup Elementary School,*,*,309,2016-17
1095111,1090011,Plainfield School District,Plainfield Central School,*,*,506,2016-17
1096111,1090011,Plainfield School District,Plainfield High School,*,*,669,2016-17
1090311,1090011,Plainfield School District,Plainfield Memorial School,*,*,344,2016-17
1090411,1090011,Plainfield School District,Shepard Hill Elementary School,411,14,425,2016-17
1100411,1100011,Plainville School District,Frank T. Wheeler School,265,34,299,2016-17
1100211,1100011,Plainville School District,Linden Street School,387,27,414,2016-17
1100511,1100011,Plainville School District,Louis Toffolon School,373,13,386,2016-17
1105211,1100011,Plainville School District,Middle School of Plainville,534,14,548,2016-17
1106111,1100011,Plainville School District,Plainville High School,692,8,700,2016-17
1115111,1110011,Plymouth School District,Eli Terry Jr. Middle School,*,*,338,2016-17
1110411,1110011,Plymouth School District,Harry S. Fisher Elementary School,333,8,341,2016-17
1110211,1110011,Plymouth School District,Plymouth Center School,*,*,313,2016-17
1116111,1110011,Plymouth School District,Terryville High School,*,*,493,2016-17
1120111,1120011,Pomfret School District,Pomfret Community School,*,*,375,2016-17
1130511,1130011,Portland School District,Brownstone Intermediate School,*,*,209,2016-17
1130411,1130011,Portland School District,Gildersleeve School,287,8,295,2016-17
1136111,1130011,Portland School District,Portland High School,376,0,376,2016-17
1135111,1130011,Portland School District,Portland Middle School,216,0,216,2016-17
1130211,1130011,Portland School District,Valley View School,226,8,234,2016-17
1145111,1140011,Preston School District,Preston Plains School,*,*,138,2016-17
1140411,1140011,Preston School District,Preston Veterans' Memorial School,*,*,287,2016-17
1169011,1160011,Putnam School District,Helping Hands,*,*,*,2016-17
1160111,1160011,Putnam School District,PALS - Putnam Alternative Learning System,*,0,*,2016-17
1160311,1160011,Putnam School District,Putnam Elementary School,594,25,619,2016-17
1166111,1160011,Putnam School District,Putnam High School,273,7,280,2016-17
1165111,1160011,Putnam School District,Putnam Middle School,260,8,268,2016-17
1175111,1170011,Redding School District,John Read Middle School,*,*,436,2016-17
1170111,1170011,Redding School District,Redding Elementary School,487,13,500,2016-17
2010512,2010012,Regional School District 01,ALPSS,*,0,*,2016-17
2016112,2010012,Regional School District 01,Housatonic Valley Regional High School,*,*,412,2016-17
2010412,2010012,Regional School District 01,LEAPSS,*,0,*,2016-17
2010312,2010012,Regional School District 01,SELC,*,0,*,2016-17
2010212,2010012,Regional School District 01,TOTAL,*,0,*,2016-17
2045112,2040012,Regional School District 04,John Winthrop Middle School,*,*,333,2016-17
2040112,2040012,Regional School District 04,Region 4 Transition Academy,6,0,6,2016-17
2046112,2040012,Regional School District 04,Valley Regional High School,*,*,606,2016-17
2055112,2050012,Regional School District 05,Amity Middle School: Bethany,370,0,370,2016-17
2055212,2050012,Regional School District 05,Amity Middle School: Orange,*,*,400,2016-17
2056112,2050012,Regional School District 05,Amity Regional High School,*,*,1452,2016-17
2060112,2060012,Regional School District 06,Goshen Center School,*,*,194,2016-17
2060212,2060012,Regional School District 06,James Morris School,*,*,148,2016-17
2066112,2060012,Regional School District 06,Wamogo Regional High School,*,*,548,2016-17
2060312,2060012,Regional School District 06,Warren Elementary School,82,0,82,2016-17
2079112,2070012,Regional School District 07,AIM,7,0,7,2016-17
2079012,2070012,Regional School District 07,FLEX,8,0,8,2016-17
2070112,2070012,Regional School District 07,Highlander Transition Academy,19,0,19,2016-17
2079212,2070012,Regional School District 07,Links,16,0,16,2016-17
2076112,2070012,Regional School District 07,Northwestern Regional High School,705,0,705,2016-17
2075112,2070012,Regional School District 07,Northwestern Regional Middle School,326,0,326,2016-17
2079312,2070012,Regional School District 07,STEP,12,0,12,2016-17
2086112,2080012,Regional School District 08,RHAM High School,*,*,1025,2016-17
2085112,2080012,Regional School District 08,RHAM Middle School,514,0,514,2016-17
2096112,2090012,Regional School District 09,Joel Barlow High School,*,*,952,2016-17
2105112,2100012,Regional School District 10,Har-Bur Middle School,*,*,777,2016-17
2100312,2100012,Regional School District 10,Harwinton Consolidated School,*,*,372,2016-17
2100212,2100012,Regional School District 10,Lake Garda Elementary School,423,20,443,2016-17
2106112,2100012,Regional School District 10,Lewis S. Mills High School,*,*,760,2016-17
2116112,2110012,Regional School District 11,Parish Hill High School,*,*,246,2016-17
2120212,2120012,Regional School District 12,Booth Free School,*,*,86,2016-17
2120312,2120012,Regional School District 12,Shepaug Valley School,403,6,409,2016-17
2120112,2120012,Regional School District 12,The Burnham School,47,0,47,2016-17
2120412,2120012,Regional School District 12,Washington Primary School,*,*,165,2016-17
2136112,2130012,Regional School District 13,Coginchaug Regional High School,*,*,547,2016-17
2135112,2130012,Regional School District 13,Frank Ward Strong School,297,0,297,2016-17
2130112,2130012,Regional School District 13,Frederick Brewster School,*,*,260,2016-17
2130512,2130012,Regional School District 13,John Lyman School,261,0,261,2016-17
2130412,2130012,Regional School District 13,Middlefield Memorial School,349,0,349,2016-17
2130312,2130012,Regional School District 13,Middlesex Transition Academy,25,0,25,2016-17
2140112,2140012,Regional School District 14,Bethlehem Elementary School,*,*,254,2016-17
2148012,2140012,Regional School District 14,Integrated Star Preschool Program,38,0,38,2016-17
2140212,2140012,Regional School District 14,Mitchell Elementary School,363,11,374,2016-17
2146112,2140012,Regional School District 14,Nonnewaug High School,*,*,722,2016-17
2140412,2140012,Regional School District 14,Region 14 Transition Academy,*,0,*,2016-17
2145112,2140012,Regional School District 14,Woodbury Middle School,*,*,368,2016-17
2150412,2150012,Regional School District 15,Gainfield Elementary School,350,13,363,2016-17
2150712,2150012,Regional School District 15,Long Meadow Elementary School,*,*,513,2016-17
2150112,2150012,Regional School District 15,MIJ Program,16,0,16,2016-17
2155212,2150012,Regional School District 15,Memorial Middle School,*,*,448,2016-17
2150612,2150012,Regional School District 15,Middlebury Elementary School,296,7,303,2016-17
2156212,2150012,Regional School District 15,Pomperaug Regional High School,*,*,1219,2016-17
2150512,2150012,Regional School District 15,Pomperaug School,340,8,348,2016-17
2155112,2150012,Regional School District 15,Rochambeau Middle School,*,*,494,2016-17
2160112,2160012,Regional School District 16,Laurel Ledge School,*,*,358,2016-17
2165112,2160012,Regional School District 16,Long River Middle School,542,6,548,2016-17
2160512,2160012,Regional School District 16,Prospect Elementary School,*,*,603,2016-17
2160412,2160012,Regional School District 16,WRHS Alternative Education Program,12,0,12,2016-17
2166012,2160012,Regional School District 16,Woodland Regional High School,*,*,680,2016-17
2170212,2170012,Regional School District 17,Burr District Elementary School,277,0,277,2016-17
2170112,2170012,Regional School District 17,Haddam Elementary School,*,*,189,2016-17
2176112,2170012,Regional School District 17,Haddam-Killingworth High School,*,*,643,2016-17
2175112,2170012,Regional School District 17,Haddam-Killingworth Middle School,*,*,727,2016-17
2170312,2170012,Regional School District 17,Killingworth Elementary School,263,0,263,2016-17
2170412,2170012,Regional School District 17,RSD17 Transition Program,*,0,*,2016-17
2180312,2180012,Regional School District 18,Center School,45,0,45,2016-17
2180412,2180012,Regional School District 18,Alternative Program,*,0,*,2016-17
2180112,2180012,Regional School District 18,Lyme Consolidated School,*,*,201,2016-17
2186112,2180012,Regional School District 18,Lyme-Old Lyme High School,487,0,487,2016-17
2185112,2180012,Regional School District 18,Lyme-Old Lyme Middle School,*,*,321,2016-17
2180212,2180012,Regional School District 18,Mile Creek School,241,6,247,2016-17
2196112,2190012,Regional School District 19,E. O. Smith High School,1122,15,1137,2016-17
2190112,2190012,Regional School District 19,E.O. Smith High School at the Depot Campus,16,0,16,2016-17
2190212,2190012,Regional School District 19,PM Panthers,20,0,20,2016-17
2190312,2190012,Regional School District 19,STAAR Program,*,*,19,2016-17
1188011,1180011,Ridgefield School District,Alternative High School,15,0,15,2016-17
1180811,1180011,Ridgefield School District,Barlow Mountain Elementary School,313,8,321,2016-17
1180611,1180011,Ridgefield School District,Branchville Elementary School,*,*,351,2016-17
1181011,1180011,Ridgefield School District,District Program ERMS,*,0,*,2016-17
1180711,1180011,Ridgefield School District,District Program RES,8,0,8,2016-17
1180911,1180011,Ridgefield School District,District Program SES,*,0,*,2016-17
1181111,1180011,Ridgefield School District,District Program SRMS,*,0,*,2016-17
1185111,1180011,Ridgefield School District,East Ridge Middle School,*,*,784,2016-17
1180411,1180011,Ridgefield School District,Farmingville Elementary School,322,6,328,2016-17
1180311,1180011,Ridgefield School District,Ridgebury Elementary School,333,7,340,2016-17
1189011,1180011,Ridgefield School District,Ridgefield 18-21 Transition Program,6,0,6,2016-17
1186111,1180011,Ridgefield School District,Ridgefield High School,*,*,1666,2016-17
1180511,1180011,Ridgefield School District,Scotland Elementary School,357,15,372,2016-17
1185211,1180011,Ridgefield School District,Scotts Ridge Middle School,*,*,479,2016-17
1180211,1180011,Ridgefield School District,Veterans Park Elementary School,283,9,292,2016-17
1195111,1190011,Rocky Hill School District,Albert D. Griswold Middle School,581,19,600,2016-17
1190111,1190011,Rocky Hill School District,Alternative Learning Program,*,0,*,2016-17
1190411,1190011,Rocky Hill School District,Myrtle H. Stevens School,504,51,555,2016-17
1190311,1190011,Rocky Hill School District,Pathways,*,0,*,2016-17
1196111,1190011,Rocky Hill School District,Rocky Hill High School,716,10,726,2016-17
1190511,1190011,Rocky Hill School District,West Hill School,615,109,724,2016-17
1210111,1210011,Salem School District,Salem Elementary School,402,0,402,2016-17
1220111,1220011,Salisbury School District,Salisbury Central School,266,14,280,2016-17
1230111,1230011,Scotland School District,Scotland Elementary School,116,0,116,2016-17
1240111,1240011,Seymour School District,Bungay School,424,19,443,2016-17
1240211,1240011,Seymour School District,Chatfield-LoPresti School,481,20,501,2016-17
1246111,1240011,Seymour School District,Seymour High School,648,6,654,2016-17
1245111,1240011,Seymour School District,Seymour Middle School,540,11,551,2016-17
1250111,1250011,Sharon School District,Sharon Center School,*,*,150,2016-17
1260911,1260011,Shelton School District,Mohegan School,257,12,269,2016-17
1260211,1260011,Shelton School District,Alternative Learning Center 1,*,*,6,2016-17
1261311,1260011,Shelton School District,Alternative Learning Center 2,*,0,*,2016-17
1261011,1260011,Shelton School District,Booth Hill School,304,39,343,2016-17
1260511,1260011,Shelton School District,Elizabeth Shelton School,413,39,452,2016-17
1265111,1260011,Shelton School District,Intermediate School,768,15,783,2016-17
1260311,1260011,Shelton School District,Life Skills,*,0,*,2016-17
1260811,1260011,Shelton School District,Long Hill School,358,50,408,2016-17
1261111,1260011,Shelton School District,Perry Hill Elementary School,719,23,742,2016-17
1260111,1260011,Shelton School District,Pre-Kindergarten,54,0,54,2016-17
1266111,1260011,Shelton School District,Shelton High School,1462,19,1481,2016-17
1260611,1260011,Shelton School District,Sunnyside School,190,29,219,2016-17
1261211,1260011,Shelton School District,Therapeutic Learning Center,*,*,*,2016-17
1260711,1260011,Shelton School District,Transition Program,14,0,14,2016-17
1270111,1270011,Sherman School District,Sherman School,307,6,313,2016-17
2700113,2700013,Side By Side Charter School District,Side By Side Charter School,219,17,236,2016-17
3480415,3480015,Simsbury School District,SAGE,*,0,*,2016-17
1280111,1280011,Simsbury School District,Central School,341,17,358,2016-17
1280211,1280011,Simsbury School District,Farmington Valley Transition Academy,31,0,31,2016-17
1285111,1280011,Simsbury School District,Henry James Memorial School,*,*,689,2016-17
1280611,1280011,Simsbury School District,Latimer Lane School,373,15,388,2016-17
1286111,1280011,Simsbury School District,Simsbury High School,*,*,1412,2016-17
1280711,1280011,Simsbury School District,Squadron Line School,643,16,659,2016-17
1280311,1280011,Simsbury School District,Tariffville School,248,8,256,2016-17
1280411,1280011,Simsbury School District,Tootin' Hills School,*,*,349,2016-17
1290511,1290011,Somers School District,Aspire,8,0,8,2016-17
1295111,1290011,Somers School District,Mabelle B. Avery Middle School,*,*,358,2016-17
1290411,1290011,Somers School District,Somers Elementary School,*,*,590,2016-17
1296111,1290011,Somers School District,Somers High School,*,*,467,2016-17
1320211,1320011,South Windsor School District,Pleasant Valley School,333,27,360,2016-17
1320711,1320011,South Windsor School District,Eli Terry School,418,21,439,2016-17
1320611,1320011,South Windsor School District,Orchard Hill School,389,33,422,2016-17
1320111,1320011,South Windsor School District,Philip R. Smith School,267,45,312,2016-17
1329011,1320011,South Windsor School District,Project Worth Young Adult Academy,8,0,8,2016-17
1326211,1320011,South Windsor School District,South Windsor High School,1313,13,1326,2016-17
1325111,1320011,South Windsor School District,Timothy Edwards School,955,9,964,2016-17
1320411,1320011,South Windsor School District,Wapping Elementary School,302,26,328,2016-17
3480315,3480015,Southington School District,Hartford Detention Center,9,0,9,2016-17
1315311,1310011,Southington School District,John F. Kennedy Middle School,*,*,801,2016-17
1311711,1310011,Southington School District,Achieve,7,0,7,2016-17
1310111,1310011,Southington School District,Alta,43,0,43,2016-17
1311511,1310011,Southington School District,Derynoski Elementary School,556,6,562,2016-17
1310511,1310011,Southington School District,EASE,12,0,12,2016-17
1311311,1310011,Southington School District,Flanders Elementary School,252,19,271,2016-17
1310211,1310011,Southington School District,Hatton Elementary School,340,8,348,2016-17
1315111,1310011,Southington School District,Joseph A. Depaolo Middle School,791,6,797,2016-17
1312311,1310011,Southington School District,Language Based Classroom II,9,0,9,2016-17
1310411,1310011,Southington School District,Language Based Classroom at Hatton School,7,0,7,2016-17
1311811,1310011,Southington School District,"Language Based Classroom, Multihandicapped",8,0,8,2016-17
1310611,1310011,Southington School District,Plantsville Elementary School,272,7,279,2016-17
1312211,1310011,Southington School District,STELLAR,8,0,8,2016-17
1310711,1310011,Southington School District,South End Elementary School,221,8,229,2016-17
1316211,1310011,Southington School District,Southington High School,1993,10,2003,2016-17
1312111,1310011,Southington School District,Southington Public Schools Preschool Program,26,0,26,2016-17
1312011,1310011,Southington School District,Southington Public Schools Preschool Program at Hatton School,81,0,81,2016-17
1310811,1310011,Southington School District,Strong Elementary School,267,9,276,2016-17
1310911,1310011,Southington School District,Thalberg Elementary School,416,20,436,2016-17
1311611,1310011,Southington School District,Therapeutic Educational Alternative Model (TEAM),10,0,10,2016-17
1311211,1310011,Southington School District,Therapeutic Educational Setting (TEP),9,0,9,2016-17
1311411,1310011,Southington School District,Urbin T. Kelley School,307,8,315,2016-17
1330111,1330011,Sprague School District,Sayles School,*,*,336,2016-17
1340611,1340011,Stafford School District,Stafford Elementary School,480,0,480,2016-17
1346111,1340011,Stafford School District,Stafford High School,399,0,399,2016-17
1345211,1340011,Stafford School District,Stafford Middle School,*,*,328,2016-17
1340211,1340011,Stafford School District,Stafford Tutoring Program,9,0,9,2016-17
1340311,1340011,Stafford School District,Staffordville School,161,0,161,2016-17
1340411,1340011,Stafford School District,West Stafford School,*,*,139,2016-17
2826013,2820013,Stamford Academy District,Stamford Academy,148,0,148,2016-17
2960113,2960013,Stamford Charter School for Excellence District,Stamford Charter School for Excellence,217,0,217,2016-17
1350411,1350011,Stamford School District,Alternate Routes To Success,*,*,68,2016-17
1350111,1350011,Stamford School District,Apples PreK,162,0,162,2016-17
1355611,1350011,Stamford School District,Cloonan School,481,55,536,2016-17
1352011,1350011,Stamford School District,Davenport Ridge School,531,120,651,2016-17
1355311,1350011,Stamford School District,Dolan School,439,39,478,2016-17
1352211,1350011,Stamford School District,Hart School,556,86,642,2016-17
1350211,1350011,Stamford School District,Individuals Achieving Independence,*,*,21,2016-17
1351211,1350011,Stamford School District,Julia A. Stark School,508,93,601,2016-17
1350511,1350011,Stamford School District,K. T. Murphy School,458,78,536,2016-17
1350711,1350011,Stamford School District,New School at 200 Strawberry Hill Avenue,217,12,229,2016-17
1350611,1350011,Stamford School District,Newfield School,492,123,615,2016-17
1351811,1350011,Stamford School District,Northeast School,514,122,636,2016-17
1358011,1350011,Stamford School District,Preschool Team,70,0,70,2016-17
1355811,1350011,Stamford School District,Rippowam Middle School,617,86,703,2016-17
1350811,1350011,Stamford School District,Rogers International School,763,56,819,2016-17
1350911,1350011,Stamford School District,Roxbury School,501,100,601,2016-17
1355711,1350011,Stamford School District,Scofield Middle School,647,27,674,2016-17
1351111,1350011,Stamford School District,Springdale School,526,116,642,2016-17
1356111,1350011,Stamford School District,Stamford High School,1543,222,1765,2016-17
1352111,1350011,Stamford School District,Stillmeadow School,617,98,715,2016-17
1356411,1350011,Stamford School District,The Academy of Information Technology,656,10,666,2016-17
1351911,1350011,Stamford School District,Toquam Magnet School,550,128,678,2016-17
1355511,1350011,Stamford School District,Turn of River School,495,129,624,2016-17
1356311,1350011,Stamford School District,Westhill High School,1777,361,2138,2016-17
1351411,1350011,Stamford School District,Westover School,664,51,715,2016-17
1360311,1360011,Sterling School District,Sterling Community School,424,0,424,2016-17
3480415,3480015,Stonington School District,SAGE,*,0,*,2016-17
1370811,1370011,Stonington School District,Community Classroom,*,0,*,2016-17
1370511,1370011,Stonington School District,Deans Mill School,*,*,379,2016-17
1375211,1370011,Stonington School District,Mystic Middle School,369,0,369,2016-17
1375111,1370011,Stonington School District,Pawcatuck Middle School,*,*,279,2016-17
1370711,1370011,Stonington School District,SAILS,*,0,*,2016-17
1370111,1370011,Stonington School District,Stonington BOE Pre-School,20,0,20,2016-17
1370211,1370011,Stonington School District,Stonington HS PreK,20,0,20,2016-17
1376111,1370011,Stonington School District,Stonington High School,*,*,686,2016-17
1370411,1370011,Stonington School District,West Broad Street School,*,*,141,2016-17
1370611,1370011,Stonington School District,West Vine Street School,*,*,178,2016-17
1381311,1380011,Stratford School District,Eli Whitney School,465,15,480,2016-17
1382511,1380011,Stratford School District,ABA Nichols,*,0,*,2016-17
1380611,1380011,Stratford School District,ABA Second Hill Lane,*,0,*,2016-17
1382411,1380011,Stratford School District,ABA Whitney,6,0,6,2016-17
1380511,1380011,Stratford School District,ALPHA,31,0,31,2016-17
1386211,1380011,Stratford School District,Bunnell High School,1006,13,1019,2016-17
