"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"0076111","0070011","Berlin School District","Berlin High School","Grade   9","7.1","5.4","10.1","6.9","3.8"
"0076111","0070011","Berlin School District","Berlin High School","Grade 10","6.8","7.0","7.8","14.8","4.2"
"0076111","0070011","Berlin School District","Berlin High School","Grade 11","5.7","5.9","6.7","11.3","8.4"
"0076111","0070011","Berlin School District","Berlin High School","Grade 12","11.5","9.5","12.6","20.4","7.8"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Grade   6","3.8","4.7","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Grade   7","10.3","8.3","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Grade   8","9.2","11.5","5.9","3.7","3.7"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Kindergarten","*","9.5","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Grade   1","*","*","0.0","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Grade   2","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Grade   3","*","*","0.0","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Grade   4","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Grade   5","*","*","6.5","0.0","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Kindergarten","*","*","*","*","0.0"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Grade   1","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Grade   2","*","*","*","0.0","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Grade   3","*","*","*","*","0.0"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Grade   4","*","*","0.0","0.0","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Grade   5","*","*","*","*","0.0"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Kindergarten","0.0","0.0","*","*","0.0"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Grade   1","*","*","0.0","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Grade   2","0.0","*","0.0","*","0.0"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Grade   3","*","0.0","*","*","0.0"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Grade   4","*","*","0.0","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Grade   5","*","*","*","0.0","*"
"0080111","0080011","Bethany School District","Bethany Community School","Kindergarten","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Grade   1","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Grade   2","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Grade   3","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Grade   4","*","8.2","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Grade   5","*","*","8.3","*","0.0"
"0080111","0080011","Bethany School District","Bethany Community School","Grade   6","*","*","*","*","11.1"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Kindergarten","14.7","10.3","*","9.5","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Grade   1","*","*","6.5","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Grade   2","0.0","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Grade   3","*","*","*","*","4.8"
"0096111","0090011","Bethel School District","Bethel High School","Grade   9","8.8","6.0","6.6","*","6.7"
"0096111","0090011","Bethel School District","Bethel High School","Grade 10","6.7","8.0","7.9","*","6.1"
"0096111","0090011","Bethel School District","Bethel High School","Grade 11","10.7","9.8","12.6","4.0","12.1"
"0096111","0090011","Bethel School District","Bethel High School","Grade 12","4.7","10.6","12.3","6.2","13.4"
"0095111","0090011","Bethel School District","Bethel Middle School","Grade   6","5.9","7.1","*","4.1","4.2"
"0095111","0090011","Bethel School District","Bethel Middle School","Grade   7","5.9","8.7","6.2","6.1","2.8"
"0095111","0090011","Bethel School District","Bethel Middle School","Grade   8","10.0","9.4","*","8.6","4.6"
"0090111","0090011","Bethel School District","Frank A. Berry School","Kindergarten","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Grade   1","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Grade   2","*","*","*","*","*"
