"school_id","year","start_time","end_time"
"0431211","201516","08:45 AM","03:20 PM"
"0431811","201314","08:45 AM","03:20 PM"
"0431811","201415","08:45 AM","03:20 PM"
"0431811","201516","08:45 AM","03:20 PM"
"0432011","201314","08:45 AM","03:20 PM"
"0432011","201415","08:30 AM","03:20 PM"
"0432011","201516","08:30 AM","03:20 PM"
"0432211","201314","08:45 AM","03:20 PM"
"0432211","201415","08:45 AM","03:20 PM"
"0432211","201516","08:45 AM","03:20 PM"
"0432411","201314","08:15 AM","04:00 PM"
"0432411","201415","08:10 AM","02:45 PM"
"0432411","201516","08:00 AM","02:45 PM"
"0435111","201314","08:00 AM","02:45 PM"
"0435111","201415","08:00 AM","02:45 PM"
"0435111","201516","08:00 AM","02:45 PM"
"0436211","201314","07:30 AM","02:10 PM"
"0436211","201415","07:30 AM","02:10 PM"
"0436211","201516","07:30 AM","02:10 PM"
"0436311","201314","07:30 AM","03:00 PM"
"0436311","201415","07:30 AM","03:00 PM"
"0436311","201516","07:30 AM","03:00 PM"
"0436411","201314","07:40 AM","02:00 PM"
"0436411","201415","07:30 AM","01:30 PM"
"0436411","201516","07:30 AM","01:30 PM"
"0440111","201314","09:15 AM","03:30 PM"
"0440111","201415","09:15 AM","03:30 PM"
"0440111","201516","09:15 AM","03:30 PM"
"0440711","201314","08:45 AM","03:00 PM"
"0440711","201415","08:45 AM","03:00 PM"
"0440711","201516","08:45 AM","03:00 PM"
"0441011","201314","08:45 AM","03:30 PM"
"0441011","201415","08:45 AM","02:45 PM"
"0441011","201516","08:45 AM","02:45 PM"
"0441311","201314","08:45 AM","03:00 PM"
"0441311","201415","08:45 AM","03:00 PM"
"0441311","201516","08:45 AM","03:00 PM"
"0441711","201314","08:10 AM","02:30 PM"
"0441711","201415","08:10 AM","02:20 PM"
"0441711","201516","08:10 AM","02:30 PM"
"0441811","201314","09:15 AM","03:30 PM"
"0441811","201415","09:15 AM","03:30 PM"
"0441811","201516","09:15 AM","03:30 PM"
"0445111","201314","08:00 AM","02:20 PM"
"0445111","201415","08:10 AM","02:20 PM"
"0445111","201516","08:00 AM","02:20 PM"
"0446111","201314","07:25 AM","01:50 PM"
"0446111","201415","07:25 AM","01:50 PM"
"0446111","201516","07:25 AM","01:50 PM"
"0450111","201314","09:15 AM","03:30 PM"
"0450111","201415","09:15 AM","03:30 PM"
"0450111","201516","09:05 AM","03:35 PM"
"0450211","201314","09:15 AM","03:30 PM"
"0450211","201415","09:15 AM","03:30 PM"
"0450211","201516","09:05 AM","03:35 PM"
"0450411","201314","09:15 AM","03:30 PM"
"0450411","201415","09:15 AM","03:30 PM"
"0450411","201516","09:05 AM","03:35 PM"
"0455111","201314","08:30 AM","02:45 PM"
"0455111","201415","08:30 AM","02:45 PM"
"0455111","201516","08:30 AM","02:45 PM"
"0456111","201314","07:30 AM","02:10 PM"
"0456111","201415","07:30 AM","02:10 PM"
"0456111","201516","07:30 AM","02:10 PM"
"0460111","201314","09:00 AM","03:30 PM"
"0460111","201415","09:00 AM","03:30 PM"
"0460111","201516","08:55 AM","03:40 PM"
"0465111","201314","08:10 AM","02:40 PM"
"0465111","201415","08:10 AM","02:40 PM"
"0465111","201516","08:05 AM","02:50 PM"
"0470111","201314","09:05 AM","03:40 PM"
"0470111","201415","09:05 AM","03:40 PM"
"0470111","201516","09:05 AM","03:40 PM"
"0475411","201314","08:11 AM","02:43 PM"
"0475411","201415","08:10 AM","02:45 PM"
"0475411","201516","08:04 AM","02:44 PM"
"0476111","201314","07:30 AM","02:05 PM"
"0476111","201415","07:30 AM","02:05 PM"
