"category","fte","school_id","year"
"Special Education: Teachers and Instructors ",2,"1512311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"1512311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1.2,"1512311","201516"
"Library/Media: Specialists (Certified) ",0,"1512311","201516"
"Support Staff ",0.5,"1512311","201516"
"Instructional Specialists Who Support Teachers ",1,"1512311","201516"
"Counselors, Social Workers and School Psychologists ",0.5,"1512311","201516"
"School Nurses ",1,"1512311","201516"
"Other Staff Providing Non-Instructional Services/Support ",8,"1512311","201516"
"General Education: Teachers and Instructors ",28,"1512611","201314"
"General Education: Paraprofessional Instructional Assistants ",2.5,"1512611","201314"
"Special Education: Teachers and Instructors ",5,"1512611","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"1512611","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1512611","201314"
"Library/Media: Specialists (Certified) ",1,"1512611","201314"
"Support Staff ",0.4,"1512611","201314"
"Instructional Specialists Who Support Teachers ",2.4,"1512611","201314"
"Counselors, Social Workers and School Psychologists ",2.8,"1512611","201314"
"School Nurses ",1,"1512611","201314"
"Other Staff Providing Non-Instructional Services/Support ",14.3,"1512611","201314"
"General Education: Teachers and Instructors ",26.8,"1512611","201415"
"General Education: Paraprofessional Instructional Assistants ",3.3,"1512611","201415"
"Special Education: Teachers and Instructors ",7,"1512611","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10.5,"1512611","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1512611","201415"
"Library/Media: Specialists (Certified) ",1,"1512611","201415"
"Support Staff ",0.4,"1512611","201415"
"Instructional Specialists Who Support Teachers ",3,"1512611","201415"
"Counselors, Social Workers and School Psychologists ",3,"1512611","201415"
"School Nurses ",1,"1512611","201415"
"Other Staff Providing Non-Instructional Services/Support ",14.1,"1512611","201415"
"General Education: Teachers and Instructors ",25.8,"1512611","201516"
"General Education: Paraprofessional Instructional Assistants ",2.5,"1512611","201516"
"Special Education: Teachers and Instructors ",5,"1512611","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9.5,"1512611","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1512611","201516"
"Library/Media: Specialists (Certified) ",1,"1512611","201516"
"Support Staff ",0.4,"1512611","201516"
"Instructional Specialists Who Support Teachers ",4.5,"1512611","201516"
"Counselors, Social Workers and School Psychologists ",3,"1512611","201516"
"School Nurses ",1,"1512611","201516"
"Other Staff Providing Non-Instructional Services/Support ",14.4,"1512611","201516"
"General Education: Teachers and Instructors ",24,"1512711","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"1512711","201314"
"Special Education: Teachers and Instructors ",6,"1512711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"1512711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1512711","201314"
"Library/Media: Specialists (Certified) ",1,"1512711","201314"
"Support Staff ",0.5,"1512711","201314"
"Instructional Specialists Who Support Teachers ",2.4,"1512711","201314"
"Counselors, Social Workers and School Psychologists ",1.5,"1512711","201314"
"School Nurses ",1,"1512711","201314"
"Other Staff Providing Non-Instructional Services/Support ",5.2,"1512711","201314"
"General Education: Teachers and Instructors ",29,"1512711","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"1512711","201415"
"Special Education: Teachers and Instructors ",6,"1512711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"1512711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1512711","201415"
"Library/Media: Specialists (Certified) ",1,"1512711","201415"
"Support Staff ",0.5,"1512711","201415"
"Instructional Specialists Who Support Teachers ",2,"1512711","201415"
"Counselors, Social Workers and School Psychologists ",0,"1512711","201415"
"School Nurses ",1,"1512711","201415"
"Other Staff Providing Non-Instructional Services/Support ",5.2,"1512711","201415"
"General Education: Teachers and Instructors ",26.5,"1512711","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"1512711","201516"
"Special Education: Teachers and Instructors ",6,"1512711","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",18,"1512711","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1512711","201516"
"Library/Media: Specialists (Certified) ",1,"1512711","201516"
"Support Staff ",0.5,"1512711","201516"
"Instructional Specialists Who Support Teachers ",2,"1512711","201516"
"Counselors, Social Workers and School Psychologists ",2,"1512711","201516"
"School Nurses ",1,"1512711","201516"
"Other Staff Providing Non-Instructional Services/Support ",13.3,"1512711","201516"
"General Education: Teachers and Instructors ",15.4,"1512811","201314"
"General Education: Paraprofessional Instructional Assistants ",14.6,"1512811","201314"
"Special Education: Teachers and Instructors ",2,"1512811","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2,"1512811","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.1,"1512811","201314"
"Library/Media: Specialists (Certified) ",0,"1512811","201314"
"Support Staff ",0.5,"1512811","201314"
"Instructional Specialists Who Support Teachers ",1.5,"1512811","201314"
"Counselors, Social Workers and School Psychologists ",0.5,"1512811","201314"
"School Nurses ",1,"1512811","201314"
"Other Staff Providing Non-Instructional Services/Support ",7.6,"1512811","201314"
"General Education: Teachers and Instructors ",16,"1512811","201415"
"General Education: Paraprofessional Instructional Assistants ",14.6,"1512811","201415"
"Special Education: Teachers and Instructors ",2,"1512811","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2,"1512811","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.2,"1512811","201415"
"Library/Media: Specialists (Certified) ",0,"1512811","201415"
"Support Staff ",0.5,"1512811","201415"
"Instructional Specialists Who Support Teachers ",0.8,"1512811","201415"
"Counselors, Social Workers and School Psychologists ",2.7,"1512811","201415"
"School Nurses ",1,"1512811","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.4,"1512811","201415"
"General Education: Teachers and Instructors ",18,"1512811","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1512811","201516"
"Special Education: Teachers and Instructors ",1,"1512811","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"1512811","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"1512811","201516"
"Library/Media: Specialists (Certified) ",0,"1512811","201516"
"Support Staff ",1,"1512811","201516"
"Instructional Specialists Who Support Teachers ",0,"1512811","201516"
"Counselors, Social Workers and School Psychologists ",2.7,"1512811","201516"
"School Nurses ",1,"1512811","201516"
"Other Staff Providing Non-Instructional Services/Support ",16.4,"1512811","201516"
"General Education: Teachers and Instructors ",37.9,"1513111","201314"
"General Education: Paraprofessional Instructional Assistants ",14,"1513111","201314"
"Special Education: Teachers and Instructors ",6,"1513111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"1513111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2.1,"1513111","201314"
"Library/Media: Specialists (Certified) ",1,"1513111","201314"
"Support Staff ",1.5,"1513111","201314"
"Instructional Specialists Who Support Teachers ",3,"1513111","201314"
"Counselors, Social Workers and School Psychologists ",2.1,"1513111","201314"
"School Nurses ",1,"1513111","201314"
"Other Staff Providing Non-Instructional Services/Support ",15.5,"1513111","201314"
"General Education: Teachers and Instructors ",36.8,"1513111","201415"
"General Education: Paraprofessional Instructional Assistants ",8,"1513111","201415"
"Special Education: Teachers and Instructors ",6,"1513111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"1513111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2.2,"1513111","201415"
"Library/Media: Specialists (Certified) ",1,"1513111","201415"
"Support Staff ",1.5,"1513111","201415"
"Instructional Specialists Who Support Teachers ",2,"1513111","201415"
"Counselors, Social Workers and School Psychologists ",2.5,"1513111","201415"
"School Nurses ",1,"1513111","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.3,"1513111","201415"
"General Education: Teachers and Instructors ",37.8,"1513111","201516"
"General Education: Paraprofessional Instructional Assistants ",9,"1513111","201516"
"Special Education: Teachers and Instructors ",6,"1513111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"1513111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2.2,"1513111","201516"
"Library/Media: Specialists (Certified) ",1,"1513111","201516"
"Support Staff ",1,"1513111","201516"
"Instructional Specialists Who Support Teachers ",1,"1513111","201516"
"Counselors, Social Workers and School Psychologists ",2.5,"1513111","201516"
"School Nurses ",1,"1513111","201516"
"Other Staff Providing Non-Instructional Services/Support ",15.8,"1513111","201516"
"General Education: Teachers and Instructors ",25.6,"1513211","201314"
"General Education: Paraprofessional Instructional Assistants ",5,"1513211","201314"
"Special Education: Teachers and Instructors ",6,"1513211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"1513211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.2,"1513211","201314"
"Library/Media: Specialists (Certified) ",0,"1513211","201314"
"Support Staff ",0.5,"1513211","201314"
"Instructional Specialists Who Support Teachers ",3.3,"1513211","201314"
"Counselors, Social Workers and School Psychologists ",1.7,"1513211","201314"
"School Nurses ",1.8,"1513211","201314"
"Other Staff Providing Non-Instructional Services/Support ",8,"1513211","201314"
"General Education: Teachers and Instructors ",24.8,"1513211","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"1513211","201415"
"Special Education: Teachers and Instructors ",6,"1513211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"1513211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.2,"1513211","201415"
"Library/Media: Specialists (Certified) ",1,"1513211","201415"
"Support Staff ",0.5,"1513211","201415"
"Instructional Specialists Who Support Teachers ",1.5,"1513211","201415"
"Counselors, Social Workers and School Psychologists ",1,"1513211","201415"
"School Nurses ",1,"1513211","201415"
"Other Staff Providing Non-Instructional Services/Support ",10,"1513211","201415"
"General Education: Teachers and Instructors ",22.8,"1513211","201516"
"General Education: Paraprofessional Instructional Assistants ",5,"1513211","201516"
"Special Education: Teachers and Instructors ",6,"1513211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"1513211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2.2,"1513211","201516"
"Library/Media: Specialists (Certified) ",1,"1513211","201516"
"Support Staff ",0.5,"1513211","201516"
"Instructional Specialists Who Support Teachers ",2.5,"1513211","201516"
"Counselors, Social Workers and School Psychologists ",1.6,"1513211","201516"
"School Nurses ",1,"1513211","201516"
"Other Staff Providing Non-Instructional Services/Support ",10,"1513211","201516"
"General Education: Teachers and Instructors ",39,"1513311","201314"
"General Education: Paraprofessional Instructional Assistants ",13,"1513311","201314"
"Special Education: Teachers and Instructors ",3,"1513311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6.1,"1513311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.1,"1513311","201314"
"Library/Media: Specialists (Certified) ",2,"1513311","201314"
"Support Staff ",1.5,"1513311","201314"
"Instructional Specialists Who Support Teachers ",3.6,"1513311","201314"
"Counselors, Social Workers and School Psychologists ",1.9,"1513311","201314"
"School Nurses ",1,"1513311","201314"
"Other Staff Providing Non-Instructional Services/Support ",15.2,"1513311","201314"
"General Education: Teachers and Instructors ",40.8,"1513311","201415"
"General Education: Paraprofessional Instructional Assistants ",13,"1513311","201415"
"Special Education: Teachers and Instructors ",3,"1513311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"1513311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2.2,"1513311","201415"
"Library/Media: Specialists (Certified) ",1,"1513311","201415"
"Support Staff ",1.5,"1513311","201415"
"Instructional Specialists Who Support Teachers ",0,"1513311","201415"
"Counselors, Social Workers and School Psychologists ",3,"1513311","201415"
"School Nurses ",1,"1513311","201415"
"Other Staff Providing Non-Instructional Services/Support ",13.1,"1513311","201415"
"General Education: Teachers and Instructors ",41.5,"1513311","201516"
"General Education: Paraprofessional Instructional Assistants ",13,"1513311","201516"
"Special Education: Teachers and Instructors ",3.5,"1513311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"1513311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1513311","201516"
"Library/Media: Specialists (Certified) ",1,"1513311","201516"
"Support Staff ",1.5,"1513311","201516"
"Instructional Specialists Who Support Teachers ",0,"1513311","201516"
"Counselors, Social Workers and School Psychologists ",3,"1513311","201516"
"School Nurses ",1,"1513311","201516"
"Other Staff Providing Non-Instructional Services/Support ",14.2,"1513311","201516"
"General Education: Teachers and Instructors ",25.5,"1513411","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"1513411","201314"
"Special Education: Teachers and Instructors ",6,"1513411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",14,"1513411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1513411","201314"
"Library/Media: Specialists (Certified) ",1,"1513411","201314"
"Support Staff ",0.5,"1513411","201314"
"Instructional Specialists Who Support Teachers ",3.5,"1513411","201314"
"Counselors, Social Workers and School Psychologists ",0.5,"1513411","201314"
"School Nurses ",0.5,"1513411","201314"
"Other Staff Providing Non-Instructional Services/Support ",11,"1513411","201314"
"General Education: Teachers and Instructors ",23.8,"1513411","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"1513411","201415"
"Special Education: Teachers and Instructors ",9,"1513411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",16,"1513411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1513411","201415"
"Library/Media: Specialists (Certified) ",1,"1513411","201415"
"Support Staff ",0,"1513411","201415"
"Instructional Specialists Who Support Teachers ",1,"1513411","201415"
"Counselors, Social Workers and School Psychologists ",3,"1513411","201415"
"School Nurses ",0.2,"1513411","201415"
"Other Staff Providing Non-Instructional Services/Support ",12.7,"1513411","201415"
"General Education: Teachers and Instructors ",26.3,"1513411","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"1513411","201516"
"Special Education: Teachers and Instructors ",8,"1513411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",19,"1513411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1513411","201516"
"Library/Media: Specialists (Certified) ",1,"1513411","201516"
"Support Staff ",0,"1513411","201516"
"Instructional Specialists Who Support Teachers ",1,"1513411","201516"
"Counselors, Social Workers and School Psychologists ",2,"1513411","201516"
"School Nurses ",0.2,"1513411","201516"
"Other Staff Providing Non-Instructional Services/Support ",13.7,"1513411","201516"
"General Education: Teachers and Instructors ",27,"1515011","201314"
"General Education: Paraprofessional Instructional Assistants ",7,"1515011","201314"
"Special Education: Teachers and Instructors ",2.5,"1515011","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2.5,"1515011","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"1515011","201314"
"Library/Media: Specialists (Certified) ",0,"1515011","201314"
"Support Staff ",0.5,"1515011","201314"
"Instructional Specialists Who Support Teachers ",0,"1515011","201314"
"Counselors, Social Workers and School Psychologists ",2.8,"1515011","201314"
"School Nurses ",0.5,"1515011","201314"
"Other Staff Providing Non-Instructional Services/Support ",15.5,"1515011","201314"
"General Education: Teachers and Instructors ",19.3,"1515011","201415"
"General Education: Paraprofessional Instructional Assistants ",6,"1515011","201415"
"Special Education: Teachers and Instructors ",1,"1515011","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2.5,"1515011","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"1515011","201415"
"Library/Media: Specialists (Certified) ",0,"1515011","201415"
"Support Staff ",0.5,"1515011","201415"
"Instructional Specialists Who Support Teachers ",1,"1515011","201415"
"Counselors, Social Workers and School Psychologists ",1,"1515011","201415"
"School Nurses ",0.5,"1515011","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.5,"1515011","201415"
"General Education: Teachers and Instructors ",20.8,"1515011","201516"
"General Education: Paraprofessional Instructional Assistants ",1.3,"1515011","201516"
"Special Education: Teachers and Instructors ",1,"1515011","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"1515011","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1.5,"1515011","201516"
"Library/Media: Specialists (Certified) ",0.5,"1515011","201516"
"Support Staff ",0,"1515011","201516"
"Instructional Specialists Who Support Teachers ",1.4,"1515011","201516"
"Counselors, Social Workers and School Psychologists ",1,"1515011","201516"
"School Nurses ",0.5,"1515011","201516"
"Other Staff Providing Non-Instructional Services/Support ",18.5,"1515011","201516"
"General Education: Teachers and Instructors ",75.1,"1515111","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"1515111","201314"
"Special Education: Teachers and Instructors ",14,"1515111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",22,"1515111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",4.4,"1515111","201314"
"Library/Media: Specialists (Certified) ",1,"1515111","201314"
"Support Staff ",1,"1515111","201314"
"Instructional Specialists Who Support Teachers ",4,"1515111","201314"
"Counselors, Social Workers and School Psychologists ",5.6,"1515111","201314"
"School Nurses ",1,"1515111","201314"
"Other Staff Providing Non-Instructional Services/Support ",35,"1515111","201314"
"General Education: Teachers and Instructors ",71.6,"1515111","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"1515111","201415"
"Special Education: Teachers and Instructors ",15,"1515111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",22,"1515111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",4.6,"1515111","201415"
"Library/Media: Specialists (Certified) ",1,"1515111","201415"
"Support Staff ",1,"1515111","201415"
"Instructional Specialists Who Support Teachers ",4.8,"1515111","201415"
"Counselors, Social Workers and School Psychologists ",6,"1515111","201415"
"School Nurses ",1,"1515111","201415"
"Other Staff Providing Non-Instructional Services/Support ",35,"1515111","201415"
"General Education: Teachers and Instructors ",66.6,"1515111","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1515111","201516"
"Special Education: Teachers and Instructors ",14,"1515111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"1515111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",4.6,"1515111","201516"
"Library/Media: Specialists (Certified) ",0,"1515111","201516"
"Support Staff ",0,"1515111","201516"
"Instructional Specialists Who Support Teachers ",4.8,"1515111","201516"
"Counselors, Social Workers and School Psychologists ",7.2,"1515111","201516"
"School Nurses ",0,"1515111","201516"
"Other Staff Providing Non-Instructional Services/Support ",0,"1515111","201516"
"General Education: Teachers and Instructors ",74.8,"1515211","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"1515211","201314"
"Special Education: Teachers and Instructors ",14,"1515211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",21,"1515211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",4.5,"1515211","201314"
"Library/Media: Specialists (Certified) ",1,"1515211","201314"
"Support Staff ",1,"1515211","201314"
"Instructional Specialists Who Support Teachers ",2,"1515211","201314"
"Counselors, Social Workers and School Psychologists ",5.5,"1515211","201314"
"School Nurses ",1,"1515211","201314"
"Other Staff Providing Non-Instructional Services/Support ",25.5,"1515211","201314"
"General Education: Teachers and Instructors ",71.8,"1515211","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"1515211","201415"
"Special Education: Teachers and Instructors ",15,"1515211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",22,"1515211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",4.4,"1515211","201415"
"Library/Media: Specialists (Certified) ",1,"1515211","201415"
"Support Staff ",1,"1515211","201415"
"Instructional Specialists Who Support Teachers ",3.8,"1515211","201415"
"Counselors, Social Workers and School Psychologists ",6,"1515211","201415"
"School Nurses ",1,"1515211","201415"
"Other Staff Providing Non-Instructional Services/Support ",25.5,"1515211","201415"
"General Education: Teachers and Instructors ",72.1,"1515211","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1515211","201516"
"Special Education: Teachers and Instructors ",13,"1515211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",21,"1515211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",4.6,"1515211","201516"
"Library/Media: Specialists (Certified) ",1,"1515211","201516"
"Support Staff ",1,"1515211","201516"
"Instructional Specialists Who Support Teachers ",4,"1515211","201516"
"Counselors, Social Workers and School Psychologists ",6,"1515211","201516"
"School Nurses ",1,"1515211","201516"
"Other Staff Providing Non-Instructional Services/Support ",25.5,"1515211","201516"
"General Education: Teachers and Instructors ",68.9,"1515311","201314"
"General Education: Paraprofessional Instructional Assistants ",4.5,"1515311","201314"
"Special Education: Teachers and Instructors ",16,"1515311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",25,"1515311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",4.6,"1515311","201314"
"Library/Media: Specialists (Certified) ",1,"1515311","201314"
"Support Staff ",1,"1515311","201314"
"Instructional Specialists Who Support Teachers ",5,"1515311","201314"
"Counselors, Social Workers and School Psychologists ",5,"1515311","201314"
"School Nurses ",1,"1515311","201314"
"Other Staff Providing Non-Instructional Services/Support ",33,"1515311","201314"
"General Education: Teachers and Instructors ",68.8,"1515311","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"1515311","201415"
"Special Education: Teachers and Instructors ",16,"1515311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",25,"1515311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",4.4,"1515311","201415"
"Library/Media: Specialists (Certified) ",0,"1515311","201415"
"Support Staff ",1,"1515311","201415"
"Instructional Specialists Who Support Teachers ",2,"1515311","201415"
"Counselors, Social Workers and School Psychologists ",6,"1515311","201415"
"School Nurses ",1,"1515311","201415"
"Other Staff Providing Non-Instructional Services/Support ",33,"1515311","201415"
"General Education: Teachers and Instructors ",64.8,"1515311","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1515311","201516"
"Special Education: Teachers and Instructors ",17,"1515311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",24,"1515311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",5.4,"1515311","201516"
"Library/Media: Specialists (Certified) ",0,"1515311","201516"
"Support Staff ",1,"1515311","201516"
"Instructional Specialists Who Support Teachers ",3,"1515311","201516"
"Counselors, Social Workers and School Psychologists ",6.2,"1515311","201516"
"School Nurses ",1,"1515311","201516"
"Other Staff Providing Non-Instructional Services/Support ",33,"1515311","201516"
"General Education: Teachers and Instructors ",29.8,"1516011","201314"
"General Education: Paraprofessional Instructional Assistants ",6,"1516011","201314"
"Special Education: Teachers and Instructors ",2.5,"1516011","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3.5,"1516011","201314"
"Administrators, Coordinators and Department Chairs: School Level ",5,"1516011","201314"
"Library/Media: Specialists (Certified) ",1,"1516011","201314"
"Support Staff ",0.5,"1516011","201314"
"Instructional Specialists Who Support Teachers ",0,"1516011","201314"
"Counselors, Social Workers and School Psychologists ",2.3,"1516011","201314"
"School Nurses ",0.5,"1516011","201314"
"Other Staff Providing Non-Instructional Services/Support ",16,"1516011","201314"
"General Education: Teachers and Instructors ",37.3,"1516011","201415"
"General Education: Paraprofessional Instructional Assistants ",6,"1516011","201415"
"Special Education: Teachers and Instructors ",3,"1516011","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3.5,"1516011","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3.2,"1516011","201415"
"Library/Media: Specialists (Certified) ",0,"1516011","201415"
"Support Staff ",0.5,"1516011","201415"
"Instructional Specialists Who Support Teachers ",1,"1516011","201415"
"Counselors, Social Workers and School Psychologists ",3,"1516011","201415"
"School Nurses ",0.5,"1516011","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.5,"1516011","201415"
"General Education: Teachers and Instructors ",37.6,"1516011","201516"
"General Education: Paraprofessional Instructional Assistants ",1.3,"1516011","201516"
"Special Education: Teachers and Instructors ",3,"1516011","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"1516011","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3.5,"1516011","201516"
"Library/Media: Specialists (Certified) ",0.5,"1516011","201516"
"Support Staff ",0,"1516011","201516"
"Instructional Specialists Who Support Teachers ",0.4,"1516011","201516"
"Counselors, Social Workers and School Psychologists ",3,"1516011","201516"
"School Nurses ",0.5,"1516011","201516"
"Other Staff Providing Non-Instructional Services/Support ",18.5,"1516011","201516"
"General Education: Teachers and Instructors ",87.4,"1516211","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"1516211","201314"
"Special Education: Teachers and Instructors ",13,"1516211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"1516211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",9.8,"1516211","201314"
"Library/Media: Specialists (Certified) ",1,"1516211","201314"
"Support Staff ",0,"1516211","201314"
"Instructional Specialists Who Support Teachers ",2,"1516211","201314"
"Counselors, Social Workers and School Psychologists ",6.8,"1516211","201314"
"School Nurses ",0,"1516211","201314"
"Other Staff Providing Non-Instructional Services/Support ",0,"1516211","201314"
"General Education: Teachers and Instructors ",86.6,"1516211","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"1516211","201415"
"Special Education: Teachers and Instructors ",14.8,"1516211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",18,"1516211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",5.8,"1516211","201415"
"Library/Media: Specialists (Certified) ",1,"1516211","201415"
"Support Staff ",1,"1516211","201415"
"Instructional Specialists Who Support Teachers ",3,"1516211","201415"
"Counselors, Social Workers and School Psychologists ",7.8,"1516211","201415"
"School Nurses ",1,"1516211","201415"
"Other Staff Providing Non-Instructional Services/Support ",28,"1516211","201415"
"General Education: Teachers and Instructors ",83.3,"1516211","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"1516211","201516"
"Special Education: Teachers and Instructors ",14.2,"1516211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",28,"1516211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",5.9,"1516211","201516"
"Library/Media: Specialists (Certified) ",1,"1516211","201516"
"Support Staff ",1,"1516211","201516"
"Instructional Specialists Who Support Teachers ",3,"1516211","201516"
"Counselors, Social Workers and School Psychologists ",7.8,"1516211","201516"
"School Nurses ",1,"1516211","201516"
"Other Staff Providing Non-Instructional Services/Support ",39,"1516211","201516"
"General Education: Teachers and Instructors ",80.4,"1516311","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"1516311","201314"
"Special Education: Teachers and Instructors ",14.2,"1516311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",24,"1516311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",10.6,"1516311","201314"
"Library/Media: Specialists (Certified) ",0,"1516311","201314"
"Support Staff ",1,"1516311","201314"
"Instructional Specialists Who Support Teachers ",3,"1516311","201314"
"Counselors, Social Workers and School Psychologists ",7.8,"1516311","201314"
"School Nurses ",1,"1516311","201314"
"Other Staff Providing Non-Instructional Services/Support ",7,"1516311","201314"
"General Education: Teachers and Instructors ",83.8,"1516311","201415"
"General Education: Paraprofessional Instructional Assistants ",4,"1516311","201415"
"Special Education: Teachers and Instructors ",15.8,"1516311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",26,"1516311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",5.6,"1516311","201415"
"Library/Media: Specialists (Certified) ",1,"1516311","201415"
"Support Staff ",1,"1516311","201415"
