"school_id","year","grades_served"
"0545211","201314","7-8"
"0545211","201415","7-8"
"0545211","201516","7-8"
"0546111","201314","9-12"
"0546111","201415","9-12"
"0546111","201516","9-12"
"0560111","201314","PK-2"
"0560111","201415","PK-2"
"0560111","201516","PK-2"
"0560311","201314","3-6"
"0560311","201415","3-6"
"0560311","201516","3-6"
"0560411","201314","3-6"
"0560411","201415","3-6"
"0560411","201516","3-6"
"0565111","201314","7-8"
"0565111","201415","7-8"
"0565111","201516","7-8"
"0566111","201314","9-12"
"0566111","201415","9-12"
"0566111","201516","9-12"
"0570211","201314","PK-5"
"0570211","201415","K-5"
"0570211","201516","K-5"
"0570311","201314","PK-5"
"0570311","201415","K-5"
"0570311","201516","K-5"
"0570411","201314","K-5"
"0570411","201415","K-5"
"0570411","201516","K-5"
"0570511","201314","PK-5"
"0570511","201415","PK-5"
"0570511","201516","PK-5"
"0570611","201314","PK-5"
"0570611","201415","K-5"
"0570611","201516","K-5"
"0570711","201314","K-5"
"0570711","201415","K-5"
"0570711","201516","K-5"
"0570811","201314","PK-5"
"0570811","201415","PK-5"
"0570811","201516","PK-5"
"0570911","201314","PK-5"
"0570911","201415","PK-5"
"0570911","201516","PK-5"
"0571011","201314","K-5"
"0571011","201415","K-5"
"0571011","201516","K-5"
"0571111","201314","PK-5"
"0571111","201415","PK-5"
"0571111","201516","PK-5"
"0571311","201314","K-5"
"0571311","201415","K-5"
"0571311","201516","K-5"
"0575111","201314","6-8"
"0575111","201415","6-8"
"0575111","201516","6-8"
"0575211","201314","6-8"
"0575211","201415","6-8"
"0575211","201516","6-8"
"0575311","201314","6-8"
"0575311","201415","6-8"
"0575311","201516","6-8"
"0576111","201314","9-12"
"0576111","201415","9-12"
"0576111","201516","9-12"
"0580111","201415","7-12"
"0580111","201516","7-12"
"0580311","201314","PK-4"
"0580311","201415","PK-4"
"0580311","201516","PK-4"
"0585111","201314","5-8"
"0585111","201415","5-8"
"0585111","201516","5-8"
"0586211","201314","9-12"
"0586211","201415","9-12"
"0586211","201516","9-12"
"0590111","201314","PK-5"
"0590111","201415","PK-5"
"0590111","201516","PK-5"
"0590311","201314","K-5"
"0590311","201415","K-5"
"0590311","201516","K-5"
"0591211","201314","K-5"
"0591211","201415","K-5"
"0591211","201516","K-5"
"0591711","201314","PK-5"
"0591711","201415","PK-5"
"0591711","201516","PK-5"
"0591811","201314","PK-5"
"0591811","201415","PK-5"
"0591811","201516","PK-5"
"0591911","201314","K-5"
"0591911","201415","K-5"
"0591911","201516","K-5"
"0592011","201314","PK-5"
"0592011","201415","PK-5"
"0592011","201516","PK-5"
"0595211","201314","6-8"
"0595211","201415","6-8"
"0595211","201516","6-8"
"0595311","201314","6-8"
"0595311","201415","6-8"
"0595311","201516","6-8"
"0596111","201314","9-12"
"0596111","201415","9-12"
"0596111","201516","9-12"
"0600211","201314","PK-4"
"0600211","201415","PK-4"
"0600211","201516","PK-4"
"0600311","201314","K-4"
"0600311","201415","K-4"
"0600311","201516","K-4"
"0600411","201314","K-4"
"0600411","201415","K-4"
"0600411","201516","K-4"
"0600611","201314","K-4"
"0600611","201415","K-4"
"0600611","201516","K-4"
"0600711","201314","5-6"
"0600711","201415","5-6"
"0600711","201516","5-6"
"0605111","201314","7-8"
"0605111","201415","7-8"
"0605111","201516","7-8"
"0606111","201314","9-12"
"0606111","201415","9-12"
"0606111","201516","9-12"
"0620111","201314","K-6"
"0620111","201415","K-6"
"0620111","201516","K-6"
"0620211","201314","PK-6"
"0620211","201415","PK-6"
"0620211","201516","PK-6"
"0620311","201314","K-6"
"0620311","201415","K-6"
"0620311","201516","K-6"
"0620411","201314","PK-6"
"0620411","201415","PK-6"
"0620411","201516","PK-6"
"0621011","201314","K-6"
"0621011","201415","K-6"
"0621011","201516","K-6"
"0621111","201314","K-6"
"0621111","201415","K-6"
"0621111","201516","K-6"
"0621211","201314","K-6"
"0621211","201415","K-6"
"0621211","201516","K-6"
"0621411","201314","K-6"
"0621411","201415","K-6"
"0621411","201516","K-6"
"0625211","201314","7-8"
"0625211","201415","7-8"
"0625211","201516","7-8"
"0626111","201314","9-12"
"0626111","201415","9-12"
"0626111","201516","9-12"
"0630111","201314","PK-6"
"0630111","201415","PK-6"
"0630111","201516","PK-6"
"0640111","201314","K-8"
"0640111","201415","K-8"
"0640111","201516","PK-8"
"0640411","201314","PK-8"
"0640411","201415","PK-8"
"0640411","201516","PK-8"
"0640511","201314","PK-3"
"0640511","201415","PK-4"
"0640511","201516","PK-5"
"0640611","201314","PK-8"
"0640611","201415","PK-8"
"0640611","201516","PK-8"
"0640711","201314","PK-8"
"0640711","201415","PK-8"
"0640711","201516","PK-8"
"0640811","201314","PK-8"
"0640811","201415","PK-8"
"0640811","201516","PK-8"
"0640911","201314","PK-8"
"0640911","201415","PK-8"
"0640911","201516","PK-8"
"0641011","201314","PK-8"
"0641011","201415","PK-8"
"0641011","201516","PK-8"
"0641111","201314","PK-10"
"0641111","201415","PK-11"
"0641111","201516","PK-12"
"0641211","201314","6-8"
"0641211","201415","6-8"
"0641211","201516","6-8"
"0641311","201314","PK-PK"
"0641311","201415","PK-PK"
"0641311","201516","PK-PK"
"0641411","201314","PK-8"
"0641411","201415","PK-8"
"0641411","201516","PK-8"
"0641511","201314","PK-5"
"0641511","201415","PK-5"
"0641511","201516","PK-5"
"0641611","201314","PK-8"
"0641611","201415","PK-8"
"0641611","201516","PK-8"
"0641711","201314","PK-8"
"0641711","201415","PK-8"
"0641711","201516","PK-8"
"0641911","201314","PK-8"
"0641911","201415","PK-8"
"0641911","201516","PK-8"
"0642011","201314","PK-8"
"0642011","201415","PK-8"
"0642011","201516","PK-8"
"0642111","201314","PK-8"
"0642111","201415","PK-8"
"0642111","201516","PK-8"
"0642211","201314","PK-8"
"0642211","201415","PK-8"
"0642211","201516","PK-8"
"0642311","201314","PK-8"
"0642311","201415","PK-8"
"0642311","201516","PK-8"
"0642511","201314","K-8"
"0642511","201415","K-8"
"0642511","201516","K-8"
"0642611","201314","PK-8"
"0642611","201415","PK-8"
"0642611","201516","PK-8"
"0642811","201314","PK-3"
"0642811","201415","PK-3"
