"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","ELA",148,"*","*",57,38.5,59,39.9,"*","*","*","*",475
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Math",148,49,33.1,76,51.4,"*","*","*","*",23,15.5,458
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","ELA",158,20,12.7,49,31.0,83,52.5,6,3.8,89,56.3,494
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Math",158,"*","*",95,60.1,37,23.4,"*","*","*","*",477
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","ELA",157,18,11.5,47,29.9,76,48.4,16,10.2,92,58.6,502
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Math",157,36,22.9,87,55.4,"*","*","*","*",34,21.7,471
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","ELA",184,36,19.6,55,29.9,87,47.3,6,3.3,93,50.5,478
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Math",184,64,34.8,92,50.0,"*","*","*","*",28,15.2,450
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","ELA",139,37,26.6,43,30.9,51,36.7,8,5.8,59,42.4,465
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Math",139,57,41.0,66,47.5,16,11.5,0,0.0,16,11.5,437
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","ELA",174,"*","*",44,25.3,102,58.6,"*","*","*","*",493
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Math",174,38,21.8,104,59.8,"*","*","*","*",32,18.4,461
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","ELA",118,28,23.7,35,29.7,48,40.7,7,5.9,55,46.6,478
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Math",117,31,26.5,56,47.9,"*","*","*","*",30,25.6,470
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","ELA",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Math",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","ELA",146,23,15.8,18,12.3,82,56.2,23,15.8,105,71.9,529
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Math",146,24,16.4,55,37.7,55,37.7,12,8.2,67,45.9,509
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","ELA",23,"*","*","*","*",0,0.0,0,0.0,0,0.0,362
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Math",22,"*","*","*","*",0,0.0,0,0.0,0,0.0,365
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","ELA",619,159,25.7,"*","*",258,41.7,"*","*","*","*",490
