"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","All Grades","Sit and Reach","N/A","N/A","N/A",70.9,83.1
"Darien School District","=""0350011""","Darien High School","=""0356111""","All Grades","Sit and Reach",82.8,81.5,82.4,77.0,83.0
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","All Grades","Sit and Reach",95.6,90.7,92.8,83.0,91.4
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","All Grades","Sit and Reach",98.5,94.2,81.8,92.5,87.0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","All Grades","Sit and Reach",90.1,83.5,90.2,85.7,87.3
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","All Grades","Sit and Reach",80.5,84.6,98.8,66.2,72.7
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","All Grades","Sit and Reach",82.7,86.2,84.8,90.9,94.1
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","All Grades","Sit and Reach",82.5,86.1,92.1,93.0,94.7
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","All Grades","Sit and Reach",88.9,84.0,83.7,96.5,91.5
"Derby School District","=""0370011""","Bradley School","=""0370611""","All Grades","Sit and Reach",91.1,38.5,86.0,76.8,70.6
"Derby School District","=""0370011""","Derby High School","=""0376111""","All Grades","Sit and Reach",40.4,84.6,81.3,76.5,74.2
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","All Grades","Sit and Reach",69.5,63.4,73.4,62.4,69.0
"Derby School District","=""0370011""","Irving School","=""0370411""","All Grades","Sit and Reach",94.3,93.2,81.5,85.7,86.2
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","All Grades","Sit and Reach",68.2,66.1,78.5,74.6,78.8
