"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,"N",59,59,100.0,59,"*","*",13,22.0,18,30.5,18,30.5,"*","*","*","*",243
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,"R",9,9,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"N",21,21,100.0,21,"*","*","*","*",7,33.3,10,47.6,"*","*","*","*",251
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,"F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,"N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,"F",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,"N",59,57,96.6,57,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"N",39,39,100.0,39,0,0.0,"*","*","*","*",19,48.7,11,28.2,30,76.9,274
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
