"Student Counts by School and Grade"
"All Districts, All Schools"
"2010-11"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",0,55,58,84,44,61,40,0,0,0,0,0,0,0,342
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,79,80,74,69,71,52,0,0,0,0,0,0,0,425
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,54,74,77,69,68,67,0,0,0,0,0,0,0,409
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,61,53,79,69,55,71,0,0,0,0,0,0,0,388
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,65,65,63,61,65,67,0,0,0,0,0,0,0,386
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,0,0,0,0,190,184,0,0,0,0,0,0,0,374
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,0,0,0,0,0,0,363,369,382,0,0,0,0,1114
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,0,0,0,0,0,0,395,341,358,0,0,0,0,1094
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,0,0,0,0,0,0,0,0,11,27,21,21,80
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",0,0,0,0,0,0,0,0,0,0,708,808,678,704,2898
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",51,93,100,94,69,97,90,0,0,0,0,0,0,0,594
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",35,72,72,66,61,74,64,0,0,0,0,0,0,0,444
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",0,72,80,65,74,73,75,0,0,0,0,0,0,0,439
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,77,93,70,79,70,83,0,0,0,0,0,0,0,472
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,65,76,60,86,60,72,0,0,0,0,0,0,0,419
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,0,0,0,0,0,"*",398,383,"*",0,0,0,1159
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,0,0,0,0,0,0,0,0,0,355,330,311,319,1315
"Derby School District","=""0370011""","Bradley School","=""0370611""","*",68,67,68,"*",47,73,0,0,0,0,0,0,0,367
"Derby School District","=""0370011""","Irving School","=""0370411""",32,63,68,60,55,61,57,0,0,0,0,0,0,0,396
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,0,0,0,0,0,0,102,101,116,0,0,0,0,319
"Derby School District","=""0370011""","Derby High School","=""0376111""",0,0,0,0,0,0,0,0,0,0,112,83,92,98,385
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",12,54,60,71,58,0,0,0,0,0,0,0,0,0,255
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,0,0,0,80,70,0,0,0,0,0,0,0,150
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,0,0,0,0,0,0,64,82,65,0,0,0,0,211
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,0,0,0,0,0,0,0,0,67,67,63,78,275
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",24,81,95,109,103,0,0,0,0,0,0,0,0,0,412
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,0,0,0,0,95,104,105,102,134,0,0,0,0,540
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,0,0,0,0,0,0,0,0,0,96,100,103,88,387
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",36,136,151,140,152,0,0,0,0,0,0,0,0,0,615
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,0,0,0,155,133,0,0,0,0,0,0,0,288
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,0,0,0,0,0,0,165,182,161,0,0,0,0,508
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",0,0,0,0,0,0,0,0,0,0,121,145,156,130,552
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,0,0,0,0,0,"*",0,"*",7
