"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"ELA",22,19,86.4,16,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"Math",22,18,81.8,17,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"ELA",246,246,100.0,246,61,24.8,87,35.4,82,33.3,16,6.5,98,39.8,2506
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"Math",246,246,100.0,246,100,40.7,98,39.8,36,14.6,12,4.9,48,19.5,2478
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"ELA",233,232,99.6,231,68,29.4,72,31.2,71,30.7,20,8.7,91,39.4,2523
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"Math",233,231,99.1,231,101,43.7,74,32.0,43,18.6,13,5.6,56,24.2,2492
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"ELA",227,227,100.0,226,53,23.5,72,31.9,76,33.6,25,11.1,101,44.7,2553
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"Math",227,227,100.0,227,102,44.9,57,25.1,38,16.7,30,13.2,68,30.0,2526
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"ELA",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"Math",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"ELA",74,73,98.6,73,25,34.2,24,32.9,13,17.8,11,15.1,24,32.9,2399
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"Math",74,73,98.6,73,41,56.2,17,23.3,"*","*","*","*",15,20.5,2382
