"Student Counts by School and Gender"
"All Districts, All Schools"
"2007-08"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",183,217,400
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",20
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",7,37,44
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",89,98,187
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",206,171,377
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",355,446,801
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",71,85,156
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",9,14,23
"Ellington School District","=""0480011""","Center School","=""0480111""",208,200,408
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",106,101,207
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",371,399,770
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",207,201,408
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",197,204,401
"Ellington School District","=""0480011""","Windermere School","=""0480611""",201,203,404
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",239,237,476
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",170,193,363
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",166,221,387
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",446,480,926
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",159,174,333
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",589,567,1156
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",148,134,282
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",195,218,413
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",44,60,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",193,236,429
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",489,503,992
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",124,148,272
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",209,207,416
