"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","All Grades","Push Up",90.9,81.9,80.8,87.2,86.8
"Derby School District","=""0370011""","Bradley School","=""0370611""","All Grades","Push Up",71.1,26.9,63.2,69.6,52.9
"Derby School District","=""0370011""","Derby High School","=""0376111""","All Grades","Push Up",36.5,61.5,66.7,58.8,69.4
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","All Grades","Push Up",68.5,63.9,85.1,74.2,81.0
"Derby School District","=""0370011""","Irving School","=""0370411""","All Grades","Push Up",71.7,32.2,55.4,63.3,50.0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","All Grades","Push Up",56.1,67.8,63.1,69.5,80.8
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","All Grades","Push Up",80.8,75.9,74.2,71.7,78.4
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","All Grades","Push Up",100.0,57.7,71.4,77.6,79.2
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","All Grades","Push Up",63.3,"N/A","N/A",92.0,87.5
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","All Grades","Push Up",46.6,51.7,57.7,65.1,61.1
"East Hampton School District","=""0420011""","Center School","=""0420311""","All Grades","Push Up",75.5,68.7,69.9,48.1,55.3
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","All Grades","Push Up",68.1,59.8,65.9,80.3,72.5
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","All Grades","Push Up",80.4,76.3,77.7,74.8,84.5
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","All Grades","Push Up",70.9,88.7,93.1,91.7,77.8
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","All Grades","Push Up",82.2,97.6,84.3,82.0,73.5
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","All Grades","Push Up",70.3,86.3,79.5,68.4,80.0
