"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",08,328,326,99.4,326,123,37.7,52,16.0,67,20.6,79,24.2,"*","*","*","*",216
"Waterbury School District","=""1510011""","Washington School","=""1512311""",05,44,44,100.0,44,9,20.5,15,34.1,11,25.0,9,20.5,0,0.0,9,20.5,212
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",05,52,52,100.0,52,21,40.4,15,28.8,9,17.3,7,13.5,0,0.0,7,13.5,201
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",05,79,79,100.0,79,21,26.6,17,21.5,24,30.4,"*","*","*","*",17,21.5,214
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",05,124,124,100.0,124,39,31.5,25,20.2,34,27.4,"*","*","*","*",26,21.0,213
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",05,40,40,100.0,40,"*","*",9,22.5,8,20.0,15,37.5,"*","*","*","*",233
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",05,78,78,100.0,78,21,26.9,19,24.4,26,33.3,12,15.4,0,0.0,12,15.4,212
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",05,75,75,100.0,74,"*","*",16,21.6,22,29.7,28,37.8,"*","*","*","*",232
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",05,51,51,100.0,51,15,29.4,"*","*",17,33.3,9,17.6,"*","*","*","*",215
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",05,83,83,100.0,83,11,13.3,18,21.7,15,18.1,32,38.6,7,8.4,39,47.0,237
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",05,56,56,100.0,56,13,23.2,"*","*",17,30.4,16,28.6,"*","*","*","*",225
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",08,44,44,100.0,44,17,38.6,"*","*",7,15.9,12,27.3,"*","*","*","*",221
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",05,54,54,100.0,54,19,35.2,14,25.9,12,22.2,9,16.7,0,0.0,9,16.7,204
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",05,105,105,100.0,105,"*","*",22,21.0,33,31.4,27,25.7,"*","*","*","*",224
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",05,66,66,100.0,66,30,45.5,19,28.8,11,16.7,6,9.1,0,0.0,6,9.1,193
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",05,50,50,100.0,50,12,24.0,16,32.0,17,34.0,"*","*","*","*","*","*",209
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",08,51,51,100.0,51,20,39.2,"*","*",12,23.5,12,23.5,"*","*","*","*",218
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",05,65,65,100.0,65,11,16.9,21,32.3,10,15.4,17,26.2,6,9.2,23,35.4,226
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",08,53,53,100.0,53,12,22.6,"*","*",13,24.5,17,32.1,"*","*","*","*",232
"Waterbury School District","=""1510011""","Regan School","=""1512811""",05,49,49,100.0,49,"*","*",10,20.4,14,28.6,14,28.6,"*","*","*","*",229
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",05,86,86,100.0,86,"*","*",16,18.6,21,24.4,38,44.2,"*","*","*","*",243
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",05,48,48,100.0,48,"*","*",17,35.4,9,18.8,12,25.0,"*","*","*","*",222
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",05,96,96,100.0,96,"*","*",14,14.6,24,25.0,44,45.8,"*","*","*","*",247
"Waterbury School District","=""1510011""","Reed School","=""1513411""",05,53,53,100.0,53,16,30.2,12,22.6,12,22.6,"*","*","*","*",13,24.5,212
"Waterbury School District","=""1510011""","Reed School","=""1513411""",08,27,27,100.0,27,16,59.3,"*","*","*","*","*","*",0,0.0,"*","*",200
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",05,17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",05,31,31,100.0,31,27,87.1,"*","*","*","*",0,0.0,0,0.0,0,0.0,152
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",08,107,107,100.0,107,21,19.6,"*","*",17,15.9,55,51.4,"*","*","*","*",242
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",08,371,362,97.6,362,145,40.1,55,15.2,71,19.6,83,22.9,8,2.2,91,25.1,217
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",08,314,312,99.4,312,124,39.7,47,15.1,68,21.8,65,20.8,8,2.6,73,23.4,217
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",10,115,113,98.3,112,8,7.1,19,17.0,53,47.3,22,19.6,10,8.9,32,28.6,243
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",10,279,268,96.1,263,108,41.1,78,29.7,62,23.6,"*","*","*","*",15,5.7,200
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",10,273,266,97.4,265,137,51.7,57,21.5,54,20.4,11,4.2,6,2.3,17,6.4,196
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",10,301,292,97.0,290,111,38.3,88,30.3,63,21.7,18,6.2,10,3.4,28,9.7,205
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",10,232,232,100.0,232,18,7.8,41,17.7,103,44.4,35,15.1,35,15.1,70,30.2,245
"Waterbury School District","=""1510011""","State Street School","=""1519011""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","State Street School","=""1519011""",08,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","State Street School","=""1519011""",10,10,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",08,26,24,92.3,23,18,78.3,"*","*","*","*",0,0.0,0,0.0,0,0.0,183
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",10,33,24,72.7,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Bridgeport Detention Center","=""3480115""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",05,63,63,100.0,63,"*","*","*","*",16,25.4,27,42.9,12,19.0,39,61.9,260
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",05,68,67,98.5,67,"*","*","*","*",12,17.9,37,55.2,12,17.9,49,73.1,267
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",05,66,66,100.0,66,"*","*","*","*",12,18.2,36,54.5,12,18.2,48,72.7,264
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",08,231,231,100.0,231,17,7.4,13,5.6,34,14.7,131,56.7,36,15.6,167,72.3,263
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",10,210,205,97.6,205,11,5.4,12,5.9,70,34.1,47,22.9,65,31.7,112,54.6,270
"Watertown School District","=""1530011""","Bridgeport Detention Center","=""3480115""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",05,89,89,100.0,89,"*","*","*","*",19,21.3,42,47.2,18,20.2,60,67.4,261
"Watertown School District","=""1530011""","Polk School","=""1530411""",05,121,121,100.0,121,7,5.8,8,6.6,25,20.7,58,47.9,23,19.0,81,66.9,262
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",08,221,221,100.0,221,16,7.2,17,7.7,41,18.6,126,57.0,21,9.5,147,66.5,256
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",10,208,199,95.7,199,6,3.0,17,8.5,73,36.7,54,27.1,49,24.6,103,51.8,265
"West Hartford School District","=""1550011""","Smith School","=""1551711""",05,60,60,100.0,60,"*","*","*","*",10,16.7,27,45.0,18,30.0,45,75.0,277
"West Hartford School District","=""1550011""","REACH","=""1557311""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",05,57,57,100.0,57,"*","*","*","*",7,12.3,22,38.6,24,42.1,46,80.7,283
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",05,79,79,100.0,79,0,0.0,"*","*","*","*",43,54.4,24,30.4,67,84.8,283
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",05,52,52,100.0,52,7,13.5,6,11.5,11,21.2,16,30.8,12,23.1,28,53.8,253
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",05,85,85,100.0,85,"*","*","*","*",12,14.1,38,44.7,29,34.1,67,78.8,276
"West Hartford School District","=""1550011""","Morley School","=""1550911""",05,59,58,98.3,58,"*","*","*","*",8,13.8,22,37.9,22,37.9,44,75.9,279
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",05,65,65,100.0,65,"*","*","*","*","*","*",44,67.7,11,16.9,55,84.6,271
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",05,70,69,98.6,69,"*","*","*","*",15,21.7,37,53.6,8,11.6,45,65.2,256
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",05,78,78,100.0,78,"*","*","*","*",10,12.8,39,50.0,21,26.9,60,76.9,278
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",05,73,73,100.0,73,"*","*","*","*",12,16.4,36,49.3,20,27.4,56,76.7,273
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",05,70,70,100.0,70,"*","*","*","*",12,17.1,34,48.6,17,24.3,51,72.9,270
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",08,279,277,99.3,277,15,5.4,21,7.6,39,14.1,128,46.2,74,26.7,202,72.9,270
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",08,262,257,98.1,257,25,9.7,18,7.0,32,12.5,121,47.1,61,23.7,182,70.8,267
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",08,139,139,100.0,139,"*","*","*","*",18,12.9,61,43.9,50,36.0,111,79.9,280
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",10,365,361,98.9,361,"*","*","*","*",67,18.6,77,21.3,200,55.4,277,76.7,297
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",10,342,341,99.7,341,8,2.3,13,3.8,45,13.2,68,19.9,207,60.7,275,80.6,303
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",10,15,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","PACE","=""1560211""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","PACE","=""1560211""",10,9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",10,10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended","=""1560711""",10,13,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",08,424,422,99.5,422,102,24.2,56,13.3,90,21.3,142,33.6,32,7.6,174,41.2,236
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",05,484,482,99.6,482,30,6.2,62,12.9,131,27.2,197,40.9,62,12.9,259,53.7,251
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",10,360,356,98.9,355,44,12.4,49,13.8,127,35.8,63,17.7,72,20.3,135,38.0,250
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",05,60,60,100.0,60,"*","*","*","*",12,20.0,30,50.0,13,21.7,43,71.7,266
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",08,53,53,100.0,53,"*","*","*","*","*","*",22,41.5,24,45.3,46,86.8,297
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",10,90,90,100.0,90,"*","*","*","*",37,41.1,24,26.7,20,22.2,44,48.9,264
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",05,"*","*","*","*",0,0.0,"*","*","*","*",75,41.7,85,47.2,160,88.9,"*"
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",08,184,182,98.9,182,"*","*","*","*",21,11.5,110,60.4,"*","*","*","*",277
"Weston School District","=""1570011""","Weston High School","=""1576111""",10,206,201,97.6,201,"*","*","*","*",42,20.9,"*","*",102,50.7,"*","*",295
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",05,91,91,100.0,91,0,0.0,"*","*","*","*",40,44.0,40,44.0,80,87.9,292
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",05,79,79,100.0,79,0,0.0,"*","*","*","*",45,57.0,26,32.9,71,89.9,283
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",05,75,75,100.0,75,0,0.0,"*","*","*","*",38,50.7,19,25.3,57,76.0,275
"Westport School District","=""1580011""","Long Lots School","=""1580711""",05,113,113,100.0,113,"*","*",0,0.0,"*","*",61,54.0,49,43.4,110,97.3,294
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",05,94,93,98.9,93,0,0.0,"*","*","*","*",47,50.5,29,31.2,76,81.7,284
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",08,282,279,98.9,279,"*","*","*","*",28,10.0,144,51.6,97,34.8,241,86.4,284
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",08,172,170,98.8,170,"*","*","*","*",18,10.6,88,51.8,56,32.9,144,84.7,283
"Westport School District","=""1580011""","Staples High School","=""1586111""",10,477,468,98.1,468,"*","*","*","*",99,21.2,102,21.8,253,54.1,355,75.9,297
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",05,50,50,100.0,50,0,0.0,"*","*","*","*",25,50.0,12,24.0,37,74.0,269
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",05,51,51,100.0,51,"*","*","*","*",8,15.7,24,47.1,16,31.4,40,78.4,276
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",05,54,54,100.0,54,"*","*","*","*",10,18.5,25,46.3,12,22.2,37,68.5,269
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",05,63,63,100.0,63,0,0.0,"*","*","*","*",28,44.4,22,34.9,50,79.4,283
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",05,39,39,100.0,39,"*","*","*","*",9,23.1,17,43.6,8,20.5,25,64.1,265
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",08,277,276,99.6,276,26,9.4,21,7.6,51,18.5,132,47.8,46,16.7,178,64.5,257
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",10,311,299,96.1,299,11,3.7,21,7.0,97,32.4,80,26.8,90,30.1,170,56.9,269
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",08,52,51,98.1,51,"*","*","*","*",13,25.5,28,54.9,"*","*","*","*",258
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",08,342,330,96.5,330,"*","*","*","*",25,7.6,158,47.9,135,40.9,293,88.8,287
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",05,342,340,99.4,340,"*","*","*","*",52,15.3,183,53.8,89,26.2,272,80.0,276
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",10,338,331,97.9,329,"*","*","*","*",54,16.4,88,26.7,180,54.7,268,81.5,302
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",05,88,88,100.0,88,"*","*",17,19.3,18,20.5,37,42.0,"*","*","*","*",238
"Windham School District","=""1630011""","Natchaug School","=""1630111""",05,46,46,100.0,46,10,21.7,17,37.0,9,19.6,10,21.7,0,0.0,10,21.7,210
"Windham School District","=""1630011""","North Windham School","=""1630311""",05,58,58,100.0,58,18,31.0,13,22.4,"*","*",14,24.1,"*","*","*","*",215
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",05,60,60,100.0,60,"*","*","*","*",11,18.3,31,51.7,9,15.0,40,66.7,257
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",08,55,55,100.0,55,7,12.7,6,10.9,10,18.2,23,41.8,9,16.4,32,58.2,251
"Windham School District","=""1630011""","Windham Center School","=""1630511""",05,43,43,100.0,43,12,27.9,10,23.3,9,20.9,12,27.9,0,0.0,12,27.9,214
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",05,43,42,97.7,42,11,26.2,"*","*",10,23.8,10,23.8,"*","*","*","*",220
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",08,193,190,98.4,190,87,45.8,33,17.4,"*","*",36,18.9,"*","*","*","*",213
