"Primary Disability (K-12), Trend"
"All Districts, Other Disabilities"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"South Windsor School District","=""1320011""",46,1.0,8.5,57,1.3,10.3,55,1.3,10.1,46,1.1,8.7,48,1.1,8.7
"Southington School District","=""1310011""",77,1.1,9.9,85,1.3,10.9,82,1.2,10.3,63,1.0,8.1,70,1.1,8.5
"Sprague School District","=""1330011""","*","*","*","*","*","*",7,1.6,11.7,9,2.0,13.4,"*","*","*"
"Stafford School District","=""1340011""",19,1.2,10.4,"*","*","*",16,1.0,8.6,"*","*","*","*","*","*"
"Stamford School District","=""1350011""",172,1.1,11.2,174,1.1,10.5,188,1.2,10.8,166,1.1,9.2,166,1.0,8.6
"Sterling School District","=""1360011""","*","*","*",12,2.0,13.5,"*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""",12,0.5,3.9,11,0.5,3.6,13,0.6,3.9,13,0.6,3.9,13,0.6,4.0
"Stratford School District","=""1380011""",73,1.0,10.1,71,1.0,9.4,70,1.0,9.0,89,1.2,10.6,84,1.2,9.5
"Suffield School District","=""1390011""",7,0.3,2.8,6,0.3,2.5,9,0.4,3.9,14,0.6,5.7,9,0.4,3.3
"Thomaston School District","=""1400011""",21,1.8,14.7,18,1.7,12.9,20,2.0,14.6,18,1.8,12.6,18,1.8,12.7
"Thompson School District","=""1410011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","=""1420011""",25,0.9,7.9,22,0.8,7.4,26,0.9,8.4,29,1.1,9.3,24,0.9,7.8
"Torrington School District","=""1430011""",82,1.8,11.2,85,1.9,11.5,71,1.6,9.4,82,1.9,10.1,79,1.8,9.5
"Trumbull School District","=""1440011""",52,0.8,8.7,61,0.9,10.1,53,0.8,8.3,71,1.1,10.5,70,1.1,9.7
"Unified School District #1","=""3360015""",10,1.6,4.1,"*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""",18,7.9,10.3,11,4.8,7.1,13,6.0,8.7,14,8.1,10.4,11,7.1,9.0
"Union School District","=""1450011""",0,0,0,0,0,0,"*","*","*",0,0,0,0,0,0
"Vernon School District","=""1460011""",41,1.2,9.2,39,1.1,8.3,42,1.2,8.4,45,1.3,8.8,48,1.4,8.8
"Voluntown School District","=""1470011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""",61,1.0,8.0,50,0.8,7.0,49,0.8,7.1,47,0.8,6.8,50,0.9,7.0
"Waterbury School District","=""1510011""",264,1.5,8.9,259,1.5,8.4,230,1.3,7.1,234,1.3,7.1,229,1.3,6.8
"Waterford School District","=""1520011""",25,0.9,7.1,17,0.6,4.6,14,0.5,3.6,14,0.5,3.6,20,0.7,5.2
"Watertown School District","=""1530011""",26,0.9,7.5,20,0.7,5.8,14,0.5,4.1,16,0.6,4.6,18,0.7,5.0
"West Hartford School District","=""1550011""",116,1.1,10.6,108,1.1,9.6,102,1.0,8.8,105,1.1,8.9,114,1.2,9.5
"West Haven School District","=""1560011""",136,1.9,15.7,151,2.2,16.6,170,2.5,17.5,176,2.6,17.3,190,2.8,18.4
"Westbrook School District","=""1540011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""",13,0.5,6.1,17,0.7,8.4,17,0.7,8.5,22,0.9,10.5,16,0.7,7.2
"Westport School District","=""1580011""",32,0.6,5.5,40,0.7,7.2,"*","*","*","*","*","*","*","*","*"
"Wethersfield School District","=""1590011""",49,1.3,10.7,53,1.4,11.2,52,1.3,10.2,58,1.5,11.2,52,1.4,9.8
"Willington School District","=""1600011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""","*","*","*",25,0.6,4.9,32,0.8,5.9,28,0.7,5.2,30,0.7,5.5
"Winchester School District","=""1620011""",16,1.2,6.4,22,1.7,9.2,15,1.2,6.5,16,1.4,6.4,16,1.4,6.4
"Windham School District","=""1630011""",32,1.0,6.3,32,1.0,6.6,43,1.4,8.6,43,1.4,8.2,56,1.8,9.2
"Windsor Locks School District","=""1650011""",10,0.6,4.9,11,0.6,5.3,6,0.4,2.9,14,0.8,5.9,18,1.1,7.6
"Windsor School District","=""1640011""",122,3.1,20.8,150,3.9,26.3,149,3.9,25.3,148,3.9,24.5,145,3.8,22.7
"Wolcott School District","=""1660011""",13,0.5,5.6,10,0.4,4.4,10,0.4,4.4,17,0.7,6.6,19,0.8,7.1
"Woodbridge School District","=""1670011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock School District","=""1690011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"

