"District","District Code","School","School Code","Gender","Count","%"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Male",35,14.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Female","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Male","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Female",118,26.6
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Male",227,44.0
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Female",14,5.1
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Male",27,10.9
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Female",7,2.3
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Male",21,7.7
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""","Female",24,26.7
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""","Male",36,37.1
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Female",31,13.5
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Male",48,19.0
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Female",16,9.9
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Male",38,21.7
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Female",20,8.0
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Male",49,14.5
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Female",14,17.9
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Male",20,21.5
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Female","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Male","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Female",23,17.7
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Male",21,19.1
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Female","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Female",13,13.3
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Male",39,41.5
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Female",33,12.5
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Male",64,24.6
"New Haven School District","=""0930011""","Sound School","=""0936711""","Female",9,5.8
"New Haven School District","=""0930011""","Sound School","=""0936711""","Male",17,9.9
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Female","N/A","N/A"
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Male","N/A","N/A"
"New Haven School District","=""0930011""","Truman School","=""0932911""","Female",17,6.0
"New Haven School District","=""0930011""","Truman School","=""0932911""","Male",19,7.0
