"Student Counts by School and Year"
"All Districts, All Schools"
"2016-17"

"District","District Code","School","School Code","Count"
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",87
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",307
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",170
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",353
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",253
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",192
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",921
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",274
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",557
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",291
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",130
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""",13
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",22
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1019
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",832
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",363
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",50
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",305
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",169
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",430
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",303
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",303
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",121
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",128
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",164
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",143
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",318
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",563
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",213
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",6
"Ellington School District","=""0480011""","Center School","=""0480111""",430
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",237
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",778
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",438
"Ellington School District","=""0480011""","Windermere School","=""0480611""",761
