"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"N",197,196,99.5,196,"*","*",12,6.1,40,20.4,"*","*","*","*","*","*",268
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"Y",26,26,100.0,26,"*","*",9,34.6,9,34.6,"*","*","*","*","*","*",209
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"N",214,212,99.1,212,10,4.7,"*","*","*","*",122,57.5,43,20.3,165,77.8,270
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"Y",26,26,100.0,26,"*","*",8,30.8,"*","*",7,26.9,0,0.0,7,26.9,223
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"N",174,170,97.7,170,"*","*",6,3.5,57,33.5,"*","*","*","*","*","*",278
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"Y",30,29,96.7,29,"*","*",9,31.0,12,41.4,"*","*","*","*","*","*",214
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"N",81,80,98.8,80,"*","*","*","*","*","*","*","*","*","*","*","*",235
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"N",36,36,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",202
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,"N",49,48,98.0,48,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
