"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA","Female",48,10,20.8,12,25.0,19,39.6,7,14.6,26,54.2,500
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA","Male",46,7,15.2,10,21.7,21,45.7,8,17.4,29,63.0,522
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math","Female",48,15,31.3,23,47.9,"*","*","*","*",10,20.8,466
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math","Male",46,12,26.1,21,45.7,"*","*","*","*",13,28.3,476
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA","Female",176,6,3.4,15,8.5,101,57.4,54,30.7,155,88.1,580
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA","Male",192,10,5.2,21,10.9,115,59.9,46,24.0,161,83.9,559
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math","Female",176,11,6.3,49,27.8,77,43.8,39,22.2,116,65.9,570
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math","Male",192,18,9.4,56,29.2,75,39.1,43,22.4,118,61.5,558
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","Female",74,"*","*","*","*",48,64.9,14,18.9,62,83.8,551
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","Male",50,"*","*",14,28.0,20,40.0,"*","*","*","*",513
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","Female",74,17,23.0,36,48.6,21,28.4,0,0.0,21,28.4,471
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","Male",49,"*","*",22,44.9,15,30.6,"*","*","*","*",486
