"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA","N",876,863,98.5,861,116,13.5,"*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA","Y",20,20,100.0,20,12,60.0,"*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math","N",874,859,98.3,858,203,23.7,"*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math","Y",20,20,100.0,20,10,50.0,"*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA","N",131,130,99.2,130,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA","Y",10,10,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math","N",131,130,99.2,130,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","ELA","N",151,151,100.0,151,"*","*","*","*","*","*","*","*","*","*"
