district_code,district,grand_total,drg,drg_grand_total,state_grand_total,school_code
1450011,Union School District,43249.22222,E,63440.823205,68786.73711,1450011
1460011,Vernon School District,64288.85714,G,64659.69474,68786.73711,1460011
1470011,Voluntown School District,58839.80769,F,63686.00568,68786.73711,1470011
1480011,Wallingford School District,72921.49537,D,67826.620525,68786.73711,1480011
1510011,Waterbury School District,61424.28357,I,61782.33333,68786.73711,1510011
1520011,Waterford School District,77381.42553,D,67826.620525,68786.73711,1520011
1530011,Watertown School District,66908.0,D,67826.620525,68786.73711,1530011
1550011,West Hartford School District,67146.79586,B,71772.56028,68786.73711,1550011
1560011,West Haven School District,63507.60892,H,70578.3952,68786.73711,1560011
1540011,Westbrook School District,63492.38554,E,63440.823205,68786.73711,1540011
1570011,Weston School District,81453.70061,A,79662.70323,68786.73711,1570011
1580011,Westport School District,78447.42282,A,79662.70323,68786.73711,1580011
1590011,Wethersfield School District,73884.67391,D,67826.620525,68786.73711,1590011
1600011,Willington School District,63078.11905,E,63440.823205,68786.73711,1600011
1610011,Wilton School District,84140.54542,A,79662.70323,68786.73711,1610011
1620011,Winchester School District,71777.475,G,64659.69474,68786.73711,1620011
1630011,Windham School District,58846.74888,I,61782.33333,68786.73711,1630011
1650011,Windsor Locks School District,70614.06107,F,63686.00568,68786.73711,1650011
1640011,Windsor School District,64324.89377,D,67826.620525,68786.73711,1640011
1660011,Wolcott School District,65810.44509,F,63686.00568,68786.73711,1660011
1670011,Woodbridge School District,75495.27586,B,71772.56028,68786.73711,1670011
,Woodstock Academy,63370.8125,,,68786.73711,
1690011,Woodstock School District,63287.52542,E,63440.823205,68786.73711,1690011
,State,68786.73711,,,68786.73711,
