2009_10_entrance_pct,2009_10_persistence_pct,2010_11_entrance_pct,2010_11_persistence_pct,2011_12_entrance_pct,2011_12_persistence_pct,2012_13_entrance_pct,2012_13_persistence_pct,2013_14_entrance_pct,2013_14_persistence_pct,district,district_code,drg,four_y_percent,group,race_ethnicity,school,school_code
,*,,*,70.8,*,77.3,*,85.7,*,The Bridge Academy District,2690013,,77.3,race,Black or African American,The Bridge Academy,2696113
46.4,*,26.1,*,,*,38.1,*,,*,Explorations District,2720013,,38.1,race,White,Explorations,2726113
,*,40.0,*,,*,,*,,*,Stamford Academy District,2820013,,40.0,race,Black or African American,Stamford Academy,2826013
,72.2,,71.4,,*,58.6,64.7,63.8,63.6,Connecticut Technical High School System,9000016,,61.2,race,Black or African American,A. I. Prince Technical High School,9001516
48.1,*,48.1,68.4,55.0,76.4,48.9,83.7,60.6,59.6,Connecticut Technical High School System,9000016,,48.9,race,Hispanic or Latino,A. I. Prince Technical High School,9001516
,78.7,70.5,88.4,71.8,82.4,68.2,86.7,55.9,81.6,Connecticut Technical High School System,9000016,,69.35,race,Black or African American,Bullard-Havens Technical High School,9001116
47.8,75.9,55.7,78.0,57.8,84.7,61.0,63.9,53.7,88.9,Connecticut Technical High School System,9000016,,55.7,race,Hispanic or Latino,Bullard-Havens Technical High School,9001116
,*,,*,,*,57.1,*,,*,Connecticut Technical High School System,9000016,,57.1,race,White,Bullard-Havens Technical High School,9001116
,*,,*,,*,,*,59.1,*,Connecticut Technical High School System,9000016,,59.1,race,Black or African American,E. C. Goodwin Technical High School,9001916
41.0,*,40.4,69.6,50.7,60.0,56.1,71.9,48.1,48.6,Connecticut Technical High School System,9000016,,48.1,race,Hispanic or Latino,E. C. Goodwin Technical High School,9001916
29.0,*,20.0,*,,*,32.0,*,,*,Connecticut Technical High School System,9000016,,29.0,race,White,E. C. Goodwin Technical High School,9001916
,*,48.9,65.2,,*,26.9,*,35.4,*,Connecticut Technical High School System,9000016,,35.4,race,Black or African American,Eli Whitney Technical High School,9001416
37.5,*,,85.0,50.8,69.7,38.8,42.3,,*,Connecticut Technical High School System,9000016,,38.8,race,Hispanic or Latino,Eli Whitney Technical High School,9001416
53.5,69.6,39.1,*,37.8,*,72.1,87.1,53.7,81.8,Connecticut Technical High School System,9000016,,53.5,race,Hispanic or Latino,Ella T. Grasso Southeastern Technical High School,9002716
44.2,61.8,35.5,63.0,35.1,63.0,26.6,66.7,26.5,*,Connecticut Technical High School System,9000016,,35.1,race,White,Ella T. Grasso Southeastern Technical High School,9002716
35.2,67.7,44.1,75.6,43.4,67.4,38.6,85.3,44.8,67.4,Connecticut Technical High School System,9000016,,43.4,race,White,Emmett O'Brien Technical High School,9002516
60.5,84.6,48.1,69.2,50.0,87.1,53.8,85.7,55.8,66.7,Connecticut Technical High School System,9000016,,53.8,race,Hispanic or Latino,H. C. Wilcox Technical High School,9001716
40.0,77.5,34.2,76.3,49.2,70.5,49.5,81.8,39.0,69.6,Connecticut Technical High School System,9000016,,40.0,race,White,H. C. Wilcox Technical High School,9001716
28.9,*,,*,27.1,68.8,,*,26.5,69.2,Connecticut Technical High School System,9000016,,27.1,race,White,H. H. Ellis Technical High School,9001316
,*,45.2,*,35.9,*,,*,57.1,75.0,Connecticut Technical High School System,9000016,,45.2,race,Hispanic or Latino,Henry Abbott Technical High School,9001216
35.2,81.3,38.6,74.4,36.4,69.4,40.4,64.3,40.8,96.6,Connecticut Technical High School System,9000016,,38.6,race,White,Henry Abbott Technical High School,9001216
,*,,*,,*,77.8,76.2,62.9,81.8,Connecticut Technical High School System,9000016,,70.35,race,Black or African American,Howell Cheney Technical High School,9001616
,*,,*,46.2,*,,*,58.3,47.6,Connecticut Technical High School System,9000016,,52.25,race,Hispanic or Latino,Howell Cheney Technical High School,9001616
40.6,63.4,35.7,82.9,33.0,71.0,38.0,80.5,41.0,87.5,Connecticut Technical High School System,9000016,,38.0,race,White,Howell Cheney Technical High School,9001616
35.8,69.0,38.4,72.7,30.9,65.8,35.5,60.5,40.2,68.1,Connecticut Technical High School System,9000016,,35.8,race,White,Norwich Technical High School,9002016
46.9,79.3,41.5,72.7,40.0,75.0,43.0,70.3,47.6,80.0,Connecticut Technical High School System,9000016,,43.0,race,White,Oliver Wolcott Technical High School,9002216
,*,62.1,*,,*,,*,,*,Connecticut Technical High School System,9000016,,62.1,race,Black or African American,Platt Technical High School,9002616
44.8,92.3,57.5,65.2,66.7,78.1,58.2,84.4,59.2,79.3,Connecticut Technical High School System,9000016,,58.2,race,Hispanic or Latino,Platt Technical High School,9002616
48.7,74.1,34.2,87.8,48.5,88.9,35.2,82.2,43.8,90.6,Connecticut Technical High School System,9000016,,43.8,race,White,Platt Technical High School,9002616
35.3,77.8,33.0,67.6,34.7,75.8,43.4,76.7,37.7,82.5,Connecticut Technical High School System,9000016,,35.3,race,White,Vinal Technical High School,9001816
,*,65.0,*,,75.0,54.8,*,,*,Connecticut Technical High School System,9000016,,59.9,race,Black or African American,W. F. Kaynor Technical High School,9002316
44.8,76.9,58.1,80.0,57.4,83.9,52.3,91.3,59.5,84.0,Connecticut Technical High School System,9000016,,57.4,race,Hispanic or Latino,W. F. Kaynor Technical High School,9002316
43.6,64.7,38.8,83.9,52.9,84.4,50.5,87.0,49.5,83.0,Connecticut Technical High School System,9000016,,49.5,race,White,W. F. Kaynor Technical High School,9002316
61.8,76.2,,*,52.6,75.0,,*,64.0,*,Connecticut Technical High School System,9000016,,61.8,race,Hispanic or Latino,Windham Technical High School,9002416
49.4,76.3,45.2,73.8,41.2,82.9,35.6,72.2,35.4,77.1,Connecticut Technical High School System,9000016,,41.2,race,White,Windham Technical High School,9002416
,92.9,73.5,96.0,,*,87.9,96.6,81.4,91.4,Norwich Free Academy District,9010022,G,81.4,race,Asian,Norwich Free Academy,9016122
59.7,76.7,61.0,86.1,56.5,*,53.8,71.4,57.6,86.8,Norwich Free Academy District,9010022,G,57.6,race,Black or African American,Norwich Free Academy,9016122
71.4,87.5,68.4,79.5,58.9,75.8,69.0,79.6,68.4,76.9,Norwich Free Academy District,9010022,G,68.4,race,Hispanic or Latino,Norwich Free Academy,9016122
,,,*,,*,75.0,85.7,,*,Norwich Free Academy District,9010022,G,75.0,race,Native Hawaiian or Other Pacific Islander,Norwich Free Academy,9016122
,,,*,59.1,82.1,,*,,,Norwich Free Academy District,9010022,G,59.1,race,Two or More Races,Norwich Free Academy,9016122
76.0,88.0,75.8,89.0,75.8,87.0,77.3,88.0,73.2,90.7,Norwich Free Academy District,9010022,G,75.8,race,White,Norwich Free Academy,9016122
79.8,73.3,82.4,90.5,65.3,80.9,74.1,76.7,69.5,75.6,The Gilbert School District,9020022,G,74.1,race,White,The Gilbert School,9026122
,*,,*,,*,,*,70.0,95.2,Woodstock Academy District,9030022,E,70.0,race,Asian,Woodstock Academy,9036122
83.1,89.6,79.8,89.9,78.3,90.3,81.0,91.3,79.1,90.8,Woodstock Academy District,9030022,E,79.8,race,White,Woodstock Academy,9036122
,,,,,,,,63.9,82.6,Learn,2450014,,63.9,race,Black or African American,Connecticut River Academy,2456014
,,,,,,,,71.4,*,Learn,2450014,,71.4,race,Hispanic or Latino,Connecticut River Academy,2456014
,,,,,,,*,78.6,90.9,Learn,2450014,,78.6,race,White,Connecticut River Academy,2456014
67.1,88.0,61.0,87.2,62.1,85.2,58.0,78.2,59.4,78.5,Ansonia School District,0020011,H,61.0,all,All,Ansonia High School,0026111
81.8,96.9,84.3,95.2,86.4,95.0,86.8,94.2,88.2,95.0,Avon School District,0040011,B,86.4,all,All,Avon High School,0046111
75.7,94.4,83.5,92.3,81.7,93.2,82.5,95.8,88.1,92.0,Berlin School District,0070011,D,82.5,all,All,Berlin High School,0076111
78.3,89.4,81.1,90.7,77.9,92.8,70.6,91.3,77.7,85.6,Bethel School District,0090011,D,77.9,all,All,Bethel High School,0096111
66.0,79.4,76.3,84.9,66.2,74.5,68.2,84.1,73.2,81.1,Bloomfield School District,0110011,G,68.2,all,All,Bloomfield High School,0116111
,,,,,,56.3,*,73.1,*,Bloomfield School District,0110011,G,64.7,all,All,Global Experience Magnet School,0116311
86.4,93.0,88.2,93.3,87.9,93.1,88.8,94.4,84.4,92.6,Bolton School District,0120011,C,87.9,all,All,Bolton High School,0126111
79.4,95.2,78.0,90.9,78.3,88.0,76.2,89.7,73.0,92.2,Branford School District,0140011,D,78.0,all,All,Branford High School,0146111
52.8,68.9,45.1,71.3,44.9,77.5,50.9,67.6,41.7,71.0,Bridgeport School District,0150011,I,45.1,all,All,Bassick High School,0156111
64.5,84.7,66.0,81.8,63.7,84.0,64.6,82.0,61.8,83.0,Bridgeport School District,0150011,I,64.5,all,All,Central High School,0156211
49.8,77.7,51.9,74.8,46.8,77.1,44.4,70.8,46.1,78.3,Bridgeport School District,0150011,I,46.8,all,All,Harding High School,0156311
66.8,85.4,66.2,86.9,62.7,90.1,65.8,86.6,63.4,87.4,Bristol School District,0170011,G,65.8,all,All,Bristol Central High School,0176111
72.3,88.0,71.7,83.2,66.2,92.4,65.9,85.6,67.0,90.3,Bristol School District,0170011,G,67.0,all,All,Bristol Eastern High School,0176211
85.3,91.9,79.3,89.7,83.7,91.9,89.0,94.3,85.5,93.3,Brookfield School District,0180011,B,85.3,all,All,Brookfield High School,0186111
82.0,89.9,73.0,91.7,82.8,94.8,78.8,92.5,77.6,89.4,Canton School District,0230011,C,78.8,all,All,Canton High School,0236111
86.9,95.0,89.0,94.6,88.7,95.2,85.9,95.4,84.7,93.9,Cheshire School District,0250011,B,86.9,all,All,Cheshire High School,0256111
75.7,90.6,70.2,87.9,67.8,96.3,76.2,90.9,75.8,91.8,Clinton School District,0270011,D,75.7,all,All,The Morgan School,0276111
77.8,89.0,80.2,88.1,78.2,85.5,75.9,87.4,78.4,91.1,Colchester School District,0280011,D,78.2,all,All,Bacon Academy,0286111
73.0,88.9,65.8,89.6,67.4,82.8,71.5,89.2,71.1,91.2,Coventry School District,0320011,E,71.1,all,All,Coventry High School,0326111
75.5,86.1,79.2,90.5,78.1,88.8,80.5,91.6,78.5,93.1,Cromwell School District,0330011,D,78.5,all,All,Cromwell High School,0336111
