district_code,district,school_code,school,grade,diff,drg,year
0260011,Chester School District,0000000,District,93.0592694812,-12.7233195574,E,2014-15
0840011,Milford School District,0000000,District,80.9822078017,-2.87344116516,D,2014-15
0650011,Hartland School District,0000000,District,85.755029523,-3.17987689301,E,2014-15
0250011,Cheshire School District,0000000,District,86.797878274,-3.20862086034,B,2014-15
0240011,Chaplin School District,0000000,District,76.9838931254,-6.71865032307,E,2014-15
0230011,Canton School District,0000000,District,80.7745017301,2.95944303387,C,2014-15
0490011,Enfield School District,0000000,District,76.2086546554,-1.8550328226,F,2014-15
0220011,Canterbury School District,0000000,District,83.527568868,-8.44295975107,F,2014-15
0390011,Eastford School District,0000000,District,91.1197424799,-16.0966046438,E,2014-15
0950011,New London School District,0000000,District,62.4412167209,-4.43176926283,I,2014-15
0960011,New Milford School District,0000000,District,81.3734522398,-4.77714416746,D,2014-15
0720011,Ledyard School District,0000000,District,85.2259746528,-8.87771561628,D,2014-15
0710011,Lebanon School District,0000000,District,78.7655831852,-1.52268376013,E,2014-15
0480011,Ellington School District,0000000,District,84.6416755438,-4.38428984775,C,2014-15
0500011,Essex School District,0000000,District,89.7597856065,-7.80995691887,C,2014-15
0510011,Fairfield School District,0000000,District,87.9235122845,-3.96089209742,B,2014-15
1060011,Old Saybrook School District,0000000,District,87.7781599291,-4.1984088061,D,2014-15
0730011,Lisbon School District,0000000,District,80.8510817574,-6.82413217896,E,2014-15
0470011,East Windsor School District,0000000,District,77.4850474947,-7.23141231754,F,2014-15
0460011,Easton School District,0000000,District,84.7411937204,-1.26785347164,A,2014-15
0690011,Killingly School District,0000000,District,70.7046801797,0.395104948178,G,2014-15
1080011,Oxford School District,0000000,District,76.1154299605,1.88624995551,C,2014-15
1100011,Plainville School District,0000000,District,82.0867947042,-4.48415265314,F,2014-15
0450011,East Lyme School District,0000000,District,88.4172613731,-4.5878687409,D,2014-15
0740011,Litchfield School District,0000000,District,86.0121469913,-4.43641984904,E,2014-15
0760011,Madison School District,0000000,District,91.203918321,-9.44089871539,B,2014-15
0440011,East Haven School District,0000000,District,71.0678651081,-6.85429458947,G,2014-15
0530011,Franklin School District,0000000,District,85.1607015646,-19.9011460931,E,2014-15
0770011,Manchester School District,0000000,District,69.7783845475,-3.94777408288,G,2014-15
1090011,Plainfield School District,0000000,District,75.1352624752,0.143497329551,G,2014-15
0430011,East Hartford School District,0000000,District,64.3024537492,0.593257148127,H,2014-15
0420011,East Hampton School District,0000000,District,82.1409699992,-7.41126851636,D,2014-15
0410011,East Haddam School District,0000000,District,83.5942485758,-7.87234185098,E,2014-15
0540011,Glastonbury School District,0000000,District,88.9701419314,-5.4128255876,B,2014-15
0680011,Kent School District,0000000,District,88.7199727951,-15.3339255129,E,2014-15
0400011,East Granby School District,0000000,District,85.0687297074,-6.20414084435,D,2014-15
0520011,Farmington School District,0000000,District,89.2337068377,-3.80169147129,B,2014-15
0210011,Canaan School District,0000000,District,86.90566087,-17.0334570747,E,2014-15
0320011,Coventry School District,0000000,District,82.8646505864,0.747861095197,E,2014-15
0920011,New Hartford School District,0000000,District,89.2071706067,-15.4376804646,C,2014-15
0910011,New Fairfield School District,0000000,District,86.0564015518,-1.97835160942,B,2014-15
0150011,Bridgeport School District,0000000,District,59.2569596633,-2.87697189858,I,2014-15
0140011,Branford School District,0000000,District,82.2919292582,-5.52939099494,D,2014-15
0190011,Brooklyn School District,0000000,District,79.5179234793,-9.29218497592,E,2014-15
0630011,Hampton School District,0000000,District,90.779115671,-9.337010206,E,2014-15
1140011,Preston School District,0000000,District,80.2785774637,-8.78016032063,E,2014-15
0130011,Bozrah School District,0000000,District,83.3806128178,-7.81099234356,E,2014-15
