american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year,tot_check,hispanic,other,black,oth_total,oth_tot_check
0.0,0.0,0.0,39.0,0.0,Bristol School District,0170011,110.0,0.0,0.0,0.0,Clara T. O'Connell School,0170711,355,0.0,191.0,191.0,2007-08,15.0,110.0,0.0,39.0,15.0,0.0
0.0,0.0,0.0,15.0,0.0,Bristol School District,0170011,50.0,0.0,0.0,0.0,Clarence A. Bingham School,0170111,253,0.0,185.0,185.0,2007-08,3.0,50.0,0.0,15.0,3.0,0.0
0.0,0.0,8.0,34.0,0.0,Bristol School District,0170011,76.0,0.0,0.0,0.0,Edgewood School,0170311,356,0.0,238.0,238.0,2007-08,0.0,76.0,0.0,34.0,0.0,0.0
0.0,0.0,24.0,33.0,0.0,Bristol School District,0170011,92.0,0.0,0.0,0.0,Ellen P. Hubbell School,0171411,490,0.0,341.0,341.0,2007-08,0.0,92.0,0.0,33.0,0.0,0.0
0.0,0.0,10.0,30.0,0.0,Bristol School District,0170011,66.0,0.0,0.0,0.0,Greene-Hills School,0170511,396,0.0,290.0,290.0,2007-08,0.0,66.0,0.0,30.0,0.0,0.0
0.0,0.0,0.0,34.0,0.0,Bristol School District,0170011,48.0,0.0,0.0,0.0,Ivy Drive School,0171911,402,0.0,313.0,313.0,2007-08,7.0,48.0,0.0,34.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,Bristol School District,0170011,41.0,0.0,0.0,0.0,John J. Jennings School,0170611,374,0.0,309.0,309.0,2007-08,24.0,41.0,0.0,0.0,24.0,0.0
0.0,0.0,11.0,36.0,0.0,Bristol School District,0170011,87.0,0.0,0.0,0.0,Memorial Boulevard Middle School,0175311,542,0.0,408.0,408.0,2007-08,0.0,87.0,0.0,36.0,0.0,0.0
0.0,0.0,21.0,20.0,0.0,Bristol School District,0170011,35.0,0.0,0.0,0.0,Mountain View School,0171711,369,0.0,293.0,293.0,2007-08,0.0,35.0,0.0,20.0,0.0,0.0
0.0,0.0,0.0,46.0,0.0,Bristol School District,0170011,50.0,0.0,0.0,0.0,Northeast Middle School,0175211,558,0.0,451.0,451.0,2007-08,11.0,50.0,0.0,46.0,11.0,0.0
0.0,0.0,0.0,44.0,0.0,Bristol School District,0170011,98.0,0.0,0.0,0.0,South Side School,0171111,580,0.0,422.0,422.0,2007-08,16.0,98.0,0.0,44.0,16.0,0.0
0.0,0.0,0.0,34.0,0.0,Bristol School District,0170011,73.0,0.0,0.0,0.0,Stafford School,0171211,497,0.0,369.0,369.0,2007-08,21.0,73.0,0.0,34.0,21.0,0.0
0.0,0.0,25.0,10.0,0.0,Brookfield School District,0180011,23.0,0.0,0.0,0.0,Brookfield High School,0186111,1020,0.0,962.0,962.0,2007-08,0.0,23.0,0.0,10.0,0.0,0.0
0.0,0.0,18.0,0.0,0.0,Brookfield School District,0180011,23.0,0.0,0.0,0.0,Center Elementary School,0180311,374,0.0,329.0,329.0,2007-08,4.0,23.0,0.0,0.0,4.0,0.0
0.0,0.0,29.0,0.0,0.0,Brookfield School District,0180011,24.0,0.0,0.0,0.0,Huckleberry Hill Elementary School,0180411,604,0.0,543.0,543.0,2007-08,8.0,24.0,0.0,0.0,8.0,0.0
0.0,0.0,39.0,14.0,0.0,Brookfield School District,0180011,31.0,0.0,0.0,0.0,Whisconier Middle School,0185311,951,0.0,867.0,867.0,2007-08,0.0,31.0,0.0,14.0,0.0,0.0
0.0,0.0,12.0,8.0,0.0,Brooklyn School District,0190011,9.0,0.0,0.0,0.0,Brooklyn Elementary School,0190111,580,0.0,551.0,551.0,2007-08,0.0,9.0,0.0,8.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,Brooklyn School District,0190011,8.0,0.0,0.0,0.0,Brooklyn Middle School,0195111,406,0.0,388.0,388.0,2007-08,4.0,8.0,0.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,Canaan School District,0210011,0.0,0.0,0.0,0.0,Lee H. Kellogg School,0210111,101,0.0,94.0,94.0,2007-08,7.0,0.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,6.0,0.0,Canterbury School District,0220011,13.0,0.0,0.0,0.0,Canterbury Elementary School,0220211,316,0.0,290.0,290.0,2007-08,7.0,13.0,0.0,6.0,7.0,0.0
0.0,0.0,0.0,6.0,0.0,Canterbury School District,0220011,0.0,0.0,0.0,0.0,Dr. Helen Baldwin Middle School,0225111,262,0.0,248.0,248.0,2007-08,8.0,0.0,0.0,6.0,8.0,0.0
0.0,0.0,7.0,19.0,0.0,Canton School District,0230011,10.0,0.0,0.0,0.0,Canton High School,0236111,514,0.0,478.0,478.0,2007-08,0.0,10.0,0.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,Canton School District,0230011,10.0,0.0,0.0,0.0,Canton Intermediate School,0230311,405,0.0,381.0,381.0,2007-08,14.0,10.0,0.0,0.0,14.0,0.0
0.0,0.0,0.0,8.0,0.0,Canton School District,0230011,0.0,0.0,0.0,0.0,Canton Middle School,0235111,270,0.0,252.0,252.0,2007-08,10.0,0.0,0.0,8.0,10.0,0.0
0.0,0.0,23.0,0.0,0.0,Canton School District,0230011,16.0,0.0,0.0,0.0,Cherry Brook Primary School,0230211,538,0.0,485.0,485.0,2007-08,14.0,16.0,0.0,0.0,14.0,0.0
