school_code,district,school,language,ltss,eligible_for_bilingual,total_els,year
0931011,New Haven School District,Ross/Woodward School,Spanish,10,39.0,49.0,2016-17
0931311,New Haven School District,John C. Daniels,Spanish,5,120.0,125.0,2016-17
0931411,New Haven School District,Nathan Hale School,Spanish,1,37.0,38.0,2016-17
0931511,New Haven School District,Augusta Lewis Troup School,Spanish,7,39.0,46.0,2016-17
0931611,New Haven School District,Fair Haven School,Spanish,86,257.0,343.0,2016-17
0931611,New Haven School District,Fair Haven School,Arabic,0,27.0,27.0,2016-17
0931811,New Haven School District,Benjamin Jepson Magnet School,Spanish,1,39.0,40.0,2016-17
0931911,New Haven School District,Mauro-Sheridan Magnet School,Spanish,5,32.0,37.0,2016-17
0932111,New Haven School District,Katherine Brennan/Clarence Rogers School,Spanish,2,23.0,25.0,2016-17
0932811,New Haven School District,Strong 21st Century Communications Magnet and SCSU Lab School,Spanish,29,89.0,118.0,2016-17
0932911,New Haven School District,Truman School,Spanish,79,150.0,229.0,2016-17
0933111,New Haven School District,Conte/West Hills Magnet School,Spanish,5,53.0,58.0,2016-17
0933511,New Haven School District,Quinnipiac Real World Math STEM School,Spanish,22,53.0,75.0,2016-17
0933811,New Haven School District,Worthington Hooker School,Mandarin,0,20.0,20.0,2016-17
0934111,New Haven School District,Christopher Columbus Academy,Spanish,11,183.0,194.0,2016-17
0934211,New Haven School District,Clemente Leadership Academy,Spanish,16,81.0,97.0,2016-17
0934311,New Haven School District,Bishop Woods School,Spanish,0,34.0,34.0,2016-17
0934611,New Haven School District,East Rock Community Magnet School,Spanish,5,47.0,52.0,2016-17
0934811,New Haven School District,"Celentano BioTech, Health and Medical Magnet School",Spanish,1,20.0,21.0,2016-17
0936111,New Haven School District,Wilbur Cross High School,Spanish,106,143.0,249.0,2016-17
0936211,New Haven School District,James Hillhouse High School,Spanish,27,45.0,72.0,2016-17
District Total,,,,672,1927.0,2599.0,2016-17
0950311,New London School District,Jennings School,Spanish,1,263.0,264.0,2016-17
0950611,New London School District,Early Childhood Center at Harbor,Spanish,0,21.0,21.0,2016-17
0950811,New London School District,Winthrop STEM Elementary Magnet School,Spanish,3,63.0,66.0,2016-17
0950911,New London School District,Nathan Hale Arts Magnet School,Spanish,1,77.0,78.0,2016-17
0955111,New London School District,Bennie Dover Jackson Middle School,Spanish,22,90.0,112.0,2016-17
0956111,New London School District,New London High School,Spanish,67,96.0,163.0,2016-17
District Total,,,,94,610.0,704.0,2016-17
0960511,New Milford School District,Hill And Plain School,Spanish,0,25.0,25.0,2016-17
0960911,New Milford School District,Sarah Noble Intermediate School,Spanish,0,21.0,21.0,2016-17
District Total,,,,0,46.0,46.0,2016-17
1030211,Norwalk School District,Brookside Elementary School,Spanish,24,71.0,95.0,2016-17
1030311,Norwalk School District,Columbus Magnet School,Spanish,6,24.0,30.0,2016-17
1030411,Norwalk School District,Cranbury Elementary School,Spanish,10,28.0,38.0,2016-17
1030711,Norwalk School District,Jefferson Magnet School,Spanish,29,99.0,128.0,2016-17
1030811,Norwalk School District,Kendall Elementary School,Spanish,40,92.0,132.0,2016-17
1031311,Norwalk School District,Rowayton School,Spanish,9,30.0,39.0,2016-17
1031411,Norwalk School District,Tracey School,Spanish,14,78.0,92.0,2016-17
1032011,Norwalk School District,Fox Run Elementary School,Spanish,7,21.0,28.0,2016-17
1032111,Norwalk School District,Naramake Elementary School,Spanish,8,33.0,41.0,2016-17
1032211,Norwalk School District,Marvin Elementary School,Spanish,13,64.0,77.0,2016-17
1032311,Norwalk School District,Silvermine Elementary School,Spanish,2,132.0,134.0,2016-17
1032411,Norwalk School District,Wolfpit School,Spanish,7,35.0,42.0,2016-17
1035211,Norwalk School District,Nathan Hale Middle School,Spanish,17,33.0,50.0,2016-17
1035311,Norwalk School District,Ponus Ridge Middle School,Spanish,23,36.0,59.0,2016-17
1035411,Norwalk School District,West Rocks Middle School,Spanish,28,48.0,76.0,2016-17
1035511,Norwalk School District,Roton Middle School,Spanish,24,26.0,50.0,2016-17
1036111,Norwalk School District,Norwalk High School,Spanish,33,83.0,116.0,2016-17
1036211,Norwalk School District,Brien McMahon High School,Spanish,51,76.0,127.0,2016-17
District Total,,,,345,1009.0,1354.0,2016-17
1040811,Norwich School District,Samuel Huntington School,Spanish,0,23.0,23.0,2016-17
1041411,Norwich School District,John B. Stanton Network School,Spanish,6,51.0,57.0,2016-17
1041511,Norwich School District,Wequonnoc Magnet School,Spanish,0,20.0,20.0,2016-17
1041711,Norwich School District,Thomas W. Mahan School,Spanish,1,20.0,21.0,2016-17
1042011,Norwich School District,Moriarty Magnet School,Spanish,5,35.0,40.0,2016-17
1045111,Norwich School District,Kelly Middle School,Spanish,14,29.0,43.0,2016-17
1045211,Norwich School District,Teachers' Memorial Middle School,Spanish,10,21.0,31.0,2016-17
District Total,,,,36,199.0,235.0,2016-17
1190511,Rocky Hill School District,West Hill School,Telugu,0,20.0,20.0,2016-17
District Total,,,,0,20.0,20.0,2016-17
1350511,Stamford School District,K. T. Murphy School,Spanish,6,45.0,51.0,2016-17
1350611,Stamford School District,Newfield School,Spanish,29,71.0,100.0,2016-17
1350811,Stamford School District,Rogers International School,Spanish,8,46.0,54.0,2016-17
1350911,Stamford School District,Roxbury School,Spanish,14,65.0,79.0,2016-17
1351111,Stamford School District,Springdale School,Spanish,21,77.0,98.0,2016-17
1351211,Stamford School District,Julia A. Stark School,Spanish,15,44.0,59.0,2016-17
1351411,Stamford School District,Westover School,Spanish,0,41.0,41.0,2016-17
1351811,Stamford School District,Northeast School,Spanish,20,81.0,101.0,2016-17
1351911,Stamford School District,Toquam Magnet School,Spanish,10,86.0,96.0,2016-17
1352011,Stamford School District,Davenport Ridge School,Spanish,5,53.0,58.0,2016-17
1352111,Stamford School District,Stillmeadow School,Spanish,16,62.0,78.0,2016-17
1352211,Stamford School District,Hart School,Spanish,10,42.0,52.0,2016-17
1355511,Stamford School District,Turn of River School,Spanish,13,78.0,91.0,2016-17
1355811,Stamford School District,Rippowam Middle School,Spanish,35,40.0,75.0,2016-17
1356111,Stamford School District,Stamford High School,Spanish,23,94.0,117.0,2016-17
1356111,Stamford School District,Stamford High School,Creole-Haitian,1,46.0,47.0,2016-17
1356311,Stamford School District,Westhill High School,Spanish,48,235.0,283.0,2016-17
1356311,Stamford School District,Westhill High School,Creole-Haitian,0,24.0,24.0,2016-17
District Total,,,,274,1230.0,1504.0,2016-17
1381011,Stratford School District,Second Hill Lane School,Spanish,1,32.0,33.0,2016-17
District Total,,,,1,32.0,33.0,2016-17
1430211,Torrington School District,Forbes School,Spanish,12,39.0,51.0,2016-17
1430811,Torrington School District,Southwest School,Spanish,0,38.0,38.0,2016-17
1430911,Torrington School District,Torringford School,Spanish,3,34.0,37.0,2016-17
1431311,Torrington School District,Vogel-Wetmore School,Spanish,16,66.0,82.0,2016-17
1435111,Torrington School District,Torrington Middle School,Spanish,18,24.0,42.0,2016-17
1436111,Torrington School District,Torrington High School,Spanish,16,29.0,45.0,2016-17
District Total,,,,65,230.0,295.0,2016-17
1480111,Wallingford School District,Moses Y. Beach School,Spanish,2,26.0,28.0,2016-17
1480311,Wallingford School District,Parker Farms School,Spanish,7,24.0,31.0,2016-17
1480911,Wallingford School District,Evarts C. Stevens School,Spanish,0,25.0,25.0,2016-17
1481011,Wallingford School District,Cook Hill School,Spanish,0,37.0,37.0,2016-17
District Total,,,,9,112.0,121.0,2016-17
1510511,Waterbury School District,Bucks Hill School,Spanish,15,189.0,204.0,2016-17
1510611,Waterbury School District,Bunker Hill School,Spanish,6,35.0,41.0,2016-17
1510711,Waterbury School District,H. S. Chase School,Spanish,31,163.0,194.0,2016-17
1510811,Waterbury School District,Wendell L. Cross School,Spanish,1,22.0,23.0,2016-17
1510911,Waterbury School District,Driggs School,Spanish,3,52.0,55.0,2016-17
1511111,Waterbury School District,Margaret M. Generali Elementary School,Spanish,4,33.0,37.0,2016-17
1511311,Waterbury School District,Hopeville School,Spanish,18,147.0,165.0,2016-17
1511411,Waterbury School District,F. J. Kingsbury School,Spanish,3,43.0,46.0,2016-17
1511611,Waterbury School District,Duggan School,Spanish,3,38.0,41.0,2016-17
1512011,Waterbury School District,Sprague School,Spanish,5,45.0,50.0,2016-17
1512111,Waterbury School District,B. W. Tinker School,Spanish,7,26.0,33.0,2016-17
1512211,Waterbury School District,Walsh School,Spanish,6,48.0,54.0,2016-17
1512311,Waterbury School District,Washington School,Spanish,4,44.0,48.0,2016-17
1512611,Waterbury School District,Gilmartin School,Spanish,9,32.0,41.0,2016-17
1512711,Waterbury School District,Carrington School,Spanish,5,21.0,26.0,2016-17
1513211,Waterbury School District,Woodrow Wilson School,Spanish,5,40.0,45.0,2016-17
1513411,Waterbury School District,Reed School,Spanish,8,41.0,49.0,2016-17
1515111,Waterbury School District,Michael F. Wallace Middle School,Spanish,35,96.0,131.0,2016-17
1515211,Waterbury School District,West Side Middle School,Spanish,51,121.0,172.0,2016-17
1515311,Waterbury School District,North End Middle School,Spanish,39,101.0,140.0,2016-17
1516211,Waterbury School District,Crosby High School,Spanish,34,103.0,137.0,2016-17
1516311,Waterbury School District,Wilby High School,Spanish,68,93.0,161.0,2016-17
1516411,Waterbury School District,John F. Kennedy High School,Spanish,61,103.0,164.0,2016-17
District Total,,,,421,1636.0,2057.0,2016-17
1530211,Watertown School District,John Trumbull Primary School,Albanian,0,21.0,21.0,2016-17
District Total,,,,0,21.0,21.0,2016-17
1540211,Westbrook School District,Daisy Ingraham School,Spanish,0,22.0,22.0,2016-17
District Total,,,,0,22.0,22.0,2016-17
1560311,West Haven School District,Forest School,Spanish,20,56.0,76.0,2016-17
1560411,West Haven School District,Seth G. Haley School,Spanish,21,27.0,48.0,2016-17
1560611,West Haven School District,Edith E. Mackrille School,Spanish,4,24.0,28.0,2016-17
1561211,West Haven School District,Washington School,Spanish,26,62.0,88.0,2016-17
1561411,West Haven School District,Savin Rock Community School,Spanish,33,62.0,95.0,2016-17
1566111,West Haven School District,West Haven High School,Spanish,33,35.0,68.0,2016-17
District Total,,,,137,266.0,403.0,2016-17
1630111,Windham School District,Natchaug School,Spanish,45,65.0,110.0,2016-17
1630311,Windham School District,North Windham School,Spanish,21,132.0,153.0,2016-17
1630411,Windham School District,Charles H. Barrows STEM Academy,Spanish,29,33.0,62.0,2016-17
1630511,Windham School District,Windham Center School,Spanish,17,60.0,77.0,2016-17
1630611,Windham School District,W. B. Sweeney School,Spanish,30,56.0,86.0,2016-17
1635111,Windham School District,Windham Middle School,Spanish,68,72.0,140.0,2016-17
1636111,Windham School District,Windham High School,Spanish,79,58.0,137.0,2016-17
District Total,,,,289,476.0,765.0,2016-17
2410314,Capitol Region Education Council,Reggio Magnet School of the Arts,Spanish,0,21.0,21.0,2016-17
2410714,Capitol Region Education Council,Academy of Aerospace and Engineering Elementary,Spanish,0,24.0,24.0,2016-17
2413114,Capitol Region Education Council,Montessori Magnet School,Spanish,0,27.0,27.0,2016-17
District Total,,,,0,72.0,72.0,2016-17
2445114,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Spanish,20,25.0,45.0,2016-17
District Total,,,,20,25.0,45.0,2016-17
2450114,Learn,Regional Multicultural Magnet School,Spanish,0,82.0,82.0,2016-17
District Total,,,,0,82.0,82.0,2016-17
2655113,Interdistrict School for Arts and Comm District,Interdistrict School For Arts And Communication,Spanish,0,29.0,29.0,2016-17
District Total,,,,0,29.0,29.0,2016-17
2795113,Amistad Academy District,Amistad Academy,Spanish,4,97.0,101.0,2016-17
District Total,,,,4,97.0,101.0,2016-17
2850113,Bridgeport Achievement First District,Achievement First Bridgeport Academy,Spanish,5,106.0,111.0,2016-17
District Total,,,,5,106.0,111.0,2016-17
2880113,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Spanish,0,42.0,42.0,2016-17
District Total,,,,0,42.0,42.0,2016-17
2940113,Great Oaks Charter School District,Great Oaks Charter School,Spanish,4,24.0,28.0,2016-17
District Total,,,,4,24.0,28.0,2016-17
9001216,Connecticut Technical High School System,Henry Abbott Technical High School,Spanish,5,20.0,25.0,2016-17
9001516,Connecticut Technical High School System,A. I. Prince Technical High School,Spanish,39,26.0,65.0,2016-17
District Total,,,,44,46.0,90.0,2016-17
9016122,Norwich Free Academy District,Norwich Free Academy,Spanish,23,41.0,64.0,2016-17
9016122,Norwich Free Academy District,Norwich Free Academy,Creole-Haitian,2,41.0,43.0,2016-17
District Total,,,,25,82.0,107.0,2016-17
State Totals (excluding those in a program),,,,5013,16775.0,21788.0,2016-17
Total EL Students (excluding those in a program),,,,34692,,,2016-17
